500kV红宁乙线_5,500kV红宁乙线_6,500kV红宁乙线_7,500kV红宁乙线_8,500kV红宁乙线_29,500kV红宁乙线_30,500kV红宁乙线_31,500kV红宁乙线_32
82.25595092773438,-13.041126251220703,-68.47990417480469,0.8170049786567688,0.2923699915409088,-0.040654998272657394,-0.16521500051021576,0.025949999690055847
80.04203033447266,-7.6447978019714355,-71.72046661376953,0.7703189849853516,0.2923699915409088,-0.026815000921487808,-0.17213499546051025,0.029410000890493393
77.6061782836914,-2.297231912612915,-74.7605209350586,0.5291079878807068,0.2854500114917755,-0.006054999772459269,-0.18597500026226044,0.029410000890493393
74.88885498046875,3.0774240493774414,-77.55672454833984,0.33458301424980164,0.2785300016403198,0.0008650000090710819,-0.19981500506401062,0.02249000035226345
71.92794036865234,8.560440063476562,-80.2228775024414,0.1478389948606491,0.27160999178886414,0.014705000445246696,-0.20673500001430511,0.025949999690055847
68.55023193359375,14.027201652526855,-82.52594757080078,-0.22564899921417236,0.2612299919128418,0.035464998334646225,-0.2136549949645996,0.025949999690055847
64.9289321899414,19.456037521362305,-84.39008331298828,-0.38126900792121887,0.25084999203681946,0.052765000611543655,-0.2205750048160553,0.025949999690055847
60.8962516784668,24.895709991455078,-85.83154296875,-0.49798399209976196,0.24392999708652496,0.06660500168800354,-0.22403499484062195,0.025949999690055847
56.62539291381836,30.243276596069336,-87.02913665771484,-0.47464099526405334,0.23009000718593597,0.08390499651432037,-0.2274949997663498,0.025949999690055847
52.27334213256836,35.50957107543945,-87.77696228027344,-0.2956779897212982,0.2093300074338913,0.10466500371694565,-0.2274949997663498,0.025949999690055847
47.731834411621094,40.645835876464844,-88.30260467529297,-0.11671499907970428,0.19894999265670776,0.11850500106811523,-0.2344149947166443,0.029410000890493393
43.125370025634766,45.570796966552734,-88.5247802734375,-0.031123999506235123,0.18164999783039093,0.13580499589443207,-0.24133500456809998,0.025949999690055847
38.31321334838867,50.2790412902832,-88.35679626464844,0.09337200224399567,0.16780999302864075,0.1531050056219101,-0.2344149947166443,0.025949999690055847
33.18169021606445,54.85725021362305,-87.86366271972656,0.062247999012470245,0.15397000312805176,0.16694499552249908,-0.2344149947166443,0.029410000890493393
27.849885940551758,59.16455841064453,-86.85031127929688,0.05446700006723404,0.14012999832630157,0.1911650002002716,-0.2344149947166443,0.025949999690055847
22.474775314331055,63.135955810546875,-85.41427612304688,0.21008700132369995,0.12283000349998474,0.2050050050020218,-0.2344149947166443,0.025949999690055847
17.050949096679688,66.890625,-83.62059020996094,0.23342999815940857,0.10898999869823456,0.21538500487804413,-0.2344149947166443,0.025949999690055847
11.643362998962402,70.31480407714844,-81.50176239013672,0.47464099526405334,0.08822999894618988,0.22922499477863312,-0.2274949997663498,0.029410000890493393
6.295319080352783,73.5005874633789,-79.11740112304688,0.7469760179519653,0.07092999666929245,0.2361450046300888,-0.2274949997663498,0.02249000035226345
0.9472749829292297,76.42089080810547,-76.64091491699219,0.887033998966217,0.057089999318122864,0.24652500450611115,-0.2205750048160553,0.029410000890493393
-4.4278340339660645,79.13530731201172,-73.83929443359375,1.1049020290374756,0.04324999824166298,0.2569049894809723,-0.21711499989032745,0.025949999690055847
-9.943680763244629,81.68177032470703,-70.82090759277344,1.143807053565979,0.025949999690055847,0.263824999332428,-0.20673500001430511,0.025949999690055847
-15.410811424255371,83.77853393554688,-67.46112823486328,1.1282449960708618,0.00865000020712614,0.27074500918388367,-0.19635500013828278,0.025949999690055847
-20.791332244873047,85.474365234375,-63.72201919555664,1.2449599504470825,-0.005189999938011169,0.2742049992084503,-0.18597500026226044,0.025949999690055847
-26.144790649414062,86.79093933105469,-59.67402648925781,1.2293980121612549,-0.019029999151825905,0.27766498923301697,-0.17213499546051025,0.025949999690055847
-31.519899368286133,87.7445068359375,-55.23044967651367,1.1904929876327515,-0.03286999836564064,0.281125009059906,-0.15829500555992126,0.029410000890493393
-36.759681701660156,88.45968627929688,-50.645973205566406,1.1827119588851929,-0.053630001842975616,0.27766498923301697,-0.14099499583244324,0.029410000890493393
-41.89662170410156,88.8606185913086,-46.08859634399414,1.0815589427947998,-0.07092999666929245,0.2880449891090393,-0.13407500088214874,0.02249000035226345
-46.63840866088867,88.9310531616211,-41.35239028930664,0.9959679841995239,-0.08822999894618988,0.29150500893592834,-0.11331500113010406,0.025949999690055847
-51.29358673095703,88.60055541992188,-36.41025924682617,0.9259390234947205,-0.10553000122308731,0.2880449891090393,-0.09947499632835388,0.025949999690055847
-55.78096389770508,87.86370849609375,-31.256792068481445,0.7625380158424377,-0.12283000349998474,0.29150500893592834,-0.0856349989771843,0.025949999690055847
-60.024757385253906,86.66632843017578,-25.929914474487305,0.599137008190155,-0.13666999340057373,0.29150500893592834,-0.06833499670028687,0.025949999690055847
-63.90046310424805,85.08969116210938,-20.489238739013672,0.5057650208473206,-0.15397000312805176,0.2880449891090393,-0.05103499814867973,0.025949999690055847
-67.5650634765625,83.11212158203125,-14.93476390838623,0.4512979984283447,-0.1643500030040741,0.28458499908447266,-0.0337349995970726,0.025949999690055847
-70.88323211669922,81.01535034179688,-9.445317268371582,0.5368890166282654,-0.17818999290466309,0.281125009059906,-0.012974999845027924,0.025949999690055847
-73.9848861694336,78.72354125976562,-4.102182865142822,0.47464099526405334,-0.1954900026321411,0.27766498923301697,0.0008650000090710819,0.025949999690055847
-76.82670593261719,76.1229019165039,1.3005599975585938,0.3968310058116913,-0.19894999265670776,0.27074500918388367,0.011245000176131725,0.025949999690055847
-79.500732421875,73.21343231201172,6.730398178100586,0.20230600237846375,-0.20587000250816345,0.263824999332428,0.028544999659061432,0.02249000035226345
-81.89868927001953,70.11975860595703,12.13856029510498,0.023343000560998917,-0.21971000730991364,0.2499849945306778,0.042385000735521317,0.02249000035226345
-83.84195709228516,66.56012725830078,17.541303634643555,-0.12449599802494049,-0.22316999733448029,0.2430649995803833,0.05968499928712845,0.02249000035226345
-85.35759735107422,62.61582565307617,22.873598098754883,-0.3034589886665344,-0.22316999733448029,0.23268499970436096,0.07698500156402588,0.02249000035226345
-86.5051498413086,58.31935119628906,28.276342391967773,-0.36570701003074646,-0.22663000226020813,0.21884499490261078,0.09428499639034271,0.02249000035226345
-87.39830017089844,53.93077087402344,33.641151428222656,-0.2645539939403534,-0.23354999721050262,0.2050050050020218,0.1081250011920929,0.02249000035226345
