220kVⅢ母电压_Ua_9,220kVⅢ母电压_Ub_10,220kVⅢ母电压_Uc_11,220kVⅢ母电压_3U0_12,博南Ⅱ回电流_Ia_17,博南Ⅱ回电流_Ib_18,博南Ⅱ回电流_Ic_19,博南Ⅱ回电流_3I0_20
36.79486083984375,45.9449462890625,-83.6734848022461,-1.7895575761795044,-0.08040007948875427,-0.05619360879063606,0.13832272589206696,0.0008645150228403509
32.048641204833984,50.41883850097656,-83.24555206298828,-1.688408613204956,-0.0752129778265953,-0.06051619350910187,0.14437434077262878,0.005187099799513817
27.255739212036133,54.760459899902344,-82.67755889892578,-1.3616198301315308,-0.06138070672750473,-0.06916136294603348,0.13832272589206696,-1.999999943436137e-09
22.447277069091797,58.67414474487305,-81.3859634399414,-0.8247526288032532,-0.05965167284011841,-0.07348395138978958,0.14696788787841797,0.0008645150228403509
17.358707427978516,62.198795318603516,-79.71311950683594,-0.46684110164642334,-0.0510065034031868,-0.0864517018198967,0.1461033672094345,0.002593548968434334
12.355728149414062,65.7078857421875,-78.01692962646484,-0.20229780673980713,-0.039767783135175705,-0.09423235803842545,0.14091627299785614,0.0008645150228403509
7.485019207000732,68.80459594726562,-76.1028823852539,-0.05446479469537735,-0.031122613698244095,-0.09596139192581177,0.13918723165988922,0.003458065912127495
2.365328311920166,71.34888458251953,-73.56637573242188,0.015561369247734547,-0.01901937462389469,-0.10374204069375992,0.13400013744831085,0.0008645150228403509
-2.8088274002075195,73.65196228027344,-70.73420715332031,-0.007780686020851135,-0.00950968824326992,-0.1106581762433052,0.13400013744831085,0.005187099799513817
-7.835149765014648,75.8227767944336,-67.79310607910156,0.023342054337263107,-0.004322586115449667,-0.11152269691228867,0.12535496056079865,0.005187099799513817
-13.009305000305176,77.90799713134766,-64.63414764404297,0.14783301949501038,0.00864516943693161,-0.1218969002366066,0.12362593412399292,0.0017290320247411728
-18.004505157470703,79.76758575439453,-61.40516662597656,0.38125357031822205,0.010374203324317932,-0.12276141345500946,0.12276141345500946,0.003458065912127495
-22.976362228393555,80.9580307006836,-57.475921630859375,0.5913320779800415,0.01815485581755638,-0.12881304323673248,0.10979365557432175,-0.004322587046772242
