1-110kVⅠ段母线Ua_1,2-110kVⅠ段母线Ub_2,3-110kVⅠ段母线Uc_3,4-110kVⅠ段母线3Uo_4,25-110kV绿锡线路电流Ia_25,26-110kV绿锡线路电流Ib_26,27-110kV绿锡线路电流Ic_27,28-110kV绿锡线路电流3Io_28
29.583356857299805,54.47957992553711,-84.25445556640625,-0.4752086400985718,-1.37618088722229,-3.3185460567474365,4.764281749725342,0.07052572816610336
24.753419876098633,58.0270881652832,-82.86077117919922,-0.31680575013160706,-1.058600664138794,-3.5303683280944824,4.693699836730957,0.07052572816610336
19.637500762939453,62.11305618286133,-81.72048950195312,0.0,-0.7763071656227112,-3.742190361022949,4.623117923736572,0.07052572816610336
14.17204761505127,66.00897979736328,-80.48517608642578,-0.6652920842170715,-0.4940136671066284,-3.954012393951416,4.517244815826416,0.07052572816610336
8.99257755279541,68.89132690429688,-77.88786315917969,-0.15840287506580353,-0.2470068335533142,-4.0599236488342285,4.3760809898376465,0.07052572816610336
3.7813313007354736,72.02706909179688,-75.51226806640625,0.3484863340854645,0.10586006939411163,-4.2364420890808105,4.234917163848877,0.10578858852386475
-1.5887945890426636,75.00444793701172,-73.23169708251953,0.22176402807235718,0.42344027757644653,-4.37765645980835,4.058462142944336,0.07052572816610336
-6.704713344573975,76.96824645996094,-69.96920776367188,0.44352805614471436,0.6704471111297607,-4.518871307373047,3.9172983169555664,0.07052572816610336
-12.043063163757324,79.3121337890625,-66.9917984008789,0.4118475019931793,0.9880273342132568,-4.589478492736816,3.7408432960510254,0.10578858852386475
-17.06365394592285,81.21258544921875,-63.697635650634766,0.6652920842170715,1.2703207731246948,-4.730693340301514,3.5643885135650635,0.07052572816610336
-21.861814498901367,82.47955322265625,-60.055057525634766,0.9187366962432861,1.5526143312454224,-4.801301002502441,3.2820606231689453,0.07052572816610336
-27.486146926879883,83.93656158447266,-56.19075393676758,0.4118475019931793,1.83490788936615,-4.871908187866211,3.070314884185791,0.07052572816610336
-32.44318771362305,84.53836822509766,-51.91468048095703,0.22176402807235718,2.0819146633148193,-4.871908187866211,2.8232779502868652,0.07052572816610336
-36.8282585144043,84.50669860839844,-47.258514404296875,0.696972668170929,2.364208221435547,-4.907211780548096,2.611532211303711,0.07052572816610336
-42.230159759521484,85.2352066040039,-42.538997650146484,0.6652920842170715,2.6465017795562744,-4.871908187866211,2.3292043209075928,0.07052572816610336
-46.80588912963867,84.82344055175781,-37.78780746459961,0.2534446120262146,2.8582217693328857,-4.836604595184326,2.0468764305114746,0.07052572816610336
-51.15918731689453,84.18995666503906,-32.624847412109375,0.570250391960144,3.1052286624908447,-4.801301002502441,1.799839735031128,0.07052572816610336
-55.70314025878906,83.71484375,-27.651931762695312,0.44352805614471436,3.316948890686035,-4.730693340301514,1.5175119638442993,0.03526286408305168
-59.00783157348633,82.41619873046875,-22.995765686035156,0.6336115002632141,3.493382215499878,-4.660086154937744,1.1998931169509888,0.07052572816610336
-62.6938362121582,81.21258544921875,-18.117876052856445,0.5385698080062866,3.740389108657837,-4.518871307373047,0.8822743892669678,0.03526286408305168
-66.6022720336914,79.5655288696289,-12.828216552734375,0.1267223060131073,3.916822671890259,-4.448264122009277,0.564655601978302,0.07052572816610336
-69.0807876586914,77.22163391113281,-7.823627948760986,0.44352805614471436,4.057969093322754,-4.30704927444458,0.31761878728866577,0.07052572816610336
-72.25837707519531,74.87774658203125,-2.312246322631836,0.3801669180393219,4.199116230010986,-4.165834426879883,-0.035290975123643875,0.07052572816610336
-75.46774291992188,72.28046417236328,3.072437047958374,-0.22176402807235718,4.3402628898620605,-3.954012393951416,-0.35290974378585815,0.07052572816610336
-77.2471923828125,68.85965728759766,8.362096786499023,-0.06336115300655365,4.446123123168945,-3.812797784805298,-0.6705285310745239,0.07052572816610336
-79.88459014892578,65.75558471679688,14.000176429748535,-0.2534446120262146,4.5872697830200195,-3.600975513458252,-0.9528563022613525,0.03526286408305168
-81.473388671875,62.46147155761719,18.814716339111328,-0.4752086400985718,4.657843112945557,-3.3538498878479004,-1.1998931169509888,0.03526286408305168
-82.45844268798828,58.502201080322266,23.755956649780273,-0.3801669180393219,4.728416442871094,-3.1420276165008545,-1.5175119638442993,0.03526286408305168
-84.07901000976562,54.54292678833008,29.23566246032715,-0.5385698080062866,4.763703346252441,-2.894901990890503,-1.799839735031128,0.03526286408305168
-84.04723358154297,50.2352409362793,33.7017822265625,-0.2534446120262146,4.763703346252441,-2.6477761268615723,-2.082167625427246,0.0
-84.36499786376953,45.76918029785156,38.579673767089844,0.031680576503276825,4.798989772796631,-2.4006505012512207,-2.3292043209075928,0.0
-85.22294616699219,41.39814758300781,43.64760971069336,-0.31680575013160706,4.763703346252441,-2.0829172134399414,-2.6468231678009033,-0.03526286408305168
-84.42854309082031,36.42530059814453,47.987030029296875,-0.1267223060131073,4.728416442871094,-1.800487756729126,-2.89385986328125,0.0
-84.01545715332031,31.420780181884766,52.61152267456055,0.0,4.693129539489746,-1.5533620119094849,-3.1056058406829834,0.0
-83.47527313232422,26.416261672973633,56.76089859008789,-0.3801669180393219,4.5872697830200195,-1.3062362670898438,-3.3173515796661377,-0.03526286408305168
-81.85469818115234,21.47509002685547,60.150081634521484,-0.31680575013160706,4.481409549713135,-0.9531994462013245,-3.529097557067871,0.0
-80.67899322509766,16.185503005981445,64.10940551757812,-0.6019309759140015,4.410836219787598,-0.6354662775993347,-3.7408432960510254,-0.03526286408305168
