1-220kVⅠ母电压Ua_1,2-220kVⅠ母电压Ub_2,3-220kVⅠ母电压Uc_3,4-220kVⅠ母电压3Uo_4,9-砚马Ⅰ回265电流Ia_9,10-砚马Ⅰ回265电流Ib_10,11-砚马Ⅰ回265电流Ic_11,12-砚马Ⅰ回265电流3Io_12
35.027286529541016,50.89297103881836,-86.26331329345703,-0.5070675611495972,0.10051099210977554,0.19707715511322021,-0.28728145360946655,0.0
29.97344207763672,55.3294677734375,-85.62948608398438,-0.5387592315673828,0.08256260305643082,0.20782682299613953,-0.28728145360946655,0.0
24.951379776000977,59.100494384765625,-84.42522430419922,-0.5070675611495972,0.0682038888335228,0.2221597135066986,-0.28728145360946655,-0.0035893640015274286
20.24717140197754,62.49124526977539,-82.9674301147461,-0.3803006410598755,0.04666581749916077,0.23290936648845673,-0.28009942173957825,-0.0035893640015274286
15.320465087890625,65.72354888916016,-81.25611114501953,-0.31691721081733704,0.032307107001543045,0.24365903437137604,-0.2765083909034729,-0.0035893640015274286
10.139477729797363,68.92416381835938,-79.32294464111328,-0.4119923710823059,0.01076903473585844,0.2508254647254944,-0.2693263590335846,-0.0035893640015274286
4.608853816986084,71.93464660644531,-76.78765869140625,-0.5070675611495972,-0.007179356645792723,0.2615751326084137,-0.25855329632759094,-0.0035893640015274286
-0.9535559415817261,74.62823486328125,-73.90376281738281,-0.4119923710823059,-0.025127748027443886,0.26515835523605347,-0.25137126445770264,-0.007178728003054857
-6.229898929595947,77.1316909790039,-71.01986694335938,-0.2852254807949066,-0.039486464112997055,0.2759080231189728,-0.24059821665287018,-0.01076809223741293
-11.474456787109375,79.41331481933594,-67.85075378417969,0.09507516026496887,-0.06102453172206879,0.27949124574661255,-0.22982516884803772,-0.007178728003054857
-16.75079917907715,81.2829818725586,-64.3647232055664,0.2852254807949066,-0.08256260305643082,0.2866576910018921,-0.22264312207698822,-0.007178728003054857
-22.186067581176758,82.83575439453125,-60.4033317565918,0.3803006410598755,-0.09333163499832153,0.29382413625717163,-0.2082790583372116,-0.01076809223741293
-27.653121948242188,84.29346466064453,-56.37855529785156,0.4119923710823059,-0.11845938861370087,0.29024091362953186,-0.1939149796962738,-0.01076809223741293
-33.12017822265625,85.402587890625,-52.06855773925781,0.31691721081733704,-0.12922842800617218,0.2974073588848114,-0.1795509159564972,-0.01076809223741293
-38.269378662109375,86.13143920898438,-47.663490295410156,0.2535337805747986,-0.1435871422290802,0.29382413625717163,-0.1651868373155594,-0.01076809223741293
-43.13251495361328,86.54340362548828,-43.38518524169922,0.06338344514369965,-0.16153553128242493,0.2974073588848114,-0.15441378951072693,-0.01076809223741293
-47.963863372802734,86.51171112060547,-38.69489288330078,-0.31691721081733704,-0.17589424550533295,0.29024091362953186,-0.13645869493484497,-0.014357456006109715
-52.699859619140625,86.32157897949219,-33.877838134765625,-0.5704509615898132,-0.19384263455867767,0.29024091362953186,-0.11850360035896301,-0.01076809223741293
-56.83193588256836,85.27583312988281,-28.870637893676758,-0.8239847421646118,-0.204611673951149,0.2866576910018921,-0.10054851323366165,-0.017946820706129074
-60.58258819580078,83.94488525390625,-23.800052642822266,-0.7922930121421814,-0.218970388174057,0.2830744683742523,-0.0825934186577797,-0.014357456006109715
-63.824676513671875,82.20197296142578,-18.824542999267578,-0.760601282119751,-0.23332910239696503,0.27949124574661255,-0.06822934746742249,-0.014357456006109715
-66.90784454345703,80.33230590820312,-13.658885955810547,-0.44368410110473633,-0.24050845205783844,0.26874157786369324,-0.050274256616830826,-0.017946820706129074
-69.8638687133789,78.17743682861328,-8.398154258728027,-0.15845860540866852,-0.25127747654914856,0.2579919099807739,-0.028728146106004715,-0.017946820706129074
-72.75631713867188,75.48384857177734,-2.852203369140625,-0.15845860540866852,-0.25845685601234436,0.2472422569990158,-0.01077305432409048,-0.017946820706129074
-75.36270141601562,72.6001205444336,2.566983222961426,-0.22184205055236816,-0.2656362056732178,0.24007581174373627,0.01077305432409048,-0.017946820706129074
-77.77838134765625,69.58964538574219,7.859405040740967,-0.44368410110473633,-0.2764052450656891,0.2221597135066986,0.025137128308415413,-0.017946820706129074
-79.90798950195312,66.35733795166016,13.120136260986328,-0.6972178816795349,-0.2799949049949646,0.21499326825141907,0.04309221729636192,-0.02153618447482586
-81.75152587890625,62.74475860595703,18.31748390197754,-1.0775184631347656,-0.2835845947265625,0.20066037774085999,0.06104730814695358,-0.017946820706129074
-83.2772216796875,58.87866973876953,23.609907150268555,-1.331052303314209,-0.2835845947265625,0.18274427950382233,0.07900240272283554,-0.02153618447482586
-84.61219787597656,54.88581848144531,28.934019088745117,-1.331052303314209,-0.2871742844581604,0.17199461162090302,0.10054851323366165,-0.017946820706129074
-85.47039794921875,50.512699127197266,34.16305923461914,-1.2359771728515625,-0.2871742844581604,0.15766172111034393,0.11132156103849411,-0.014357456006109715
-86.13788604736328,46.10789108276367,39.26533508300781,-1.2676688432693481,-0.2907639443874359,0.1361624002456665,0.12927664816379547,-0.014357456006109715
-86.5193099975586,41.576324462890625,44.14577102661133,-1.2676688432693481,-0.2943536341190338,0.12182951718568802,0.14364072680473328,-0.014357456006109715
-86.4875259399414,36.8546257019043,49.057899475097656,-0.9507516622543335,-0.2943536341190338,0.1110798567533493,0.15800480544567108,-0.014357456006109715
-86.0743179321289,32.0378532409668,53.62142562866211,-0.6338344216346741,-0.2907639443874359,0.08958052843809128,0.1723688691854477,-0.014357456006109715
-84.93004608154297,26.935880661010742,57.67789077758789,-0.44368410110473633,-0.2871742844581604,0.07524764537811279,0.1867329478263855,-0.014357456006109715
-83.53150177001953,21.992355346679688,61.3223762512207,-0.31691721081733704,-0.2799949049949646,0.05374831706285477,0.20468804240226746,-0.014357456006109715
-81.87866973876953,16.890382766723633,64.71332550048828,-0.4119923710823059,-0.2764052450656891,0.03224898874759674,0.21905210614204407,-0.014357456006109715
-79.81262969970703,11.661652565002441,67.91413116455078,-0.4119923710823059,-0.2656362056732178,0.01433288399130106,0.22623415291309357,-0.01076809223741293
-77.4923095703125,6.3061652183532715,70.86141204833984,-0.3803006410598755,-0.25845685601234436,-0.003583220997825265,0.23700720071792603,-0.01076809223741293
-74.7587890625,0.8556103706359863,73.55516052246094,-0.4119923710823059,-0.24768781661987305,-0.017916105687618256,0.24778024852275848,-0.01076809223741293
-71.80276489257812,-4.531566143035889,76.02706909179688,-0.2852254807949066,-0.23332910239696503,-0.03941543027758598,0.25855329632759094,-0.01076809223741293
-68.59246063232422,-9.887052536010742,78.3722152709961,-0.06338344514369965,-0.2225600630044937,-0.06091475859284401,0.26573535799980164,-0.007178728003054857
-65.12786865234375,-15.179161071777344,80.33706665039062,0.1267668902873993,-0.2082013487815857,-0.07883086055517197,0.2693263590335846,-0.0035893640015274286
-61.25007629394531,-20.4395809173584,81.82654571533203,0.2852254807949066,-0.19743230938911438,-0.09674696624279022,0.2765083909034729,-0.007178728003054857
-57.213356018066406,-25.795066833496094,83.25264739990234,0.47537583112716675,-0.18307359516620636,-0.11466307193040848,0.28009942173957825,-0.0035893640015274286
-53.08127975463867,-31.0237979888916,84.45691680908203,0.6338344216346741,-0.16871488094329834,-0.1254127323627472,0.2836904525756836,-0.0035893640015274286
-48.75849533081055,-36.25252914428711,85.43933868408203,0.760601282119751,-0.1507664918899536,-0.14691206812858582,0.28728145360946655,-0.007178728003054857
-44.4992790222168,-41.25943374633789,86.10485076904297,0.6655261516571045,-0.1364077776670456,-0.15766172111034393,0.28728145360946655,-0.0035893640015274286
