1-220kV母线Ⅰ电压Ua_1,2-220kV母线Ⅰ电压Ub_2,3-220kV母线Ⅰ电压Uc_3,4-220kV母线Ⅰ电压3Uo_4,41-220kV瑞达Ⅰ线路电流Ia_41,42-220kV瑞达Ⅰ线路电流Ib_42,43-220kV瑞达Ⅰ线路电流Ic_43,44-220kV瑞达Ⅰ线路电流3Io_44
-84.85537719726562,32.93389129638672,51.8057861328125,-0.1269036829471588,-0.16340875625610352,0.04272044450044632,0.11391135305166245,0.0
-83.9323501586914,27.88910484313965,55.92994689941406,-0.0634518414735794,-0.1563040316104889,0.028480296954512596,0.12103080749511719,0.007106075529009104
-82.69102478027344,22.653947830200195,59.927207946777344,0.0317259207367897,-0.14919929206371307,0.014240148477256298,0.12815026938915253,0.007106075529009104
-81.0995864868164,17.291879653930664,63.76585006713867,-0.0317259207367897,-0.14209456741809845,0.0,0.1423891931772232,0.0
-79.31718444824219,11.89808177947998,67.28724670410156,-0.09517775475978851,-0.13498984277248383,-0.014240148477256298,0.13526973128318787,0.0
-77.18465423583984,6.40910005569458,70.5865707397461,-0.22208143770694733,-0.1278851181268692,-0.02136022225022316,0.14950864017009735,0.0
-74.6701889038086,0.9518465399742126,73.44176483154297,-0.28553327918052673,-0.12078038603067398,-0.04272044450044632,0.1566281020641327,0.007106075529009104
-71.77377319335938,-4.473679065704346,76.04315185546875,-0.19035550951957703,-0.11367565393447876,-0.04272044450044632,0.14950864017009735,0.007106075529009104
-68.68638610839844,-9.867476463317871,78.39075469970703,-0.09517775475978851,-0.10657092928886414,-0.04984051734209061,0.1566281020641327,0.007106075529009104
-65.31254577636719,-15.039175987243652,80.3893814086914,0.1269036829471588,-0.08525674045085907,-0.07120074331760406,0.1566281020641327,0.007106075529009104
-61.71589660644531,-20.179147720336914,82.00732421875,0.34898510575294495,-0.08525674045085907,-0.07832081615924835,0.16374756395816803,0.007106075529009104
-57.960105895996094,-25.097021102905273,83.3397445678711,0.5076147317886353,-0.07104728370904922,-0.09256096184253693,0.1566281020641327,0.0
-54.077003479003906,-29.98316764831543,84.38664245605469,0.6027924418449402,-0.07104728370904922,-0.09968103468418121,0.16374756395816803,0.007106075529009104
-49.97109603881836,-34.80585479736328,85.0528564453125,0.6027924418449402,-0.04973309859633446,-0.11392118781805038,0.16374756395816803,0.007106075529009104
-45.61056137084961,-39.438175201416016,85.2749252319336,0.47588878870010376,-0.04973309859633446,-0.12104126065969467,0.16374756395816803,0.007106075529009104
-40.99539566040039,-44.00703811645508,85.24320220947266,0.41243696212768555,-0.02841891348361969,-0.12816134095191956,0.16374756395816803,0.007106075529009104
-36.157432556152344,-48.575904846191406,84.79906463623047,0.22208143770694733,-0.014209456741809845,-0.14240148663520813,0.1566281020641327,0.0
-31.160322189331055,-52.85921096801758,84.03768157958984,0.0634518414735794,-0.0071047283709049225,-0.1566416323184967,0.14950864017009735,0.0
-25.940410614013672,-57.01560974121094,82.8956069946289,-0.0317259207367897,0.0071047283709049225,-0.1566416323184967,0.14950864017009735,0.007106075529009104
-20.52952766418457,-60.98163604736328,81.4045639038086,-0.1269036829471588,0.021314185112714767,-0.163761705160141,0.1423891931772232,0.0
-15.118643760681152,-64.662109375,79.78662109375,0.0,0.02841891348361969,-0.17088177800178528,0.13526973128318787,0.007106075529009104
-9.675931930541992,-68.02529907226562,77.72454071044922,0.1269036829471588,0.042628370225429535,-0.17800185084342957,0.13526973128318787,0.0
-4.137734413146973,-71.1346664428711,75.31349182128906,0.22208143770694733,0.04973309859633446,-0.18512192368507385,0.12815026938915253,0.007106075529009104
1.3368064165115356,-73.92675018310547,72.77555084228516,0.31725919246673584,0.0639425590634346,-0.19224199652671814,0.12103080749511719,0.007106075529009104
6.747689723968506,-76.56018829345703,69.92036437988281,0.2538073658943176,0.07104728370904922,-0.19224199652671814,0.12103080749511719,0.007106075529009104
12.031257629394531,-78.8446273803711,66.84310913085938,0.1269036829471588,0.07815201580524445,-0.19224199652671814,0.11391135305166245,0.0
17.251169204711914,-80.87522888183594,63.54377746582031,-0.09517775475978851,0.08525674045085907,-0.19936206936836243,0.09967242926359177,0.007106075529009104
22.343765258789062,-82.58855438232422,60.02238082885742,-0.34898510575294495,0.09946619719266891,-0.19936206936836243,0.09255297482013702,0.0
27.24538803100586,-83.88941192626953,56.34236145019531,-0.44416287541389465,0.10657092928886414,-0.2064821422100067,0.09255297482013702,0.0
32.0515251159668,-84.93643951416016,52.53544616699219,-0.5076147317886353,0.11367565393447876,-0.2064821422100067,0.07831405103206635,0.0
36.88949203491211,-85.53927612304688,48.31611251831055,-0.5076147317886353,0.12078038603067398,-0.19936206936836243,0.0711945965886116,0.007106075529009104
41.75928497314453,-85.85655975341797,43.87471008300781,-0.41243696212768555,0.1278851181268692,-0.19936206936836243,0.05695567652583122,0.007106075529009104
46.46993637084961,-85.79310607910156,39.211238861083984,-0.31725919246673584,0.13498984277248383,-0.19224199652671814,0.04983621463179588,0.0
50.98961639404297,-85.31717681884766,34.19879913330078,-0.19035550951957703,0.14209456741809845,-0.18512192368507385,0.04271675646305084,0.007106075529009104
55.41381072998047,-84.46051788330078,28.96428871154785,-0.0634518414735794,0.1563040316104889,-0.18512192368507385,0.02135837823152542,0.0
59.61520004272461,-83.2231216430664,23.602882385253906,-0.0317259207367897,0.16340875625610352,-0.17800185084342957,0.014238919131457806,0.007106075529009104
63.53013229370117,-81.70016479492188,18.209749221801758,0.0,0.16340875625610352,-0.17088177800178528,0.0,0.0
