1-220kVⅠ段母线电压Ua_1,2-220kVⅠ段母线电压Ub_2,3-220kVⅠ段母线电压Uc_3,4-220kVⅠ段母线电压3Uo_4,9-220kV尖铝II回263电流Ia_9,10-220kV尖铝II回263电流Ib_10,11-220kV尖铝II回263电流Ic_11,12-220kV尖铝II回263电流3Io_12
-79.7840347290039,21.722143173217773,58.1888313293457,0.31723836064338684,-0.9898625016212463,0.4591233730316162,0.4949283301830292,0.0
-78.13048553466797,16.997180938720703,61.391597747802734,0.5075814127922058,-0.9545102715492249,0.3884890079498291,0.5656324028968811,0.0
-76.3497314453125,12.018528938293457,64.72120666503906,0.6344767212867737,-0.9545102715492249,0.317854642868042,0.5656324028968811,0.035373397171497345
-74.79157257080078,7.039876937866211,68.05081176757812,0.5393052101135254,-0.9545102715492249,0.24722027778625488,0.671688437461853,0.035373397171497345
-72.8518295288086,2.2514922618865967,70.93647003173828,0.5393052101135254,-0.9191580414772034,0.17658591270446777,0.7070404887199402,0.0
-70.21249389648438,-2.8222930431365967,73.4098892211914,0.5710290670394897,-0.8838058114051819,0.14126873016357422,0.7423924803733826,0.0
-67.03258514404297,-8.181478500366211,75.47107696533203,0.5710290670394897,-0.9191580414772034,0.10595154762268066,0.7777445316314697,0.0
-63.94806671142578,-13.540663719177246,77.81765747070312,0.6344767212867737,-0.8838058114051819,0.07063436508178711,0.8130965828895569,0.0
-60.48196029663086,-18.89984893798828,79.78370666503906,0.7613720893859863,-0.8484535217285156,0.0,0.8130965828895569,0.0
-56.3162727355957,-24.290746688842773,81.0838394165039,0.7613720893859863,-0.8131012916564941,-0.035317182540893555,0.8838006258010864,0.035373397171497345
-52.2459831237793,-29.047420501708984,81.7814712524414,0.8565436005592346,-0.7423968315124512,-0.10595154762268066,0.8838006258010864,0.0
-48.27109146118164,-33.677249908447266,82.41567993164062,0.8565436005592346,-0.7423968315124512,-0.21190309524536133,0.954504668712616,0.035373397171497345
-44.105403900146484,-38.1168098449707,82.70108032226562,0.7930959463119507,-0.7070446014404297,-0.24722027778625488,0.9191526174545288,0.035373397171497345
-39.526329040527344,-42.61979675292969,82.54252624511719,0.666200578212738,-0.6363401412963867,-0.28253746032714844,0.954504668712616,0.0
-34.72465896606445,-47.059356689453125,82.06686401367188,0.5393052101135254,-0.6009879112243652,-0.35317182540893555,0.954504668712616,0.035373397171497345
-29.891189575195312,-51.43549728393555,81.68634033203125,0.5710290670394897,-0.5656356811523438,-0.42380619049072266,0.954504668712616,0.0
