1-220kVⅠ段母线电压Ua_1,2-220kVⅠ段母线电压Ub_2,3-220kVⅠ段母线电压Uc_3,4-220kVⅠ段母线电压3Uo_4,9-220kV通锡Ⅰ回线路电流Ia_9,10-220kV通锡Ⅰ回线路电流Ib_10,11-220kV通锡Ⅰ回线路电流Ic_11,12-220kV通锡Ⅰ回线路电流3Io_12
-83.31753540039062,58.1029052734375,24.943330764770508,-0.6010316610336304,0.28196480870246887,-0.10585510730743408,-0.10581750422716141,0.0
-84.80818176269531,53.9278450012207,30.538982391357422,-0.7591978907585144,0.24671919643878937,-0.10585510730743408,-0.1410900056362152,0.07051406055688858
-85.25220489501953,49.563011169433594,35.18621826171875,-0.9489973783493042,0.24671919643878937,-0.07057006657123566,-0.10581750422716141,0.0
-85.15705871582031,45.00840377807617,39.89668273925781,-0.5061319470405579,0.24671919643878937,-0.10585510730743408,-0.17636249959468842,0.0
-85.1253433227539,40.13750076293945,44.76521682739258,-0.44286543130874634,0.28196480870246887,-0.07057006657123566,-0.1410900056362152,0.03525703027844429
-84.83989715576172,34.98193359375,49.69697952270508,-0.34796568751335144,0.24671919643878937,-0.07057006657123566,-0.17636249959468842,0.03525703027844429
-84.0152816772461,30.174291610717773,53.80677795410156,-0.1897994726896286,0.24671919643878937,-0.03528503328561783,-0.17636249959468842,0.0
-82.58807373046875,25.11361312866211,57.63205337524414,0.3795989453792572,0.24671919643878937,0.0,-0.17636249959468842,0.07051406055688858
-81.47801971435547,19.736642837524414,61.773468017578125,0.15816622972488403,0.21147359907627106,-0.03528503328561783,-0.21163500845432281,0.03525703027844429
-80.24109649658203,14.454560279846191,65.7568130493164,0.06326649338006973,0.24671919643878937,0.0,-0.21163500845432281,0.03525703027844429
-78.46501159667969,9.393882751464844,68.88658905029297,-0.22143271565437317,0.21147359907627106,0.03528503328561783,-0.21163500845432281,0.03525703027844429
-75.83259582519531,4.206688404083252,71.47891998291016,-0.12653298676013947,0.21147359907627106,0.03528503328561783,-0.21163500845432281,0.03525703027844429
-73.64420318603516,-1.1702817678451538,74.64030456542969,0.0,0.17622800171375275,0.03528503328561783,-0.21163500845432281,0.0
-70.82149505615234,-6.610510349273682,77.2958755493164,0.031633246690034866,0.17622800171375275,0.03528503328561783,-0.17636249959468842,0.03525703027844429
-67.93534851074219,-11.860963821411133,79.63529968261719,0.0,0.17622800171375275,0.07057006657123566,-0.21163500845432281,0.0
-64.12944793701172,-16.542089462280273,80.96308135986328,0.7591978907585144,0.17622800171375275,0.10585510730743408,-0.21163500845432281,0.0
-60.19668197631836,-22.013948440551758,82.63861083984375,1.0122638940811157,0.17622800171375275,0.1411401331424713,-0.21163500845432281,0.0
-56.263916015625,-26.979738235473633,83.71348571777344,1.1071635484695435,0.14098240435123444,0.10585510730743408,-0.21163500845432281,0.0
-51.982276916503906,-32.48322677612305,84.94642639160156,1.170430064201355,0.10573679953813553,0.17642517387866974,-0.24690750241279602,0.0
-47.63720703125,-36.72154235839844,84.97803497314453,1.4234960079193115,0.10573679953813553,0.1411401331424713,-0.24690750241279602,0.0
-42.943260192871094,-41.90873718261719,85.23094940185547,0.9806305766105652,0.07049120217561722,0.1411401331424713,-0.24690750241279602,0.0
-38.185882568359375,-46.43171691894531,84.69351196289062,0.6010316610336304,0.07049120217561722,0.17642517387866974,-0.24690750241279602,0.0
-33.46022033691406,-51.30261993408203,84.63028717041016,0.12653298676013947,0.07049120217561722,0.17642517387866974,-0.21163500845432281,0.0
-28.57598114013672,-55.47768020629883,83.8399429321289,-0.031633246690034866,0.07049120217561722,0.21171021461486816,-0.21163500845432281,0.0
-23.279434204101562,-59.36807632446289,82.32247161865234,-0.15816622972488403,0.03524560108780861,0.17642517387866974,-0.21163500845432281,0.0
-18.236614227294922,-63.195213317871094,81.05792236328125,-0.2846992015838623,0.0,0.21171021461486816,-0.21163500845432281,0.0
-13.003498077392578,-67.30701446533203,79.9514389038086,-0.22143271565437317,-0.03524560108780861,0.21171021461486816,-0.21163500845432281,0.0
-7.928962230682373,-69.9638671875,77.77008056640625,0.12653298676013947,0.0,0.17642517387866974,-0.21163500845432281,0.03525703027844429
-2.505552053451538,-73.03190612792969,75.43065643310547,0.1897994726896286,-0.03524560108780861,0.21171021461486816,-0.21163500845432281,0.0
2.7592790126800537,-75.72039031982422,72.99639129638672,0.34796568751335144,-0.07049120217561722,0.21171021461486816,-0.17636249959468842,0.0
8.24612045288086,-78.5037612915039,70.15113830566406,0.06326649338006973,-0.10573679953813553,0.21171021461486816,-0.17636249959468842,-0.03525703027844429
13.637815475463867,-81.00247192382812,67.21105194091797,0.06326649338006973,-0.10573679953813553,0.2469952404499054,-0.1410900056362152,-0.03525703027844429
18.33176040649414,-81.79320526123047,63.322547912597656,0.0,-0.10573679953813553,0.2469952404499054,-0.1410900056362152,0.03525703027844429
23.40629768371582,-83.46955108642578,59.59211349487305,-0.4744986891746521,-0.07049120217561722,0.2469952404499054,-0.1410900056362152,0.0
28.671127319335938,-84.79798126220703,55.45069885253906,-1.0122638940811157,-0.10573679953813553,0.21171021461486816,-0.10581750422716141,0.0
33.745662689208984,-85.58871459960938,51.30928421020508,-0.8224643468856812,-0.14098240435123444,0.2822802662849426,-0.10581750422716141,0.0
38.185882568359375,-85.46219635009766,46.725276947021484,-0.6010316610336304,-0.14098240435123444,0.2469952404499054,-0.0705450028181076,0.0
43.1652717590332,-85.6203384399414,41.793514251708984,-0.8540976047515869,-0.14098240435123444,0.21171021461486816,-0.0705450028181076,0.0
