220kVⅡ电压_A相_5,220kVⅡ电压_B相_6,220kVⅡ电压_C相_7,220kVⅡ电压_3U0_8,那蔓线276_A相_17,那蔓线276_B相_18,那蔓线276_C相_19,那蔓线276_3I0_20
-76.09239959716797,4.032957077026367,71.64414978027344,-0.4673316180706024,1.7203139066696167,0.14988870918750763,-1.707611322402954,0.08466488122940063
-63.34295654296875,-18.27790069580078,82.11849975585938,0.1401994824409485,1.370579719543457,0.7119713425636292,-1.9222291707992554,0.07525767385959625
-45.59739303588867,-39.230613708496094,85.70018768310547,0.9346632361412048,0.9168705940246582,1.1522694826126099,-1.9408916234970093,0.04703604429960251
-25.198286056518555,-56.85536193847656,82.46208953857422,0.3738653063774109,0.4159000515937805,1.5550953149795532,-1.810254693031311,0.04703604429960251
-3.7626399993896484,-71.7741928100586,75.933837890625,-0.1557772010564804,-0.16068865358829498,1.8736088275909424,-1.5769743919372559,0.06585046648979187
18.636987686157227,-82.42161560058594,63.81441116333008,-0.280398964881897,-0.6711114645004272,2.04223370552063,-1.213057279586792,0.05644325539469719
39.42998123168945,-85.88436126708984,46.43698501586914,-0.1557772010564804,-1.1626297235488892,2.089073896408081,-0.7651591897010803,0.04703604429960251
56.937137603759766,-82.34904479980469,25.47787094116211,-0.04673316329717636,-1.5501729249954224,1.9391851425170898,-0.2332802414894104,0.028221627697348595
71.85295104980469,-75.77604675292969,3.7586886882781982,-0.3115544021129608,-1.852645754814148,1.6862479448318481,0.3452547490596771,0.009407209232449532
82.4463882446289,-63.438724517822266,-18.470674514770508,0.3894430100917816,-2.041691303253174,1.3489984273910522,0.8584712743759155,0.0
85.52490997314453,-46.10426712036133,-39.231964111328125,0.4517538845539093,-2.079500198364258,0.88996422290802,1.3530254364013672,-0.009407209232449532
82.36346435546875,-25.307064056396484,-56.79680633544922,0.06231088191270828,-1.956620693206787,0.3653537333011627,1.7542674541473389,0.009407209232449532
75.54302978515625,-3.680462121963501,-71.71702575683594,0.03115544095635414,-1.7014093399047852,-0.2154650241136551,2.071528434753418,0.028221627697348595
63.560630798339844,18.94141960144043,-82.43085479736328,-0.2180880904197693,-1.361127495765686,-0.7400755286216736,2.230159044265747,0.028221627697348595
46.053470611572266,39.76972579956055,-86.22077941894531,-0.5452201962471008,-0.8979660272598267,-1.2459498643875122,2.3048088550567627,0.04703604429960251
25.509248733520508,57.3218994140625,-83.06597900390625,-0.24924352765083313,-0.39699551463127136,-1.6113035678863525,2.1555094718933105,0.018814418464899063
3.938851833343506,72.06448364257812,-76.12125396728516,0.20251037180423737,0.17959320545196533,-1.8923449516296387,1.8569107055664062,0.04703604429960251
-18.823566436767578,82.5771255493164,-63.9705924987793,0.18693265318870544,0.7183728218078613,-2.060969829559326,1.5209871530532837,0.04703604429960251
-39.440345764160156,86.2575912475586,-46.08298110961914,0.3582875728607178,1.1815342903137207,-2.0984418392181396,1.0637578964233398,0.04703604429960251
-56.885311126708984,82.81558227539062,-25.894346237182617,-0.1401994824409485,1.578529715538025,-1.986025333404541,0.5318789482116699,0.08466488122940063
-71.61454772949219,76.20111846923828,-4.102280616760254,0.18693265318870544,1.8904547691345215,-1.7049840688705444,-0.0466560497879982,0.08466488122940063
-82.25981140136719,63.97783279418945,18.606029510498047,-0.34270983934402466,2.079500198364258,-1.4052066802978516,-0.559872567653656,0.06585046648979187
-85.94989013671875,46.39455795288086,39.242374420166016,-0.8100414872169495,2.1078572273254395,-0.9180683493614197,-1.0077706575393677,0.08466488122940063
-89.01805114746094,18.765172958374023,49.88331604003906,-34.9875602722168,1.862097978591919,-0.40282589197158813,-1.4743311405181885,0.23518022894859314
-72.88948822021484,6.572994232177734,74.5594711303711,14.035526275634766,1.7486706972122192,0.09368044137954712,-1.744936227798462,0.10347930341959
-63.43624496459961,-18.226062774658203,82.69115447998047,1.1683290004730225,1.4083888530731201,0.665131151676178,-1.9595539569854736,0.06585046648979187
-46.79977798461914,-40.70280075073242,84.18004608154297,-6.231088161468506,1.0586546659469604,1.1335333585739136,-1.9968788623809814,0.07525767385959625
-24.389785766601562,-56.50286865234375,82.43085479736328,2.3055026531219482,0.35918641090393066,1.5738314390182495,-1.800923466682434,0.037628836929798126
-4.571141242980957,-71.06920623779297,76.83967590332031,1.6668161153793335,-0.17014093697071075,1.911081075668335,-1.5769743919372559,0.04703604429960251
18.7821044921875,-82.56675720214844,64.03306579589844,0.04673316329717636,-0.6522068977355957,2.0234975814819336,-1.222388505935669,0.0
39.233036041259766,-86.24722290039062,46.2287483215332,-1.1683290004730225,-1.1815342903137207,2.032865524291992,-0.6811782717704773,0.018814418464899063
56.48106002807617,-82.5252914428711,25.811050415039062,-0.3582875728607178,-1.569077491760254,1.948553204536438,-0.19595539569854736,0.018814418464899063
71.98770141601562,-75.90045928955078,3.675393581390381,-0.2180880904197693,-1.8337411880493164,1.6862479448318481,0.3079299032688141,0.037628836929798126
82.21834564208984,-63.6046028137207,-18.61644172668457,0.04673316329717636,-2.0227866172790527,1.339630365371704,0.8864648938179016,0.028221627697348595
85.72185516357422,-46.197574615478516,-38.982078552246094,0.9658186435699463,-2.079500198364258,0.8712280988693237,1.3250317573547363,0.028221627697348595
82.16651916503906,-25.555883407592773,-56.682273864746094,0.20251037180423737,-1.9471684694290161,0.33724960684776306,1.7542674541473389,0.009407209232449532
75.42900848388672,-3.8048720359802246,-71.70661926269531,-0.3894430100917816,-1.7203139066696167,-0.20609697699546814,2.0248725414276123,0.028221627697348595
