巡检司红河线_5,巡检司红河线_6,巡检司红河线_7,巡检司红河线_8,巡检司红河线_29,巡检司红河线_30,巡检司红河线_31,巡检司红河线_32
-52.47806167602539,89.28317260742188,-36.01461410522461,0.7858859896659851,-0.09597499668598175,-0.08644499629735947,-0.044909000396728516,-0.1045909970998764
-56.91081237792969,88.68699645996094,-30.957143783569336,0.7002949714660645,-0.0994350016117096,-0.09336499869823456,-0.04144899919629097,-0.10113099962472916
-61.121131896972656,87.7410659790039,-25.883766174316406,0.6691709756851196,-0.09597499668598175,-0.08644499629735947,-0.04144899919629097,-0.10113099962472916
-65.06929779052734,86.27845001220703,-20.468454360961914,0.6147040128707886,-0.0925149992108345,-0.0968250036239624,-0.04144899919629097,-0.1045909970998764
-68.62821197509766,84.33094024658203,-15.092903137207031,0.6147040128707886,-0.08905500173568726,-0.10028500109910965,-0.04836900159716606,-0.1045909970998764
-72.05207824707031,82.05753326416016,-9.391319274902344,0.5835800170898438,-0.08213499933481216,-0.10028500109910965,-0.044909000396728516,-0.10113099962472916
-75.14228820800781,79.6171875,-3.745398998260498,0.6458280086517334,-0.08213499933481216,-0.10028500109910965,-0.044909000396728516,-0.1045909970998764
-78.12923431396484,76.82708740234375,1.8687130212783813,0.5213320255279541,-0.07521499693393707,-0.11066500097513199,-0.044909000396728516,-0.1045909970998764
-80.8143081665039,73.8462142944336,7.451016902923584,0.31902599334716797,-0.07175499945878983,-0.11066500097513199,-0.04144899919629097,-0.1045909970998764
-83.10218048095703,70.65866088867188,12.826568603515625,4.999999873689376e-06,-0.06829500198364258,-0.11412499845027924,-0.044909000396728516,-0.1045909970998764
-85.00079345703125,66.99417877197266,18.16236114501953,-0.26454898715019226,-0.06829500198364258,-0.11758500337600708,-0.04836900159716606,-0.1045909970998764
-86.46249389648438,62.995826721191406,23.490201950073242,-0.4901979863643646,-0.06829500198364258,-0.12450499832630157,-0.04836900159716606,-0.1045909970998764
-87.51904296875,58.751060485839844,28.76237678527832,-0.700285017490387,-0.06137499958276749,-0.12104500085115433,-0.04836900159716606,-0.1045909970998764
-88.28166961669922,54.14064025878906,33.986839294433594,-0.5913509726524353,-0.05791499838232994,-0.12450499832630157,-0.05182899907231331,-0.1045909970998764
-88.4643783569336,49.410987854003906,39.27492141723633,-0.3267970085144043,-0.05791499838232994,-0.12450499832630157,-0.04836900159716606,-0.1045909970998764
-88.58354187011719,44.426963806152344,44.348297119140625,-0.09336700290441513,-0.0475349985063076,-0.12450499832630157,-0.055289000272750854,-0.1045909970998764
-88.4246597290039,39.51448059082031,49.31034469604492,0.14784400165081024,-0.044075001031160355,-0.13142499327659607,-0.055289000272750854,-0.1045909970998764
-88.17044830322266,34.53840637207031,53.970218658447266,0.13228200376033783,-0.04061499983072281,-0.12450499832630157,-0.06220899894833565,-0.10805100202560425
-87.44754791259766,29.443098068237305,58.34381866455078,0.023347999900579453,-0.04061499983072281,-0.13142499327659607,-0.06220899894833565,-0.10805100202560425
-86.31950378417969,24.268299102783203,62.4390983581543,-0.11670999974012375,-0.04061499983072281,-0.13142499327659607,-0.06220899894833565,-0.10805100202560425
-84.93724060058594,18.807336807250977,66.27991485595703,-0.3345780074596405,-0.04061499983072281,-0.13142499327659607,-0.06912899762392044,-0.1045909970998764
-83.06246185302734,13.290731430053711,69.85831451416016,-0.4435119926929474,-0.03023499995470047,-0.13142499327659607,-0.06912899762392044,-0.1045909970998764
-80.79842376708984,7.734379768371582,73.2856216430664,-0.28011101484298706,-0.026775000616908073,-0.13142499327659607,-0.07258900254964828,-0.1045909970998764
-78.14512634277344,2.1303350925445557,76.41075897216797,0.03891000151634216,-0.026775000616908073,-0.13142499327659607,-0.07258900254964828,-0.10805100202560425
-75.22967529296875,-3.41806697845459,79.27348327636719,0.3968360126018524,-0.01985500007867813,-0.13834500312805176,-0.07604900002479553,-0.10805100202560425
-72.22684478759766,-8.918774604797363,81.92945098876953,0.7858859896659851,-0.016395000740885735,-0.13834500312805176,-0.08296900242567062,-0.10805100202560425
-68.91419219970703,-14.276400566101074,84.01287078857422,0.8636959791183472,-0.016395000740885735,-0.13142499327659607,-0.08296900242567062,-0.1045909970998764
-65.26789855957031,-19.610179901123047,85.84183502197266,0.8481339812278748,-0.009475000202655792,-0.13142499327659607,-0.08988899737596512,-0.10805100202560425
-61.33562088012695,-25.071142196655273,87.11415100097656,0.6536089777946472,-0.009475000202655792,-0.13142499327659607,-0.09334900230169296,-0.10805100202560425
-57.01408386230469,-30.428768157958984,87.98091888427734,0.29568299651145935,-0.006014999933540821,-0.13142499327659607,-0.10026899725198746,-0.10805100202560425
-52.350955963134766,-35.68305969238281,88.46599578857422,0.04669100046157837,0.0009050000226125121,-0.13834500312805176,-0.09680899977684021,-0.1045909970998764
-47.53689193725586,-40.84990692138672,88.75226593017578,-0.031119000166654587,-0.006014999933540821,-0.13142499327659607,-0.10026899725198746,-0.1045909970998764
-42.524227142333984,-45.99291229248047,88.96697235107422,0.08559600263834,-0.0025549998972564936,-0.12796500325202942,-0.1037290021777153,-0.10805100202560425
-37.44801330566406,-50.794105529785156,88.8794937133789,0.3890550136566162,-0.0025549998972564936,-0.13142499327659607,-0.1106489971280098,-0.10805100202560425
-32.41151428222656,-55.40452575683594,88.47394561767578,0.5368940234184265,-0.0025549998972564936,-0.12450499832630157,-0.11410900205373764,-0.10805100202560425
-27.263803482055664,-59.728782653808594,87.80597686767578,0.6769520044326782,0.0009050000226125121,-0.12450499832630157,-0.11756899952888489,-0.10805100202560425
