1-110kV母线Ⅰ段电压Ua_1,2-110kV母线Ⅰ段电压Ub_2,3-110kV母线Ⅰ段电压Uc_3,4-110kV母线Ⅰ段电压3Uo_4,37-110kV普罗线路电流Ia_37,38-110kV普罗线路电流Ib_38,39-110kV普罗线路电流Ic_39,40-110kV普罗线路电流3Io_40
-73.43334197998047,71.72256469726562,1.7403634786605835,-0.12655796110630035,-0.49330204725265503,0.42321324348449707,0.0704798698425293,0.0
-75.93927001953125,68.84354400634766,6.993096828460693,-0.3480343818664551,-0.49330204725265503,0.42321324348449707,0.0704798698425293,0.0
-77.93767547607422,65.45831298828125,12.30911636352539,-0.3480343818664551,-0.49330204725265503,0.3879454731941223,0.1409597396850586,0.0
-79.65058898925781,61.946533203125,17.56184959411621,-0.37967389822006226,-0.528537929058075,0.35267770290374756,0.17619967460632324,-0.035301573574543
-81.1097412109375,58.05509948730469,22.84622573852539,-0.41131338477134705,-0.528537929058075,0.3174099326133728,0.17619967460632324,0.0
-82.18824768066406,53.97384262084961,28.004030227661133,-0.41131338477134705,-0.528537929058075,0.3174099326133728,0.2114396095275879,0.0
-82.94953918457031,49.57620620727539,33.098548889160156,-0.5062318444252014,-0.49330204725265503,0.28214216232299805,0.24667954444885254,0.0
-83.4887924194336,45.27348709106445,37.90828323364258,-0.4745923578739166,-0.528537929058075,0.28214216232299805,0.2819194793701172,-0.035301573574543
-83.61567687988281,40.844215393066406,42.49651336669922,-0.41131338477134705,-0.528537929058075,0.2468743920326233,0.31715941429138184,0.0
-83.42535400390625,36.383304595947266,46.863243103027344,-0.2531159222126007,-0.49330204725265503,0.17633885145187378,0.38763928413391113,0.0
-82.8226547241211,31.76420783996582,50.913543701171875,-0.18983694911003113,-0.528537929058075,0.14107108116149902,0.3523993492126465,0.035301573574543
-81.90275573730469,27.176746368408203,54.61577224731445,-0.15819744765758514,-0.49330204725265503,0.14107108116149902,0.38763928413391113,0.0
-80.79253387451172,22.43109893798828,58.28635787963867,-0.09491847455501556,-0.49330204725265503,0.10580331087112427,0.4228792190551758,-0.035301573574543
-79.42854309082031,17.495624542236328,61.79872512817383,-0.09491847455501556,-0.4580661952495575,0.035267770290374756,0.45811915397644043,0.0
-77.68390655517578,12.307048797607422,65.27945709228516,-0.15819744765758514,-0.49330204725265503,0.035267770290374756,0.45811915397644043,0.035301573574543
-75.6537857055664,7.086834907531738,68.50703430175781,-0.06327898055315018,-0.4580661952495575,-0.035267770290374756,0.45811915397644043,0.0
-73.21129608154297,1.7717087268829346,71.38654327392578,-0.03163949027657509,-0.4228303134441376,-0.035267770290374756,0.4933590888977051,0.0
-70.61019897460938,-3.6383304595947266,74.26605987548828,0.09491847455501556,-0.4228303134441376,-0.035267770290374756,0.5285990238189697,0.0
-67.46985626220703,-9.016732215881348,76.6392822265625,0.2531159222126007,-0.4228303134441376,-0.07053554058074951,0.4933590888977051,0.0
-64.10746765136719,-14.205307960510254,78.60114288330078,0.5062318444252014,-0.38759446144104004,-0.10580331087112427,0.5285990238189697,0.0
-60.269264221191406,-19.48879623413086,80.18329620361328,0.7277082800865173,-0.38759446144104004,-0.14107108116149902,0.5285990238189697,0.0
-56.24074172973633,-24.835559844970703,81.51229858398438,0.7593477964401245,-0.31712275743484497,-0.17633885145187378,0.5638389587402344,0.0
-51.95845031738281,-30.02413558959961,82.52487182617188,0.8859057426452637,-0.31712275743484497,-0.2468743920326233,0.5285990238189697,0.0
-47.549278259277344,-35.05452346801758,83.09444427490234,0.8226267695426941,-0.28188687562942505,-0.2468743920326233,0.5638389587402344,0.0
-43.235267639160156,-39.86344909667969,83.53744506835938,0.6327897906303406,-0.24665102362632751,-0.2468743920326233,0.5285990238189697,0.0
-38.85781478881836,-44.41926956176758,83.569091796875,0.37967389822006226,-0.24665102362632751,-0.3174099326133728,0.5285990238189697,0.0
-34.48036193847656,-48.627079010009766,83.2843017578125,0.2531159222126007,-0.17617930471897125,-0.35267770290374756,0.5638389587402344,0.0
-29.88086700439453,-52.64506149291992,82.65144348144531,0.12655796110630035,-0.14094343781471252,-0.35267770290374756,0.5285990238189697,0.0
-25.15448760986328,-56.31502914428711,81.67051696777344,0.22147643566131592,-0.1057075783610344,-0.3879454731941223,0.5285990238189697,0.0
-20.396387100219727,-59.85844802856445,80.46807861328125,0.2531159222126007,-0.07047171890735626,-0.42321324348449707,0.5285990238189697,0.0
-15.416243553161621,-63.306949615478516,78.9808578491211,0.3480343818664551,-0.03523585945367813,-0.42321324348449707,0.4933590888977051,-0.035301573574543
-10.277495384216309,-66.62890625,77.14556884765625,0.2847554087638855,-0.03523585945367813,-0.4584810137748718,0.45811915397644043,0.035301573574543
-5.107027053833008,-69.76103210449219,75.0254898071289,0.18983694911003113,0.0,-0.4584810137748718,0.4933590888977051,-0.035301573574543
0.2220446616411209,-72.73497009277344,72.55733489990234,0.0,0.03523585945367813,-0.4584810137748718,0.45811915397644043,0.0
5.646278381347656,-75.58235931396484,69.93096923828125,-0.12655796110630035,0.07047171890735626,-0.4584810137748718,0.4228792190551758,0.0
11.007070541381836,-78.01846313476562,66.89324188232422,-0.3480343818664551,0.1057075783610344,-0.5290165543556213,0.4228792190551758,-0.035301573574543
16.272701263427734,-79.94835662841797,63.38087463378906,-0.5378713607788086,0.14094343781471252,-0.5290165543556213,0.38763928413391113,0.0
21.66521453857422,-81.59351348876953,59.583717346191406,-0.569510817527771,0.17617930471897125,-0.5290165543556213,0.38763928413391113,0.035301573574543
