1-220kV I段母线电压Ua_1,2-220kV I段母线电压Ub_2,3-220kV I段母线电压Uc_3,4-220kV I段母线电压3Uo_4,41-朝潞I回线路电流Ia_41,42-朝潞I回线路电流Ib_42,43-朝潞I回线路电流Ic_43,44-朝潞I回线路电流3Io_44
47.89825439453125,35.83427047729492,-83.80257415771484,-0.06325691193342209,-0.6356328725814819,-0.6006063222885132,1.2007466554641724,-0.035290077328681946
45.45576095581055,38.332862854003906,-83.89744567871094,-0.06325691193342209,-0.5650069713592529,-0.6006063222885132,1.2007466554641724,0.0
43.013267517089844,40.89471435546875,-83.96068572998047,-0.06325691193342209,-0.5650069713592529,-0.6712659001350403,1.2007466554641724,-0.035290077328681946
40.50733184814453,43.393310546875,-83.96068572998047,-0.06325691193342209,-0.4943810999393463,-0.7065956592559814,1.2007466554641724,0.035290077328681946
37.937957763671875,45.7653923034668,-83.77095031738281,-0.06325691193342209,-0.4943810999393463,-0.7419254779815674,1.2360626459121704,-0.035290077328681946
35.36857986450195,48.1058464050293,-83.58120727539062,-0.031628455966711044,-0.4590681791305542,-0.7419254779815674,1.2007466554641724,0.0
32.79920196533203,50.414676666259766,-83.32821655273438,-0.06325691193342209,-0.4237552285194397,-0.7772552371025085,1.2007466554641724,0.0
30.229825973510742,52.59699249267578,-82.91710662841797,-0.06325691193342209,-0.3884423077106476,-0.8125850558280945,1.2007466554641724,-0.035290077328681946
27.660449981689453,54.65279769897461,-82.44275665283203,-0.06325691193342209,-0.3531293570995331,-0.8125850558280945,1.1654305458068848,0.0
25.122793197631836,56.70860290527344,-82.0000228881836,-0.06325691193342209,-0.31781643629074097,-0.8832446336746216,1.2007466554641724,0.0
22.58513832092285,58.60626983642578,-81.39917755126953,-0.06325691193342209,-0.28250348567962646,-0.9185743927955627,1.2007466554641724,0.035290077328681946
20.110923767089844,60.34579849243164,-80.60858917236328,-0.06325691193342209,-0.24719054996967316,-0.8832446336746216,1.1654305458068848,0.035290077328681946
17.636709213256836,62.02206802368164,-79.88124084472656,-0.031628455966711044,-0.21187761425971985,-0.9185743927955627,1.1301144361495972,0.0
15.289377212524414,63.63508605957031,-79.09065246582031,-0.06325691193342209,-0.21187761425971985,-0.9539041519165039,1.1301144361495972,0.0
12.942045211791992,65.1532211303711,-78.20519256591797,-0.031628455966711044,-0.17656467854976654,-0.9892339706420898,1.1301144361495972,0.0
10.59471321105957,66.60809326171875,-77.31973266601562,-0.06325691193342209,-0.10593880712985992,-0.9892339706420898,1.1301144361495972,0.0
8.183939933776855,67.99971771240234,-76.37102508544922,-0.06325691193342209,-0.10593880712985992,-1.0245637893676758,1.0947983264923096,0.0
5.900050163269043,69.35971069335938,-75.39069366455078,-0.031628455966711044,-0.07062587141990662,-1.0598934888839722,1.0594823360443115,0.0
3.4575562477111816,70.65644836425781,-74.28386688232422,-0.09488537162542343,0.0,-1.0598934888839722,1.0594823360443115,0.035290077328681946
1.0785037279129028,71.95319366455078,-73.14541625976562,-0.031628455966711044,0.03531293570995331,-1.095223307609558,1.024166226387024,0.0
-1.332269310951233,73.18667602539062,-72.00696563720703,-0.031628455966711044,0.07062587141990662,-1.095223307609558,1.024166226387024,0.0
-3.7747631072998047,74.48341369628906,-70.74201965332031,-0.06325691193342209,0.10593880712985992,-1.130553126335144,1.024166226387024,0.0
-6.3124189376831055,75.68526458740234,-69.50869750976562,-0.06325691193342209,0.14125174283981323,-1.130553126335144,0.9888501763343811,0.0
-8.818354606628418,76.85549926757812,-68.18050384521484,-0.06325691193342209,0.17656467854976654,-1.130553126335144,0.9535340666770935,0.0
-11.356010437011719,78.02572631835938,-66.78907012939453,-0.031628455966711044,0.21187761425971985,-1.130553126335144,0.9182180166244507,0.0
-14.020548820495605,79.16432189941406,-65.23950958251953,-0.031628455966711044,0.24719054996967316,-1.1658828258514404,0.8829019069671631,0.035290077328681946
-16.621646881103516,80.14478302001953,-63.626705169677734,-0.06325691193342209,0.28250348567962646,-1.1658828258514404,0.8829019069671631,0.035290077328681946
-19.22274398803711,81.03036499023438,-61.91903305053711,-0.031628455966711044,0.28250348567962646,-1.2012126445770264,0.8829019069671631,0.0
-21.855562210083008,81.82106018066406,-60.02161407470703,0.0,0.3531293570995331,-1.1658828258514404,0.8122697472572327,0.0
-24.4566593170166,82.45361328125,-58.029327392578125,0.0,0.3884423077106476,-1.2012126445770264,0.8122697472572327,0.0
-26.994314193725586,83.08616638183594,-56.163536071777344,-0.031628455966711044,0.4237552285194397,-1.2012126445770264,0.7769536972045898,0.0
-29.65885353088379,83.5289535522461,-53.98150634765625,0.0,0.4943810999393463,-1.2012126445770264,0.7416375875473022,0.035290077328681946
-32.196510314941406,83.8452377319336,-51.67298126220703,0.0,0.5296940207481384,-1.2012126445770264,0.7416375875473022,0.0
-34.67072296142578,84.00337219238281,-49.427703857421875,0.0,0.5650069713592529,-1.2012126445770264,0.6710054278373718,0.035290077328681946
-37.14493942260742,84.1931381225586,-47.08755874633789,0.0,0.5650069713592529,-1.2365424633026123,0.635689377784729,0.035290077328681946
-39.6191520690918,84.1298828125,-44.55767059326172,0.0,0.6003199219703674,-1.2012126445770264,0.635689377784729,0.0
-41.90304183959961,84.00337219238281,-42.122650146484375,0.0,0.6356328725814819,-1.2012126445770264,0.5650572180747986,0.0
-44.21865463256836,83.94011688232422,-39.656009674072266,0.0,0.6356328725814819,-1.2012126445770264,0.5650572180747986,0.0
-46.56598663330078,83.68709564208984,-37.09449768066406,0.031628455966711044,0.7062587141990662,-1.2365424633026123,0.49442508816719055,0.035290077328681946
