1-220kVⅠ母电压Ua_1,2-220kVⅠ母电压Ub_2,3-220kVⅠ母电压Uc_3,4-220kVⅠ母电压3Uo_4,9-220kV那蔓线电流Ia_9,10-220kV那蔓线电流Ib_10,11-220kV那蔓线电流Ic_11,12-220kV那蔓线电流3Io_12
79.09305572509766,-71.19928741455078,-8.266700744628906,0.3107782304286957,0.8563666343688965,-0.6768059134483337,-0.17610765993595123,-0.0034530912525951862
81.20635223388672,-67.84288787841797,-13.70531940460205,0.37293386459350586,0.8701789975166321,-0.6388218998908997,-0.23481020331382751,-0.0034530912525951862
83.0399398803711,-64.23786163330078,-19.143938064575195,0.40401169657707214,0.8839913606643677,-0.6008378863334656,-0.2866065800189972,-0.0069061825051903725
84.56275177001953,-60.35313034057617,-24.396089553833008,0.4972451627254486,0.8978037238121033,-0.5524945855140686,-0.33840295672416687,-0.0069061825051903725
85.68155670166016,-56.31301498413086,-29.461774826049805,0.5904785990715027,0.901256799697876,-0.5076044201850891,-0.39710548520088196,-0.0034530912525951862
86.52066040039062,-52.086429595947266,-34.434226989746094,0.6837120652198792,0.9047099351882935,-0.4592611491680145,-0.44544878602027893,-0.0069061825051903725
86.98682403564453,-47.673377990722656,-39.34452438354492,0.6526342630386353,0.901256799697876,-0.40746477246284485,-0.4903389513492584,-0.0034530912525951862
87.11113739013672,-43.0117073059082,-44.13050842285156,0.6526342630386353,0.901256799697876,-0.35566839575767517,-0.5421353578567505,-0.0034530912525951862
86.83143615722656,-38.101409912109375,-48.667869567871094,0.6837120652198792,0.8943506479263306,-0.3038720488548279,-0.58702552318573,-0.0069061825051903725
86.17880249023438,-33.03572463989258,-53.0809211730957,0.6837120652198792,0.880538284778595,-0.2451694756746292,-0.6319156885147095,-0.010359274223446846
85.24646759033203,-27.845727920532227,-57.369659423828125,0.5904785990715027,0.8701789975166321,-0.19337311387062073,-0.6698997020721436,-0.0034530912525951862
84.1276626586914,-22.593576431274414,-61.534088134765625,0.4972451627254486,0.8494604825973511,-0.13812364637851715,-0.7078837156295776,-0.0034530912525951862
82.72916412353516,-17.248191833496094,-65.44989013671875,0.4972451627254486,0.8287419080734253,-0.07942110300064087,-0.7389615178108215,-0.0034530912525951862
80.92665100097656,-11.933883666992188,-69.02384185791016,0.4661673307418823,0.8045702576637268,-0.02417163923382759,-0.7734924554824829,-0.0034530912525951862
78.78227996826172,-6.557420253753662,-72.22486114501953,0.37293386459350586,0.7769455313682556,0.03453091159462929,-0.8045702576637268,-0.0069061825051903725
76.26497650146484,-1.1809571981430054,-75.14617156982422,0.2486225813627243,0.742414653301239,0.08978037536144257,-0.8252888321876526,-0.0069061825051903725
73.46797180175781,4.226583957672119,-77.81886291503906,0.062155645340681076,0.7078837156295776,0.14502982795238495,-0.8494604825973511,-0.0034530912525951862
70.32910919189453,9.634124755859375,-80.11862182617188,-0.09323346614837646,0.6698997020721436,0.20373238623142242,-0.8701789975166321,-0.0034530912525951862
66.87947082519531,15.041666030883789,-82.16976165771484,-0.2486225813627243,0.6284626126289368,0.2555287480354309,-0.8874444365501404,-0.0069061825051903725
63.1501350402832,20.449207305908203,-83.87904357910156,-0.3418560326099396,0.58702552318573,0.3107782304286957,-0.8978037238121033,-0.0069061825051903725
59.26540756225586,25.701358795166016,-85.27754211425781,-0.4972451627254486,0.5421353578567505,0.36602768301963806,-0.9081630110740662,-0.0069061825051903725
55.16313552856445,30.79812240600586,-86.30310821533203,-0.6215564608573914,0.4937920570373535,0.41437095403671265,-0.9150692224502563,-0.0034530912525951862
50.81224060058594,35.80165100097656,-86.95574951171875,-0.6837120652198792,0.44544878602027893,0.46962040662765503,-0.9150692224502563,-0.0034530912525951862
46.24380111694336,40.680870056152344,-87.2043685913086,-0.6526342630386353,0.39365240931510925,0.5145106315612793,-0.9116160869598389,-0.0034530912525951862
41.51996994018555,45.373619079589844,-87.1422119140625,-0.7458677291870117,0.3418560326099396,0.5628538727760315,-0.9081630110740662,-0.0034530912525951862
36.54751968383789,49.91098403930664,-86.64496612548828,-0.7769455313682556,0.2866065800189972,0.6008378863334656,-0.8978037238121033,-0.0034530912525951862
31.450756072998047,54.23080062866211,-85.8680191040039,-0.7769455313682556,0.23481020331382751,0.6457280516624451,-0.8874444365501404,-0.0034530912525951862
26.353992462158203,58.42630386352539,-84.87353515625,-0.7147899270057678,0.17610765993595123,0.6871651411056519,-0.8701789975166321,0.0
21.163997650146484,62.404266357421875,-83.5993423461914,-0.6215564608573914,0.12431128323078156,0.7216960787773132,-0.8529135584831238,0.0
15.880766868591309,66.19576263427734,-81.98329162597656,-0.5283229947090149,0.06906182318925858,0.7527738809585571,-0.8287419080734253,0.0
10.504303932189941,69.67647552490234,-80.05647277832031,-0.4972451627254486,0.010359274223446846,0.7838517427444458,-0.8045702576637268,0.0
5.127840518951416,72.8464126586914,-77.7567138671875,-0.43508949875831604,-0.04834327846765518,0.811476469039917,-0.7734924554824829,0.0
-0.21754474937915802,75.73665618896484,-75.11509704589844,-0.2486225813627243,-0.10013964772224426,0.8356481194496155,-0.7389615178108215,0.0
-5.656163692474365,78.3471908569336,-72.16270446777344,-0.09323346614837646,-0.15884220600128174,0.8563666343688965,-0.7009775042533875,0.0
-11.03262710571289,80.55371856689453,-68.86845397949219,-0.062155645340681076,-0.21409165859222412,0.8736320734024048,-0.6629935503005981,0.0034530912525951862
-16.47124481201172,82.48053741455078,-65.263427734375,0.062155645340681076,-0.2693411111831665,0.8908975720405579,-0.6250095367431641,0.0034530912525951862
