500kV 纳思甲线电压_Ua_5,500kV 纳思甲线电压_Ub_6,500kV 纳思甲线电压_Uc_7,500kV 纳思甲线电压_3U0_8,500kV 纳思甲线_Ia_41,500kV 纳思甲线_Ib_42,500kV 纳思甲线_Ic_43,500kV 纳思甲线_3I0_44
33.38443374633789,53.39951705932617,-86.71717071533203,-0.023382000625133514,-0.02452700026333332,0.02112800069153309,-0.01932400092482567,-0.007019000127911568
28.141090393066406,57.871551513671875,-86.24185943603516,-0.015588000416755676,-0.02452700026333332,0.014088000170886517,-0.012295999564230442,-0.007019000127911568
23.030195236206055,61.720306396484375,-85.06526947021484,-0.031176000833511353,-0.02452700026333332,0.014088000170886517,-0.012295999564230442,-0.007019000127911568
18.01279067993164,65.10939025878906,-83.6938705444336,-0.031176000833511353,-0.02452700026333332,0.02112800069153309,-0.01932400092482567,4.999999873689376e-06
12.800612449645996,68.70104217529297,-82.14326477050781,-0.023382000625133514,-0.02452700026333332,0.02112800069153309,0.0017600000137463212,4.999999873689376e-06
7.175509929656982,72.09012603759766,-79.9459228515625,-0.031176000833511353,-0.02452700026333332,0.02112800069153309,-0.012295999564230442,-0.007019000127911568
1.6672730445861816,75.21431732177734,-77.17196655273438,0.023382000625133514,-0.02452700026333332,0.014088000170886517,-0.012295999564230442,-0.014042999595403671
-3.4436230659484863,77.91779327392578,-74.31230926513672,-0.015588000416755676,-0.02452700026333332,0.014088000170886517,-0.012295999564230442,-0.014042999595403671
-8.499981880187988,80.45765686035156,-71.47602081298828,-0.007794000208377838,-0.02452700026333332,0.014088000170886517,-0.012295999564230442,4.999999873689376e-06
-14.062755584716797,82.74042510986328,-67.90727996826172,0.062352001667022705,-0.03153499960899353,0.014088000170886517,0.0017600000137463212,-0.007019000127911568
-19.516456604003906,84.1895523071289,-64.02686309814453,-0.023382000625133514,-0.03153499960899353,0.014088000170886517,0.0017600000137463212,-0.007019000127911568
-24.518278121948242,85.13226318359375,-60.12307357788086,-0.015588000416755676,-0.03153499960899353,0.014088000170886517,0.008787999860942364,4.999999873689376e-06
-29.870695114135742,85.79449462890625,-55.89201736450195,0.0,-0.03153499960899353,0.014088000170886517,0.0017600000137463212,4.999999873689376e-06
-35.402305603027344,86.38661193847656,-51.27915573120117,-0.023382000625133514,-0.03153499960899353,0.014088000170886517,0.008787999860942364,4.999999873689376e-06
-40.6923942565918,86.55801391601562,-46.175392150878906,-0.007794000208377838,-0.03854300081729889,0.007048000115901232,0.0017600000137463212,4.999999873689376e-06
-45.34362030029297,86.46452331542969,-41.180721282958984,0.0,-0.03153499960899353,0.007048000115901232,0.008787999860942364,-0.014042999595403671
-49.78449249267578,86.69046020507812,-36.747074127197266,0.023382000625133514,-0.03153499960899353,0.007048000115901232,0.01581599935889244,-0.007019000127911568
-54.287689208984375,86.67488098144531,-31.7835693359375,0.007794000208377838,-0.03153499960899353,7.999999979801942e-06,0.008787999860942364,-0.007019000127911568
-58.49482727050781,85.77891540527344,-26.531761169433594,0.0,-0.03153499960899353,7.999999979801942e-06,0.01581599935889244,-0.007019000127911568
-62.413700103759766,84.47781372070312,-21.482545852661133,0.023382000625133514,-0.03153499960899353,0.007048000115901232,0.01581599935889244,-0.007019000127911568
-66.09884643554688,82.94298553466797,-16.635921478271484,-0.007794000208377838,-0.03153499960899353,7.999999979801942e-06,0.01581599935889244,4.999999873689376e-06
-69.81515502929688,80.9874496459961,-11.376321792602539,-0.015588000416755676,-0.03153499960899353,7.999999979801942e-06,0.01581599935889244,-0.007019000127911568
-73.32109832763672,78.46316528320312,-5.610241889953613,-0.007794000208377838,-0.02452700026333332,7.999999979801942e-06,0.01581599935889244,0.014053000137209892
-76.35179901123047,75.94667053222656,-0.08571399748325348,-0.031176000833511353,-0.03153499960899353,7.999999979801942e-06,0.029872000217437744,4.999999873689376e-06
-79.01631927490234,73.50808715820312,5.033629894256592,-0.007794000208377838,-0.02452700026333332,-0.014072000049054623,0.01581599935889244,-0.021067000925540924
-81.42374420166016,70.8124008178711,10.207517623901367,0.015588000416755676,-0.03153499960899353,7.999999979801942e-06,0.01581599935889244,-0.007019000127911568
-83.30137634277344,67.33761596679688,15.864509582519531,-0.023382000625133514,-0.03153499960899353,-0.014072000049054623,0.01581599935889244,-0.007019000127911568
-84.4076919555664,63.27850341796875,21.13190269470215,0.0,-0.02452700026333332,-0.021112000569701195,0.01581599935889244,-0.007019000127911568
-85.19458770751953,59.07136535644531,26.10319709777832,0.03897000104188919,-0.02452700026333332,-0.014072000049054623,0.022843999788165092,-0.007019000127911568
-85.92694091796875,54.388973236083984,31.23033332824707,-0.015588000416755676,-0.02452700026333332,-0.014072000049054623,0.01581599935889244,-0.007019000127911568
-86.31649017333984,49.16121292114258,36.71590042114258,-0.007794000208377838,-0.02452700026333332,-0.021112000569701195,0.029872000217437744,0.014053000137209892
-86.55021667480469,43.871124267578125,42.014461517333984,0.023382000625133514,-0.02452700026333332,-0.021112000569701195,0.029872000217437744,-0.007019000127911568
-86.71382904052734,39.19652557373047,46.814334869384766,0.0,-0.02452700026333332,-0.021112000569701195,0.022843999788165092,-0.007019000127911568
-86.93197631835938,34.82577133178711,51.40382385253906,0.015588000416755676,-0.02452700026333332,-0.021112000569701195,0.01581599935889244,-0.014042999595403671
-86.43335723876953,29.964189529418945,56.00889587402344,-0.031176000833511353,-0.01751900091767311,-0.03519200161099434,0.01581599935889244,-0.014042999595403671
-85.40494537353516,25.032485961914062,60.364620208740234,0.0,-0.02452700026333332,-0.028152000159025192,0.01581599935889244,-0.007019000127911568
