17-110kVⅡ段母线电压Ua_17,18-110kVⅡ段母线电压Ub_18,19-110kVⅡ段母线电压Uc_19,20-110kVⅡ段母线电压3Uo_20,9-110kV水木线131电流Ia_9,10-110kV水木线131电流Ib_10,11-110kV水木线131电流Ic_11,12-110kV水木线131电流3Io_12
-32.732784271240234,85.0594253540039,-52.49211120605469,0.12681777775287628,-0.10604944080114365,0.3889094889163971,-0.21179017424583435,0.0
-37.690372467041016,85.53462219238281,-47.927581787109375,0.12681777775287628,-0.14139924943447113,0.3889094889163971,-0.17649181187152863,0.0
-42.45728302001953,85.66133880615234,-43.2679557800293,0.15852221846580505,-0.14139924943447113,0.3535540699958801,-0.17649181187152863,0.0
-47.31953430175781,85.50293731689453,-38.32304763793945,0.15852221846580505,-0.2120988816022873,0.3535540699958801,-0.17649181187152863,0.0
-52.08644485473633,85.09111022949219,-33.15625,0.03170444443821907,-0.1767490655183792,0.3889094889163971,-0.17649181187152863,0.0
-56.34488296508789,84.29911804199219,-28.084548950195312,0.06340888887643814,-0.2120988816022873,0.3535540699958801,-0.1411934494972229,0.03532412275671959
-60.094852447509766,83.2853775024414,-23.203035354614258,0.15852221846580505,-0.2120988816022873,0.3535540699958801,-0.10589508712291718,-0.03532412275671959
-63.908382415771484,81.8914794921875,-17.972843170166016,0.12681777775287628,-0.28279849886894226,0.3535540699958801,-0.07059672474861145,0.0
-67.59479522705078,80.05406951904297,-12.457366943359375,0.0,-0.28279849886894226,0.3535540699958801,-0.07059672474861145,0.0
-70.77273559570312,78.05825805664062,-7.322269439697266,0.0,-0.28279849886894226,0.3535540699958801,-0.035298362374305725,0.0
-73.66465759277344,75.77733612060547,-2.123775005340576,-0.09511332958936691,-0.28279849886894226,0.3535540699958801,0.0,0.0
-76.36590576171875,73.08457946777344,3.2015116214752197,-0.25363555550575256,-0.31814831495285034,0.2828432619571686,0.0,0.0
-78.65402221679688,69.97998809814453,8.495100021362305,-0.4438622295856476,-0.31814831495285034,0.31819868087768555,0.035298362374305725,0.0
-80.62435150146484,66.6853256225586,13.661896705627441,-0.6340888738632202,-0.31814831495285034,0.2828432619571686,0.07059672474861145,0.0
-82.2768783569336,63.16889953613281,18.860389709472656,-0.5706800222396851,-0.3534981310367584,0.2828432619571686,0.07059672474861145,0.0
-83.61161041259766,59.525760650634766,23.805299758911133,-0.7609066367149353,-0.3534981310367584,0.2828432619571686,0.07059672474861145,0.0
-84.62855529785156,55.40742492675781,28.84530258178711,-0.7926111221313477,-0.3534981310367584,0.2474878579378128,0.1411934494972229,0.0
