220kV墨木I回线电压_1,220kV墨木I回线电压_2,220kV墨木I回线电压_3,220kV墨木I回线电压_4,220kV墨木Ⅰ回线_9,220kV墨木Ⅰ回线_10,220kV墨木Ⅰ回线_11,220kV墨木Ⅰ回线_12
-82.12959289550781,31.87806510925293,49.1760368347168,-0.4357360005378723,-0.053630001842975616,-0.08909499645233154,0.16780999302864075,0.010379999876022339
-81.32430267333984,27.104568481445312,53.19192123413086,-0.21008700132369995,-0.04324999824166298,-0.09341999888420105,0.16607999801635742,0.011245000176131725
-80.179931640625,22.219812393188477,57.11773681640625,0.007780999876558781,-0.03286999836564064,-0.10206999629735947,0.16694499552249908,0.007784999907016754
-78.69649505615234,17.308565139770508,60.683292388916016,0.21786800026893616,-0.025949999690055847,-0.10466500371694565,0.16780999302864075,0.006920000072568655
-76.99583435058594,12.312552452087402,64.07930755615234,0.33458301424980164,-0.014705000445246696,-0.11417999863624573,0.16175499558448792,0.012974999845027924
-75.10444641113281,7.131107807159424,67.30579376220703,0.24899199604988098,-0.006920000072568655,-0.11591000109910965,0.15223999321460724,0.006920000072568655
-72.72564697265625,1.933769941329956,70.08724212646484,0.09337200224399567,0.00432500010356307,-0.1236950010061264,0.1531050056219101,0.006920000072568655
-70.09783935546875,-3.3218460083007812,72.77333068847656,0.08559100329875946,0.011245000176131725,-0.1306149959564209,0.1418599933385849,0.01643499918282032
-67.1309585571289,-8.450309753417969,74.99848937988281,0.03890499845147133,0.025085000321269035,-0.1375350058078766,0.13840000331401825,0.011245000176131725
-63.98924255371094,-13.43043041229248,76.81570434570312,0.062247999012470245,0.036329999566078186,-0.14099499583244324,0.1375350058078766,0.0034600000362843275
-60.5561408996582,-18.30988883972168,78.38920593261719,0.08559100329875946,0.046709999442100525,-0.14531999826431274,0.1280200034379959,0.012974999845027924
-56.699195861816406,-23.072790145874023,79.51238250732422,0.22564899921417236,0.057089999318122864,-0.15137499570846558,0.12110000103712082,0.007784999907016754
-52.7415885925293,-27.962844848632812,80.58258056640625,0.46685999631881714,0.06660500168800354,-0.15397000312805176,0.1124500036239624,0.006920000072568655
-48.46080780029297,-32.752235412597656,81.22893524169922,0.7080709934234619,0.08044499903917313,-0.1574299931526184,0.10726000368595123,0.009514999575912952
-44.190616607666016,-37.472755432128906,81.8593978881836,0.7625380158424377,0.0856349989771843,-0.1600250005722046,0.10293500125408173,0.012109999544918537
-39.750892639160156,-42.02903366088867,82.01834106445312,0.8948150277137756,0.09082499891519547,-0.16348500549793243,0.09774500131607056,0.012974999845027924
-35.17871856689453,-46.352203369140625,81.896484375,0.8948150277137756,0.0968799963593483,-0.1600250005722046,0.08477000147104263,0.012974999845027924
-30.44760513305664,-50.55351638793945,81.41436767578125,0.809224009513855,0.09774500131607056,-0.1643500030040741,0.0856349989771843,0.006920000072568655
-25.45159149169922,-54.4051628112793,80.33887481689453,0.7469760179519653,0.10726000368595123,-0.1600250005722046,0.06920000165700912,0.006920000072568655
-20.55624008178711,-58.341575622558594,79.39053344726562,0.6847280263900757,0.11417999863624573,-0.15569999814033508,0.0562250018119812,0.01384000014513731
-15.554927825927734,-61.77997970581055,77.90708923339844,0.7158520221710205,0.12455999851226807,-0.14964500069618225,0.052765000611543655,0.006920000072568655
-10.41057014465332,-65.05944061279297,76.08987426757812,0.7002900242805481,0.12715500593185425,-0.14531999826431274,0.04324999824166298,0.012109999544918537
-5.1708478927612305,-68.16407012939453,73.95478057861328,0.5446699857711792,0.13147999346256256,-0.13666999340057373,0.030275000259280205,0.00865000020712614
0.21191999316215515,-71.02498626708984,71.4011459350586,0.49020299315452576,0.13840000331401825,-0.13666999340057373,0.025085000321269035,0.009514999575912952
5.488728046417236,-73.65809631347656,68.84220886230469,0.37348800897598267,0.14531999826431274,-0.1306149959564209,0.015569999814033508,0.010379999876022339
10.648980140686035,-75.71371459960938,65.62102508544922,0.1400579959154129,0.15397000312805176,-0.1236950010061264,0.0017300000181421638,0.00865000020712614
15.602609634399414,-77.55741882324219,62.44752502441406,-0.10893400013446808,0.1531050056219101,-0.11677499860525131,-0.00432500010356307,0.00865000020712614
20.550941467285156,-78.91900634765625,58.85018539428711,-0.22564899921417236,0.15829500555992126,-0.11417999863624573,-0.024219999089837074,0.006054999772459269
25.45159149169922,-80.01569366455078,55.01443099975586,-0.2956779897212982,0.16607999801635742,-0.10639499872922897,-0.02768000029027462,0.00865000020712614
30.362838745117188,-80.85277557373047,51.05152893066406,-0.37348800897598267,0.1686750054359436,-0.09774500131607056,-0.041519999504089355,0.006920000072568655
35.09925079345703,-81.40906524658203,46.876705169677734,-0.35014501214027405,0.17040500044822693,-0.08477000147104263,-0.051899999380111694,0.006054999772459269
39.82506561279297,-81.74813842773438,42.73366928100586,-0.17896300554275513,0.17040500044822693,-0.08130999654531479,-0.053630001842975616,0.00432500010356307
44.41843032836914,-81.68456268310547,38.23566436767578,0.05446700006723404,0.16954000294208527,-0.07784999907016754,-0.06141500174999237,0.006054999772459269
48.868751525878906,-81.39847564697266,33.70057678222656,0.2723349928855896,0.16954000294208527,-0.06227999925613403,-0.07179500162601471,0.009514999575912952
53.09125900268555,-80.68324279785156,28.874099731445312,0.37348800897598267,0.16694499552249908,-0.05968499928712845,-0.08130999654531479,0.006920000072568655
56.92171096801758,-79.53887176513672,23.989343643188477,0.5135459899902344,0.16607999801635742,-0.052765000611543655,-0.08303999900817871,0.00865000020712614
60.55084228515625,-78.2408676147461,19.1734619140625,0.6691660284996033,0.16348500549793243,-0.041519999504089355,-0.09082499891519547,0.0017300000181421638
64.07930755615234,-76.7097396850586,14.241024017333984,0.6458230018615723,0.16175499558448792,-0.030275000259280205,-0.10034000128507614,0.0025949999690055847
67.2634048461914,-74.85543823242188,9.14434814453125,0.5835750102996826,0.15223999321460724,-0.02162499912083149,-0.09860999882221222,0.006054999772459269
70.27796936035156,-72.59849548339844,3.952307939529419,0.5135459899902344,0.14964500069618225,-0.006054999772459269,-0.1124500036239624,0.005189999938011169
73.00114440917969,-70.11373138427734,-1.223837971687317,0.5057650208473206,0.14099499583244324,0.0017300000181421638,-0.10985500365495682,0.0008650000090710819
75.54418182373047,-67.33228302001953,-6.426474094390869,0.5135459899902344,0.14099499583244324,0.009514999575912952,-0.11504500359296799,0.0017300000181421638
