1-220kV Ⅰ段母线电压Ua_1,2-220kV Ⅰ段母线电压Ub_2,3-220kV Ⅰ段母线电压Uc_3,4-220kV Ⅰ段母线电压3Uo_4,9-220kV江汉Ⅰ回281断路器Ia_9,10-220kV江汉Ⅰ回281断路器Ib_10,11-220kV江汉Ⅰ回281断路器Ic_11,12-220kV江汉Ⅰ回281断路器3Io_12
-74.6059799194336,3.5624887943267822,70.90242767333984,-0.0312430951744318,-0.0069157895632088184,-0.034579601138830185,0.04842831566929817,0.0
-73.48126983642578,0.9999968409538269,72.33921813964844,0.0,-0.0069157895632088184,-0.04149552434682846,0.04842831566929817,0.0
-72.20034790039062,-1.5624951124191284,73.68229675292969,0.0,-0.0069157895632088184,-0.04149552434682846,0.04842831566929817,0.0
-70.85694122314453,-4.1249871253967285,74.93167877197266,0.1249723806977272,0.0,-0.04149552434682846,0.04842831566929817,0.0
-69.41980743408203,-6.687479019165039,76.11859130859375,0.1874585747718811,0.0,-0.04149552434682846,0.04150998592376709,0.0
-67.98267364501953,-9.281220436096191,77.30550384521484,0.21870166063308716,0.0,-0.04149552434682846,0.04842831566929817,0.0
-66.42057037353516,-11.81246280670166,78.33625030517578,0.28118786215782166,0.0,-0.04149552434682846,0.04842831566929817,0.0
-64.79598236083984,-14.343704223632812,79.24205017089844,0.3124309480190277,0.0,-0.04149552434682846,0.04842831566929817,0.0
-63.04642868041992,-16.84369659423828,79.9916763305664,0.34367406368255615,0.0,-0.04149552434682846,0.04150998592376709,0.0
-61.203147888183594,-19.28118896484375,80.67884063720703,0.46864643692970276,0.0,-0.04149552434682846,0.04150998592376709,0.0
-59.391109466552734,-21.74993133544922,81.39723205566406,0.5311326384544373,0.0069157895632088184,-0.04149552434682846,0.04150998592376709,0.0
-57.4228630065918,-24.281173706054688,81.92822265625,0.5311326384544373,0.0069157895632088184,-0.04841144382953644,0.04150998592376709,0.0
-55.36088943481445,-26.781166076660156,82.42797088623047,0.5623757243156433,0.0069157895632088184,-0.04149552434682846,0.04150998592376709,0.0
-53.267669677734375,-29.249906539916992,82.80278778076172,0.5311326384544373,0.0069157895632088184,-0.04149552434682846,0.04150998592376709,0.0
-51.08073043823242,-31.78114891052246,83.1151351928711,0.5311326384544373,0.013831579126417637,-0.04841144382953644,0.03459165617823601,0.0
-48.862545013427734,-34.24989318847656,83.33377838134766,0.4998895227909088,0.013831579126417637,-0.04841144382953644,0.03459165617823601,0.0
-46.61311721801758,-36.62488555908203,83.4587173461914,0.46864643692970276,0.013831579126417637,-0.04841144382953644,0.03459165617823601,0.0
-44.23872375488281,-38.9998779296875,83.48994445800781,0.4998895227909088,0.013831579126417637,-0.04841144382953644,0.03459165617823601,0.0
-41.80184555053711,-41.31237030029297,83.3650131225586,0.4998895227909088,0.013831579126417637,-0.04841144382953644,0.03459165617823601,0.0
-39.36496353149414,-43.59361267089844,83.17760467529297,0.40616023540496826,0.013831579126417637,-0.04841144382953644,0.03459165617823601,0.0
-36.92808532714844,-45.874855041503906,82.99019622802734,0.3749171495437622,0.020747369155287743,-0.055327363312244415,0.03459165617823601,0.0
-34.491207122802734,-48.062347412109375,82.74031829833984,0.34367406368255615,0.020747369155287743,-0.04841144382953644,0.027673324570059776,0.0
-32.05432891845703,-50.187339782714844,82.39673614501953,0.28118786215782166,0.020747369155287743,-0.055327363312244415,0.03459165617823601,0.0
-29.58620834350586,-52.28108596801758,81.99069213867188,0.2499447613954544,0.020747369155287743,-0.055327363312244415,0.027673324570059776,0.0
-27.05560302734375,-54.34357833862305,81.52217102050781,0.1874585747718811,0.027663158252835274,-0.04841144382953644,0.027673324570059776,0.0
-24.587482452392578,-56.374820709228516,80.9911880493164,0.09372928738594055,0.027663158252835274,-0.04841144382953644,0.027673324570059776,0.0
-22.05687713623047,-58.34356689453125,80.46019744873047,0.1249723806977272,0.027663158252835274,-0.055327363312244415,0.027673324570059776,0.0
-19.49502944946289,-60.24980926513672,79.83550262451172,0.15621547400951385,0.027663158252835274,-0.04841144382953644,0.027673324570059776,0.0
-16.995668411254883,-62.09355163574219,79.17958068847656,0.1874585747718811,0.027663158252835274,-0.04841144382953644,0.027673324570059776,0.0
-14.496304512023926,-63.93729782104492,78.55488586425781,0.21870166063308716,0.027663158252835274,-0.055327363312244415,0.020754992961883545,0.0
-11.934457778930664,-65.71854400634766,77.7740249633789,0.1874585747718811,0.027663158252835274,-0.055327363312244415,0.020754992961883545,0.0
-9.372611045837402,-67.43728637695312,76.89945983886719,0.15621547400951385,0.027663158252835274,-0.055327363312244415,0.020754992961883545,0.0
-6.748279571533203,-69.0622787475586,75.9624252319336,0.21870166063308716,0.027663158252835274,-0.04841144382953644,0.020754992961883545,0.0
-4.123948574066162,-70.6560287475586,74.90044403076172,0.21870166063308716,0.027663158252835274,-0.055327363312244415,0.020754992961883545,0.0
-1.5621018409729004,-72.12477111816406,73.7760009765625,0.15621547400951385,0.041494738310575485,-0.04841144382953644,0.013836662285029888,0.0
0.9997451305389404,-73.56226348876953,72.62032318115234,0.09372928738594055,0.034578949213027954,-0.04841144382953644,0.013836662285029888,0.0
3.592834234237671,-74.84351348876953,71.3084716796875,0.0624861903488636,0.041494738310575485,-0.04841144382953644,0.013836662285029888,0.0
6.185923099517822,-76.124755859375,69.96538543701172,0.0312430951744318,0.034578949213027954,-0.04841144382953644,0.013836662285029888,0.0
8.747770309448242,-77.374755859375,68.59107208251953,-0.09372928738594055,0.034578949213027954,-0.04841144382953644,0.013836662285029888,0.0
