33-110kV 母线电压Ua_33,34-110kV 母线电压Ub_34,35-110kV 母线电压Uc_35,36-110kV 母线电压3Uo_36,41-110kV小小线路电流Ia_41,42-110kV小小线路电流Ib_42,43-110kV小小线路电流Ic_43,44-110kV小小线路电流3Io_44
79.86649322509766,-18.244375228881836,-61.52507781982422,0.1907847672700882,0.7758262753486633,-0.458431601524353,-0.3175022304058075,0.0
79.03753662109375,-14.684496879577637,-64.13233947753906,0.34977206587791443,0.7405614852905273,-0.3879036605358124,-0.3527802526950836,0.0
79.13318634033203,-12.459572792053223,-66.70780944824219,0.0953923836350441,0.7052966356277466,-0.35263970494270325,-0.38805827498435974,0.03527015075087547
75.6898422241211,-5.308032512664795,-70.14176940917969,0.2543796896934509,0.7052966356277466,-0.2821117639541626,-0.42333629727363586,0.0
74.60582733154297,-2.574554681777954,-72.0813217163086,0.06359492242336273,0.7052966356277466,-0.24684779345989227,-0.42333629727363586,0.0
72.53343963623047,1.3349542617797852,-73.79829406738281,0.0953923836350441,0.6347669959068298,-0.21158382296562195,-0.458614319562912,0.0
70.01469421386719,6.134432315826416,-76.34197235107422,-0.06359492242336273,0.5995021462440491,-0.1410558819770813,-0.458614319562912,0.0
67.30465698242188,9.980372428894043,-77.3912353515625,-0.06359492242336273,0.6347669959068298,-0.10579191148281097,-0.5291703939437866,0.0
64.62649536132812,13.889881134033203,-78.66307067871094,-0.2861771583557129,0.6347669959068298,-0.10579191148281097,-0.5291703939437866,0.03527015075087547
61.023738861083984,18.435081481933594,-79.64874267578125,-0.31797462701797485,0.5642372965812683,0.0,-0.5644484162330627,0.03527015075087547
57.42097854614258,22.408161163330078,-80.12567901611328,-0.3815695345401764,0.5995021462440491,0.0,-0.5644484162330627,0.03527015075087547
53.08491134643555,27.620838165283203,-81.04776000976562,-0.4451644718647003,0.49370765686035156,0.10579191148281097,-0.5644484162330627,0.03527015075087547
46.963409423828125,36.13911819458008,-83.4006576538086,-0.41336700320243835,0.4584428071975708,0.1410558819770813,-0.635004460811615,0.03527015075087547
41.41579818725586,42.46426010131836,-83.78221130371094,-0.0953923836350441,0.4584428071975708,0.21158382296562195,-0.635004460811615,0.0
37.526092529296875,44.752750396728516,-82.79653930664062,-0.6677467226982117,0.4584428071975708,0.21158382296562195,-0.635004460811615,0.03527015075087547
31.340822219848633,51.904293060302734,-83.3052749633789,-0.31797462701797485,0.4231779873371124,0.2821117639541626,-0.6702824831008911,0.03527015075087547
26.080156326293945,56.22700119018555,-82.7011489868164,-0.5405568480491638,0.38791313767433167,0.2821117639541626,-0.6702824831008911,0.0
21.07455062866211,60.64506530761719,-81.93804931640625,-0.3815695345401764,0.3526483178138733,0.31737571954727173,-0.7055605053901672,0.0
16.100830078125,64.14137268066406,-80.50723266601562,-0.31797462701797485,0.38791313767433167,0.31737571954727173,-0.7055605053901672,0.03527015075087547
10.680747985839844,68.24159240722656,-79.26719665527344,-0.3815695345401764,0.3526483178138733,0.31737571954727173,-0.6702824831008911,0.03527015075087547
6.472214698791504,70.87971496582031,-77.10507202148438,0.12718984484672546,0.28211864829063416,0.35263970494270325,-0.6702824831008911,0.0
1.4028445482254028,72.7550048828125,-74.65678405761719,-0.5087593793869019,0.28211864829063416,0.35263970494270325,-0.635004460811615,0.0
-3.156400203704834,75.8381118774414,-72.49466705322266,0.12718984484672546,0.2115889936685562,0.3879036605358124,-0.5997264385223389,0.0
-8.60836410522461,77.26842498779297,-69.34687042236328,-0.4769619107246399,0.14105932414531708,0.3879036605358124,-0.5644484162330627,0.0
-12.498069763183594,79.33441925048828,-66.32625579833984,0.4451644718647003,0.1057944968342781,0.458431601524353,-0.5291703939437866,0.03527015075087547
-18.906518936157227,80.79651641845703,-62.44715881347656,-0.3815695345401764,0.03526483103632927,0.458431601524353,-0.4938923418521881,0.03527015075087547
-23.274465560913086,82.4811019897461,-58.886016845703125,0.41336700320243835,-0.07052966207265854,0.5289595723152161,-0.42333629727363586,0.03527015075087547
-28.949609756469727,83.14857482910156,-54.657161712646484,-0.1907847672700882,-0.14105932414531708,0.5289595723152161,-0.42333629727363586,0.0
-33.381324768066406,84.2928237915039,-50.90524673461914,0.12718984484672546,-0.14105932414531708,0.5289595723152161,-0.38805827498435974,0.0
-39.08835220336914,84.19747161865234,-45.309165954589844,0.0,-0.2115889936685562,0.5642235279083252,-0.3527802526950836,0.0
-42.94617462158203,84.35639190673828,-40.953125,0.5087593793869019,-0.28211864829063416,0.5994874835014343,-0.3527802526950836,0.0
-48.780731201171875,83.62535095214844,-35.10268020629883,0.0,-0.28211864829063416,0.5994874835014343,-0.3527802526950836,0.0
-53.148677825927734,83.02143859863281,-29.601987838745117,0.41336700320243835,-0.3173834979534149,0.6347514390945435,-0.3175022304058075,0.03527015075087547
-57.96298599243164,82.1314697265625,-24.482847213745117,-0.06359492242336273,-0.3526483178138733,0.6700154542922974,-0.3175022304058075,0.0
-61.980220794677734,80.76473236083984,-18.473421096801758,0.41336700320243835,-0.3526483178138733,0.6700154542922974,-0.3527802526950836,0.0
-66.06122589111328,79.39799499511719,-13.449667930603027,0.031797461211681366,-0.3526483178138733,0.6700154542922974,-0.3175022304058075,0.0
-69.40892028808594,77.17306518554688,-7.631017208099365,0.2543796896934509,-0.3526483178138733,0.7052794098854065,-0.3527802526950836,0.0
-72.0233154296875,75.29777526855469,-3.3385701179504395,0.031797461211681366,-0.3526483178138733,0.7052794098854065,-0.3527802526950836,0.0
