1-220kV母线Ⅰ电压Ua_1,2-220kV母线Ⅰ电压Ub_2,3-220kV母线Ⅰ电压Uc_3,4-220kV母线Ⅰ电压3Uo_4,89-220kV瑞达II线路电流Ia_89,90-220kV瑞达II线路电流Ib_90,91-220kV瑞达II线路电流Ic_91,92-220kV瑞达II线路电流3Io_92
56.4005012512207,-83.09620666503906,26.616689682006836,-0.0634518414735794,0.12809991836547852,-0.13519218564033508,0.0,0.0
60.53823471069336,-81.9222640991211,21.413904190063477,-0.0634518414735794,0.12809991836547852,-0.12807680666446686,0.0,0.0
64.45317077636719,-80.39930725097656,16.02077293395996,0.0317259207367897,0.12809991836547852,-0.12807680666446686,-0.014209290966391563,-0.0071035269647836685
67.79518127441406,-78.43215942382812,10.754538536071777,-0.0317259207367897,0.1423332542181015,-0.11384604871273041,-0.02131393738090992,0.0
70.75525665283203,-76.08426666259766,5.32968282699585,-0.09517775475978851,0.1352165788412094,-0.10673066973686218,-0.028418581932783127,0.0
73.5880126953125,-73.5777359008789,-0.15862151980400085,-0.31725919246673584,0.1352165788412094,-0.10673066973686218,-0.03552322834730148,-0.0071035269647836685
76.07064819335938,-70.62701416015625,-5.551753044128418,-0.28553327918052673,0.1352165788412094,-0.09249991178512573,-0.03552322834730148,0.0
78.13951873779297,-67.54937744140625,-10.627641677856445,-0.1269036829471588,0.1352165788412094,-0.09249991178512573,-0.04262787476181984,-0.0071035269647836685
80.01741027832031,-64.31310272216797,-15.671805381774902,-0.0634518414735794,0.1423332542181015,-0.08538453280925751,-0.04262787476181984,0.0
81.5451889038086,-60.8547248840332,-20.589073181152344,0.0634518414735794,0.1352165788412094,-0.07826915383338928,-0.06394181400537491,0.0
82.69102478027344,-57.04733657836914,-25.442890167236328,0.15862959623336792,0.1352165788412094,-0.07115378230810165,-0.07104645669460297,0.0
83.55039978027344,-53.14476776123047,-30.13808822631836,0.2538073658943176,0.1352165788412094,-0.06403840333223343,-0.06394181400537491,0.0
84.02783203125,-49.05182647705078,-34.67466354370117,0.34898510575294495,0.1352165788412094,-0.04980764538049698,-0.07815109938383102,0.0
84.40977478027344,-44.92715835571289,-39.211238861083984,0.28553327918052673,0.12809991836547852,-0.042692266404628754,-0.08525574952363968,0.0
84.44160461425781,-40.32656478881836,-43.842987060546875,0.22208143770694733,0.1352165788412094,-0.03557689115405083,-0.09946504235267639,0.0
84.09149169921875,-35.503875732421875,-48.411285400390625,0.1269036829471588,0.12809991836547852,-0.021346133202314377,-0.10656968504190445,0.0
83.51856994628906,-30.586002349853516,-52.85268783569336,-0.0317259207367897,0.12809991836547852,-0.014230756089091301,-0.11367432773113251,-0.0071035269647836685
82.75468444824219,-25.287389755249023,-57.45271301269531,-0.22208143770694733,0.12098325788974762,-0.0071153780445456505,-0.12077897787094116,0.0
81.51336669921875,-19.957050323486328,-61.60859680175781,-0.28553327918052673,0.11386659741401672,0.0071153780445456505,-0.12788362801074982,0.0
79.85826873779297,-14.499795913696289,-65.47895812988281,-0.31725919246673584,0.11386659741401672,0.014230756089091301,-0.13498826324939728,0.0
77.94854736328125,-9.074270248413086,-68.87345886230469,-0.19035550951957703,0.10674993693828583,0.021346133202314377,-0.12788362801074982,0.0071035269647836685
75.62504577636719,-3.7122015953063965,-71.85554504394531,-0.0634518414735794,0.09963327646255493,0.028461512178182602,-0.13498826324939728,0.0
72.98326873779297,1.8402366638183594,-74.7424545288086,-0.0634518414735794,0.09251660853624344,0.03557689115405083,-0.13498826324939728,0.0
70.05502319335938,7.234034061431885,-77.12178039550781,0.0,0.07828328758478165,0.042692266404628754,-0.13498826324939728,0.0
66.93580627441406,12.215364456176758,-79.08868408203125,-0.19035550951957703,0.07116662710905075,0.04980764538049698,-0.13498826324939728,0.0
63.43464660644531,17.19669532775879,-80.73834991455078,-0.28553327918052673,0.07116662710905075,0.06403840333223343,-0.13498826324939728,0.0
59.742515563964844,22.178024291992188,-82.03904724121094,-0.41243696212768555,0.06404995918273926,0.06403840333223343,-0.14209291338920593,0.0
55.73209762573242,27.032442092895508,-82.99077606201172,-0.6027924418449402,0.05693329870700836,0.07115378230810165,-0.14209291338920593,0.0
51.46704864501953,31.759946823120117,-83.53009033203125,-0.6345183849334717,0.049816638231277466,0.08538453280925751,-0.14209291338920593,0.0
47.424800872802734,36.42399597167969,-84.10112762451172,-0.6662443280220032,0.04269997403025627,0.09249991178512573,-0.13498826324939728,0.0
42.96877670288086,41.05631637573242,-84.25975036621094,-0.5710665583610535,0.035583313554525375,0.09961529076099396,-0.13498826324939728,0.0
38.16263961791992,45.879005432128906,-84.22802734375,-0.5076147317886353,0.021349987015128136,0.09961529076099396,-0.14209291338920593,0.0
33.420162200927734,50.25749969482422,-83.87905883789062,-0.5076147317886353,0.01423332467675209,0.11384604871273041,-0.13498826324939728,0.0071035269647836685
28.327564239501953,54.69944763183594,-83.08595275878906,-0.28553327918052673,0.0,0.12096142768859863,-0.13498826324939728,0.0
23.139482498168945,59.04621505737305,-82.13422393798828,-0.0634518414735794,-0.007116662338376045,0.12096142768859863,-0.12788362801074982,0.0
17.855915069580078,63.04397201538086,-80.77007293701172,0.0317259207367897,-0.021349987015128136,0.13519218564033508,-0.12788362801074982,0.0
12.508688926696777,66.62925720214844,-79.05696105957031,0.0,-0.021349987015128136,0.12807680666446686,-0.12077897787094116,0.0
7.225120544433594,69.6751708984375,-76.86798858642578,-0.0634518414735794,-0.035583313554525375,0.13519218564033508,-0.11367432773113251,-0.0071035269647836685
