500kV鲁仁甲线_Ua_5,500kV鲁仁甲线_Ub_6,500kV鲁仁甲线_Uc_7,500kV鲁仁甲线_3U0_8,500kV鲁仁甲线_Ia_45,500kV鲁仁甲线_Ib_46,500kV鲁仁甲线_Ic_47,500kV鲁仁甲线_3I0_48
-41.50995635986328,86.31891632080078,-44.61444854736328,0.31900808215141296,0.24871274828910828,-0.5236343741416931,0.3325737714767456,0.019010640680789948
-46.139461517333984,86.2411117553711,-40.023841857910156,0.23342055082321167,0.28001925349235535,-0.5305814146995544,0.30838659405708313,0.022467119619250298
-50.62113571166992,86.02325439453125,-35.347652435302734,-0.023342058062553406,0.3113257586956024,-0.5236343741416931,0.28074410557746887,0.022467119619250298
-55.04834747314453,85.46304321289062,-30.539188385009766,-0.062245484441518784,0.3391537368297577,-0.5305814146995544,0.24619098007678986,0.015554159879684448
-59.08652114868164,84.38153076171875,-25.326129913330078,-0.12449096143245697,0.37046024203300476,-0.5305814146995544,0.2185484766960144,0.019010640680789948
-62.9613037109375,83.3155746459961,-20.408737182617188,-0.05446479842066765,0.394809752702713,-0.5236343741416931,0.19090598821640015,0.015554159879684448
-66.22918701171875,81.72053527832031,-15.43687915802002,0.11671027541160583,0.41915926337242126,-0.506266713142395,0.1598081737756729,0.022467119619250298
-69.59822845458984,79.68199157714844,-9.998180389404297,0.12449095398187637,0.4400302469730377,-0.4993196427822113,0.13216568529605865,0.029380079358816147
-72.7883071899414,77.41781616210938,-4.536139488220215,0.12449095398187637,0.46090126037597656,-0.48542553186416626,0.08724662661552429,0.022467119619250298
-75.52710723876953,74.76460266113281,0.8325332999229431,0.11671027541160583,0.4852507412433624,-0.4715314209461212,0.04923819750547409,0.012097680009901524
-77.89244079589844,71.72235107421875,6.100057125091553,-0.08558753877878189,0.5026432275772095,-0.45763731002807617,0.011229763738811016,0.015554159879684448
-79.89985656738281,68.22882843017578,11.422045707702637,-0.3034467101097107,0.5165572762489319,-0.44374319911003113,-0.012957420200109482,0.012097680009901524
-81.63494873046875,64.30735778808594,16.907428741455078,-0.622454822063446,0.5339497327804565,-0.42290204763412476,-0.0475105382502079,0.015554159879684448
-83.40894317626953,60.46370315551758,22.400592803955078,-0.8947787880897522,0.551342248916626,-0.3951137959957123,-0.07860834896564484,0.022467119619250298
-84.41265106201172,56.36328125,27.41913414001465,-0.8947787880897522,0.5548207759857178,-0.3742726445198059,-0.10970615595579147,0.022467119619250298
-85.42414093017578,52.05278396606445,32.67887878417969,-0.9803662896156311,0.5548207759857178,-0.3395373523235321,-0.1442592740058899,0.015554159879684448
-85.93766784667969,47.40771484375,37.99308395385742,-0.8947787880897522,0.5687347650527954,-0.31869620084762573,-0.1788123995065689,0.015554159879684448
-86.13996124267578,42.80154800415039,42.82489013671875,-0.552428662776947,0.5722132325172424,-0.29090797901153564,-0.20991019904613495,0.022467119619250298
-85.87541961669922,38.23428726196289,47.376590728759766,-0.38125357031822205,0.5756917595863342,-0.26311975717544556,-0.24100801348686218,0.019010640680789948
-85.48638916015625,33.24686813354492,51.9749755859375,-0.2801046669483185,0.5791702270507812,-0.22838446497917175,-0.2721058130264282,0.015554159879684448
-84.82502746582031,28.477306365966797,56.09873962402344,-0.16339439153671265,0.5722132325172424,-0.20406976342201233,-0.2997483015060425,0.015554159879684448
-83.96137237548828,23.458765029907227,60.378116607666016,-0.062245484441518784,0.5722132325172424,-0.16933448612689972,-0.3273908197879791,0.015554159879684448
-82.56085205078125,18.409101486206055,63.98835372924805,-0.015561372973024845,0.5652562379837036,-0.13807274401187897,-0.3515779972076416,0.015554159879684448
-80.68570709228516,13.266067504882812,67.45075988769531,-3.000000026176508e-09,0.5548207759857178,-0.11028451472520828,-0.3723098635673523,0.015554159879684448
-78.63159942626953,7.71843957901001,70.74977111816406,-0.07002616673707962,0.5409067273139954,-0.07207570970058441,-0.3895864188671112,0.015554159879684448
-76.21180725097656,2.3575475215911865,73.79979705810547,0.11671027541160583,0.5304712653160095,-0.040813952684402466,-0.41722893714904785,0.015554159879684448
-73.36408233642578,-2.7699239253997803,76.25849151611328,0.24898192286491394,0.5096002221107483,-0.0026051460299640894,-0.43450549244880676,0.025923600420355797
-70.40741729736328,-8.146377563476562,78.6705093383789,0.40459561347961426,0.49568626284599304,0.028656605631113052,-0.45523735880851746,0.015554159879684448
-66.69602966308594,-13.569514274597168,80.61567687988281,0.7236037254333496,0.4748152494430542,0.05644483119249344,-0.47596922516822815,0.012097680009901524
-62.821250915527344,-19.03155517578125,82.38188934326172,0.9959276914596558,0.45742276310920715,0.09465363621711731,-0.4897904694080353,0.012097680009901524
-58.90756607055664,-24.29907989501953,83.94580841064453,1.3071551322937012,0.4330732524394989,0.12591539323329926,-0.49670109152793884,0.015554159879684448
-54.682655334472656,-29.426549911499023,84.85614776611328,1.2838129997253418,0.40176674723625183,0.16065067052841187,-0.5036117434501648,0.015554159879684448
-50.372154235839844,-34.71741485595703,85.75871276855469,1.182664155960083,0.3774172365665436,0.19538594782352448,-0.5105223655700684,0.015554159879684448
-45.781551361083984,-39.891571044921875,86.28001403808594,1.104857325553894,0.3565462529659271,0.23012122511863708,-0.5174329876899719,0.015554159879684448
-41.13648223876953,-44.64556884765625,86.35004425048828,0.9803662896156311,0.32176125049591064,0.2648565173149109,-0.5243436098098755,0.015554159879684448
-36.475852966308594,-49.11946487426758,86.02325439453125,0.700261652469635,0.293933242559433,0.292644739151001,-0.5243436098098755,0.015554159879684448
