5-500kV阿太乙线线路电压Ua_5,6-500kV阿太乙线线路电压Ub_6,7-500kV阿太乙线线路电压Uc_7,8-500kV阿太乙线线路电压3Uo_8,13-500kV阿太乙线线路电流Ia_13,14-500kV阿太乙线线路电流Ib_14,15-500kV阿太乙线线路电流Ic_15,16-500kV阿太乙线线路电流3Io_16
40.800846099853516,46.073036193847656,-87.0674057006836,-0.381613165140152,0.02146971970796585,0.10738838464021683,-0.14330025017261505,0.0
35.99887466430664,50.68351745605469,-86.8130111694336,-0.31801095604896545,0.01431314554065466,0.12170683592557907,-0.13613523542881012,0.0
31.0060977935791,55.16681671142578,-86.30421447753906,-0.2544087767601013,0.00715657277032733,0.1288660615682602,-0.1289702206850052,0.0
25.822513580322266,59.332149505615234,-85.31842803955078,-0.3498120605945587,-0.00715657277032733,0.1288660615682602,-0.13613523542881012,0.0
20.60713005065918,63.084129333496094,-83.98284149169922,-0.4770164489746094,-0.01431314554065466,0.1288660615682602,-0.1289702206850052,0.0
15.296341896057129,66.77251434326172,-82.3610610961914,-0.5724197030067444,-0.02146971970796585,0.13602527976036072,-0.11464019864797592,0.0
9.953752517700195,70.04754638671875,-80.29408264160156,-0.5406186580657959,-0.02862629108130932,0.13602527976036072,-0.10747518390417099,0.007173452060669661
4.483958721160889,73.13179779052734,-77.84551239013672,-0.41341423988342285,-0.0429394394159317,0.14318451285362244,-0.10031017661094666,0.0
-1.1130393743515015,75.96168518066406,-74.9835433959961,-0.190806582570076,-0.05009601265192032,0.14318451285362244,-0.09314516186714172,0.007173452060669661
-6.519230842590332,78.50540161132812,-71.93077850341797,0.031801097095012665,-0.05725258216261864,0.14318451285362244,-0.09314516186714172,0.0
-11.98902416229248,80.79473876953125,-68.59181213378906,0.3498120605945587,-0.07156573235988617,0.15034373104572296,-0.07881513983011246,0.007173452060669661
-17.458818435668945,82.79792022705078,-64.99845886230469,0.6042208075523376,-0.07872230559587479,0.14318451285362244,-0.07165012508630753,0.0
-22.76960563659668,84.32415008544922,-61.150699615478516,0.6996241211891174,-0.0858788788318634,0.14318451285362244,-0.0644851103425026,0.007173452060669661
-28.048593521118164,85.564208984375,-57.14394760131836,0.6360219120979309,-0.09303545206785202,0.15034373104572296,-0.05732009932398796,0.0
-33.232177734375,86.4863052368164,-52.94639587402344,0.41341423988342285,-0.09303545206785202,0.14318451285362244,-0.05015508830547333,0.007173452060669661
-38.25675582885742,86.96324920654297,-48.55804443359375,0.190806582570076,-0.10734859853982925,0.14318451285362244,-0.042990073561668396,0.0
-43.21773147583008,87.28121185302734,-44.04249572753906,0.0,-0.11450516432523727,0.14318451285362244,-0.02866004966199398,0.0
-47.95609664916992,87.21762084960938,-39.367950439453125,-0.190806582570076,-0.11450516432523727,0.13602527976036072,-0.021495036780834198,0.0
-52.630863189697266,86.83606719970703,-34.43900680541992,-0.3498120605945587,-0.11450516432523727,0.1288660615682602,-0.007165012415498495,0.0
-57.05121994018555,86.20013427734375,-29.287466049194336,-0.3498120605945587,-0.1288183182477951,0.1288660615682602,0.0,0.007173452060669661
-61.153564453125,85.02366638183594,-24.072324752807617,-0.31801095604896545,-0.1288183182477951,0.12170683592557907,0.007165012415498495,0.0
-64.87429809570312,83.56103515625,-18.82538414001465,-0.31801095604896545,-0.13597488403320312,0.11454761028289795,0.01433002483099699,0.007173452060669661
-68.40422058105469,81.71684265136719,-13.48304557800293,-0.2862098515033722,-0.1288183182477951,0.11454761028289795,0.021495036780834198,0.007173452060669661
-71.55253601074219,79.4910888671875,-8.045308113098145,-0.2544087767601013,-0.14313146471977234,0.1002291589975357,0.03582506254315376,0.0
-74.47823333740234,76.94737243652344,-2.6393697261810303,-0.2862098515033722,-0.14313146471977234,0.09306993335485458,0.042990073561668396,0.0
-77.213134765625,74.05390167236328,2.798367977142334,-0.4770164489746094,-0.13597488403320312,0.09306993335485458,0.05015508830547333,0.0
-79.63002014160156,70.90605163574219,8.267905235290527,-0.7950273752212524,-0.14313146471977234,0.08591070771217346,0.0644851103425026,0.0
-81.95149993896484,67.66281127929688,13.705643653869629,-0.985834002494812,-0.14313146471977234,0.07159225642681122,0.07165012508630753,0.007173452060669661
-83.79596710205078,63.97442626953125,19.079782485961914,-1.2720438241958618,-0.13597488403320312,0.0644330307841301,0.07165012508630753,0.0
-85.32241821289062,60.12705993652344,24.26312255859375,-1.4628504514694214,-0.14313146471977234,0.057273805141448975,0.07881513983011246,0.0
-86.34005737304688,55.929931640625,29.47826385498047,-1.5900547504425049,-0.14313146471977234,0.057273805141448975,0.09314516186714172,0.0
-87.03968048095703,51.47842788696289,34.72520446777344,-1.3674471378326416,-0.14313146471977234,0.04295535385608673,0.10031017661094666,0.007173452060669661
-87.38949584960938,47.090518951416016,39.71774673461914,-0.8904306888580322,-0.14313146471977234,0.03579612821340561,0.10747518390417099,0.0
-87.45309448242188,42.35285186767578,44.710289001464844,-0.6042208075523376,-0.13597488403320312,0.021477676928043365,0.11464019864797592,0.007173452060669661
-87.23048400878906,37.456199645996094,49.44843292236328,-0.4452153444290161,-0.13597488403320312,0.014318451285362244,0.11464019864797592,0.0
-86.62626647949219,32.43236541748047,53.99578094482422,-0.2862098515033722,-0.1288183182477951,0.0,0.12180521339178085,0.0
-85.70403289794922,27.24954605102539,58.288734436035156,-0.22260767221450806,-0.1288183182477951,-0.007159225642681122,0.1289702206850052,0.007173452060669661
-84.3683853149414,22.098522186279297,62.20008850097656,0.031801097095012665,-0.12166173756122589,-0.014318451285362244,0.13613523542881012,0.007173452060669661
-82.84193420410156,16.883907318115234,65.88884735107422,-0.031801097095012665,-0.11450516432523727,-0.021477676928043365,0.1289702206850052,0.007173452060669661
-80.99746704101562,11.47851276397705,69.2278060913086,-0.3498120605945587,-0.10734859853982925,-0.03579612821340561,0.13613523542881012,0.0
-78.73958587646484,6.168508529663086,72.24877166748047,-0.4770164489746094,-0.10019202530384064,-0.05011457949876785,0.13613523542881012,0.007173452060669661
-76.10009002685547,0.6995216012001038,75.0471420288086,-0.4770164489746094,-0.09303545206785202,-0.04295535385608673,0.14330025017261505,0.0
-73.04718780517578,-4.801261901855469,77.65470886230469,-0.22260767221450806,-0.09303545206785202,-0.0644330307841301,0.14330025017261505,0.0
-69.80347442626953,-10.270248413085938,80.10328674316406,0.190806582570076,-0.07156573235988617,-0.07875148206949234,0.14330025017261505,0.0
-66.24174499511719,-15.739235877990723,82.26566314697266,0.5406186580657959,-0.07156573235988617,-0.07875148206949234,0.14330025017261505,0.0
-62.36200714111328,-21.144630432128906,83.95104217529297,0.7314252257347107,-0.06440915912389755,-0.08591070771217346,0.15046526491641998,0.0
-58.29146194458008,-26.454633712768555,85.25482177734375,0.9222317934036255,-0.05009601265192032,-0.09306993335485458,0.15046526491641998,0.0
-54.030113220214844,-31.66925048828125,86.20881652832031,0.9222317934036255,-0.05009601265192032,-0.1002291589975357,0.15046526491641998,0.0
-49.57795333862305,-36.75667953491211,86.8130111694336,0.9222317934036255,-0.035782866179943085,-0.10738838464021683,0.14330025017261505,0.007173452060669661
-45.093997955322266,-41.58973693847656,87.03560638427734,0.6360219120979309,-0.02862629108130932,-0.10738838464021683,0.14330025017261505,0.007173452060669661
-40.387428283691406,-46.48638916015625,87.03560638427734,0.31801095604896545,-0.01431314554065466,-0.12170683592557907,0.1289702206850052,0.0
-35.55365753173828,-51.09687042236328,86.78120422363281,0.2544087767601013,-0.01431314554065466,-0.12170683592557907,0.13613523542881012,0.0
-30.529081344604492,-55.61196517944336,86.17701721191406,0.095403291285038,-0.00715657277032733,-0.1288660615682602,0.1289702206850052,0.0
-25.345497131347656,-59.74550247192383,85.19122314453125,0.2544087767601013,0.00715657277032733,-0.13602527976036072,0.12180521339178085,0.0
-20.16191291809082,-63.4656867980957,83.82384490966797,0.41341423988342285,0.01431314554065466,-0.13602527976036072,0.12180521339178085,0.0
-14.851125717163086,-67.0904769897461,82.20205688476562,0.5088175535202026,0.02146971970796585,-0.14318451285362244,0.11464019864797592,0.0
-9.508536338806152,-70.3337173461914,80.13508605957031,0.4770164489746094,0.035782866179943085,-0.14318451285362244,0.10747518390417099,0.0
-4.070544242858887,-73.44976806640625,77.65470886230469,0.381613165140152,0.05009601265192032,-0.14318451285362244,0.10031017661094666,0.007173452060669661
1.4628517627716064,-76.18425750732422,74.82454681396484,0.15900547802448273,0.05009601265192032,-0.14318451285362244,0.10031017661094666,0.007173452060669661
6.900844097137451,-78.69617462158203,71.77178192138672,0.0,0.05725258216261864,-0.15034373104572296,0.08598014712333679,0.0
12.434240341186523,-81.01731872558594,68.43281555175781,-0.2544087767601013,0.07156573235988617,-0.15034373104572296,0.08598014712333679,0.007173452060669661
17.87223243713379,-82.95690155029297,64.83946228027344,-0.41341423988342285,0.07872230559587479,-0.15034373104572296,0.07165012508630753,0.0
23.183021545410156,-84.4831314086914,60.928104400634766,-0.5724197030067444,0.07872230559587479,-0.15750296413898468,0.0644851103425026,0.0
28.430206298828125,-85.69139099121094,56.889549255371094,-0.6042208075523376,0.0858788788318634,-0.15034373104572296,0.05732009932398796,0.0
33.58198928833008,-86.54989624023438,52.69199752807617,-0.41341423988342285,0.09303545206785202,-0.14318451285362244,0.042990073561668396,0.0
38.542964935302734,-87.09043884277344,48.33544921875,-0.31801095604896545,0.10734859853982925,-0.14318451285362244,0.03582506254315376,0.0
43.50394058227539,-87.34481048583984,43.78810119628906,-0.12720438838005066,0.11450516432523727,-0.15034373104572296,0.02866004966199398,0.0
48.2423095703125,-87.28121185302734,39.08175277709961,0.06360219419002533,0.11450516432523727,-0.14318451285362244,0.021495036780834198,0.0
52.88527297973633,-86.86785888671875,34.089210510253906,0.22260767221450806,0.12166173756122589,-0.13602527976036072,0.007165012415498495,0.0
57.33742904663086,-86.13654327392578,28.93766975402832,0.22260767221450806,0.1288183182477951,-0.13602527976036072,0.0,0.0
61.37617111206055,-84.99187469482422,23.7861270904541,0.2862098515033722,0.1288183182477951,-0.1288660615682602,-0.007165012415498495,0.0
65.16050720214844,-83.4974365234375,18.507389068603516,0.31801095604896545,0.13597488403320312,-0.12170683592557907,-0.021495036780834198,0.0
68.72222900390625,-81.68504333496094,13.16504955291748,0.3498120605945587,0.13597488403320312,-0.11454761028289795,-0.02866004966199398,0.0
71.93414306640625,-79.4910888671875,7.695511817932129,0.2862098515033722,0.14313146471977234,-0.10738838464021683,-0.02866004966199398,0.0
74.85984802246094,-76.97917175292969,2.2577741146087646,0.2862098515033722,0.14313146471977234,-0.1002291589975357,-0.042990073561668396,0.0
