110kVⅡ组母线_5,110kVⅡ组母线_6,110kVⅡ组母线_7,110kVⅡ组母线_8,洱北西线162_29,洱北西线162_30,洱北西线162_31,洱北西线162_32
82.66511535644531,-60.722381591796875,-21.682573318481445,0.7570539712905884,0.7114989757537842,-0.9557099938392639,0.21876299381256104,-0.004356999881565571
83.95108032226562,-57.04355239868164,-26.78467559814453,0.45738598704338074,0.7114989757537842,-0.885886013507843,0.13126300275325775,-0.004356999881565571
84.88434600830078,-53.022884368896484,-31.875932693481445,0.1734900027513504,0.7466350197792053,-0.8335180282592773,0.07876300066709518,0.013043000362813473
85.40524291992188,-48.66038131713867,-36.853328704833984,-0.0630899965763092,0.7114989757537842,-0.8160619735717773,0.06126299872994423,-0.004356999881565571
85.60057830810547,-43.96689224243164,-41.73855209350586,-0.13406400382518768,0.7290670275688171,-0.711326003074646,-0.008736999705433846,-0.004356999881565571
85.3618392944336,-39.27340316772461,-46.13037109375,-0.03943200036883354,0.7114989757537842,-0.6764140129089355,-0.07873699814081192,-0.004356999881565571
84.84636688232422,-34.28690719604492,-50.41917419433594,0.1577180027961731,0.693930983543396,-0.6065899729728699,-0.1312370002269745,-0.004356999881565571
84.0107650756836,-29.20274543762207,-54.6320686340332,0.3785260021686554,0.7114989757537842,-0.536765992641449,-0.1662369966506958,-0.004356999881565571
82.80076599121094,-24.01548957824707,-58.459999084472656,0.5520179867744446,0.6587949991226196,-0.41457399725914,-0.27123698592185974,-0.004356999881565571
81.27606201171875,-18.909624099731445,-61.96803283691406,0.6308779716491699,0.6587949991226196,-0.3272939920425415,-0.3587369918823242,-0.02175699919462204
79.40409088134766,-13.689811706542969,-65.38389587402344,0.5599039793014526,0.6060910224914551,-0.18764600157737732,-0.42873701453208923,-0.02175699919462204
77.3639144897461,-8.529685974121094,-68.544921875,0.35486799478530884,0.6060910224914551,-0.10036599636077881,-0.5337370038032532,-0.004356999881565571
75.00360107421875,-3.3424301147460938,-71.56497192382812,0.11040200293064117,0.6060910224914551,0.0218260008841753,-0.6387370228767395,-0.004356999881565571
72.5022201538086,1.785140037536621,-74.23259735107422,-0.07097599655389786,0.5709549784660339,0.1440179944038391,-0.7262369990348816,-0.004356999881565571
69.8000717163086,6.880154132843018,-76.69418334960938,-0.20503799617290497,0.5533869862556458,0.3011220097541809,-0.8487370014190674,-0.004356999881565571
66.56074523925781,12.067410469055176,-78.61357116699219,-0.20503799617290497,0.5182510018348694,0.42331400513648987,-0.9537370204925537,-0.02175699919462204
63.028419494628906,17.341482162475586,-80.40825653076172,-0.2523539960384369,0.5006830096244812,0.5455060005187988,-1.0412369966506958,-0.004356999881565571
59.25192642211914,22.686092376708984,-81.88304138183594,-0.12617799639701843,0.46554699540138245,0.562961995601654,-1.0762369632720947,-0.004356999881565571
55.32350158691406,28.377965927124023,-83.53675079345703,-0.01577400043606758,0.46554699540138245,0.562961995601654,-1.0237369537353516,-0.004356999881565571
50.97727584838867,33.93961715698242,-84.81092071533203,0.0551999993622303,0.3952749967575073,0.5804179906845093,-1.0062370300292969,-0.004356999881565571
46.54423141479492,38.98579788208008,-85.19046020507812,0.22869199514389038,0.36013901233673096,0.7026100158691406,-1.05873703956604,-0.02175699919462204
