1-220kV七东Ⅰ回线Ua_1,2-220kV七东Ⅰ回线Ub_2,3-220kV七东Ⅰ回线Uc_3,4-220kV七东Ⅰ回线3Uo_4,9-220kV七东Ⅰ回线Ia_9,10-220kV七东Ⅰ回线Ib_10,11-220kV七东Ⅰ回线Ic_11,12-220kV七东Ⅰ回线3Io_12
-13.843056678771973,-65.8968276977539,79.69152069091797,0.0,-0.01435048133134842,-0.10073453187942505,0.12945006787776947,0.007181359454989433
-8.86721134185791,-69.07717895507812,77.8153076171875,0.031803425401449203,-0.00717524066567421,-0.10792985558509827,0.12945006787776947,0.007181359454989433
-4.018951892852783,-72.00309753417969,75.97088623046875,0.06360685080289841,0.0,-0.10792985558509827,0.12225839495658875,0.014362718909978867
0.893100380897522,-74.80180358886719,73.84027099609375,0.06360685080289841,0.00717524066567421,-0.1223205029964447,0.11506672948598862,0.007181359454989433
5.709463119506836,-77.28247833251953,71.55065155029297,0.09541027992963791,0.02152572199702263,-0.1223205029964447,0.11506672948598862,0.014362718909978867
10.653411865234375,-79.60413360595703,68.97482299804688,0.15901713073253632,0.02870096266269684,-0.12951582670211792,0.10787505656480789,0.007181359454989433
15.533567428588867,-81.51234436035156,66.01739501953125,0.12721370160579681,0.02870096266269684,-0.1223205029964447,0.10068338364362717,0.014362718909978867
20.573205947875977,-83.22972869873047,62.58296585083008,0.031803425401449203,0.04305144399404526,-0.12951582670211792,0.10068338364362717,0.007181359454989433
25.54905128479004,-84.43826293945312,58.703330993652344,-0.19082055985927582,0.05022668465971947,-0.13671115040779114,0.08630004525184631,0.007181359454989433
30.58868980407715,-85.137939453125,54.2830924987793,-0.38164111971855164,0.05740192532539368,-0.12951582670211792,0.07910837233066559,0.007181359454989433
35.69211959838867,-85.614990234375,49.54484939575195,-0.6042650938034058,0.06457716971635818,-0.12951582670211792,0.07191670686006546,0.007181359454989433
40.76365280151367,-85.77400970458984,44.48860168457031,-0.7950856685638428,0.0717524066567421,-0.13671115040779114,0.06472503393888474,0.014362718909978867
45.83518981933594,-85.55138397216797,39.146156311035156,-0.8904959559440613,0.0789276510477066,-0.12951582670211792,0.05753336474299431,0.014362718909978867
50.74724197387695,-84.9471206665039,33.67650604248047,-0.8904959559440613,0.08610288798809052,-0.12951582670211792,0.05034169182181358,0.014362718909978867
55.37222671508789,-84.08842468261719,28.111454010009766,-0.8904959559440613,0.09327813237905502,-0.13671115040779114,0.04315002262592316,0.014362718909978867
59.51876449584961,-82.56185913085938,22.67360496520996,-0.5406582355499268,0.10045336931943893,-0.13671115040779114,0.04315002262592316,0.007181359454989433
63.346336364746094,-80.90807342529297,17.426557540893555,-0.25442740321159363,0.10045336931943893,-0.12951582670211792,0.02157501131296158,0.0
66.63166809082031,-79.15888214111328,12.561114311218262,0.15901713073253632,0.10762861371040344,-0.12951582670211792,0.02157501131296158,0.007181359454989433
69.78942108154297,-77.31428527832031,7.695669651031494,0.44524797797203064,0.11480385065078735,-0.11512517929077148,0.0071916705928742886,0.007181359454989433
72.53250885009766,-75.31066131591797,3.1164283752441406,0.6360685229301453,0.12197909504175186,-0.11512517929077148,-0.0071916705928742886,0.007181359454989433
75.24370574951172,-73.1798324584961,-1.6218147277832031,0.8268890976905823,0.12197909504175186,-0.11512517929077148,-0.014383341185748577,0.0
77.63594055175781,-70.73095703125,-6.3282575607299805,0.9859062433242798,0.12915433943271637,-0.10792985558509827,-0.014383341185748577,0.007181359454989433
79.80490112304688,-68.05946350097656,-11.289102554321289,0.8904959559440613,0.12915433943271637,-0.10073453187942505,-0.028766682371497154,0.007181359454989433
81.5592041015625,-64.91091918945312,-16.24994659423828,0.8586925268173218,0.13632957637310028,-0.09353920817375183,-0.03595835343003273,0.014362718909978867
82.962646484375,-61.126304626464844,-21.496994018554688,0.6678719520568848,0.13632957637310028,-0.08634388446807861,-0.05034169182181358,0.007181359454989433
84.07902526855469,-57.182674407958984,-26.64864158630371,0.44524797797203064,0.13632957637310028,-0.0791485607624054,-0.05753336474299431,0.007181359454989433
84.74884796142578,-52.66657638549805,-31.927490234375,0.31803426146507263,0.13632957637310028,-0.07195323705673218,-0.06472503393888474,0.007181359454989433
85.19539642333984,-47.737037658691406,-37.46073913574219,0.12721370160579681,0.1435048133134842,-0.07195323705673218,-0.07191670686006546,0.007181359454989433
85.227294921875,-42.616676330566406,-42.51698684692383,0.12721370160579681,0.13632957637310028,-0.05756258964538574,-0.07910837233066559,0.007181359454989433
84.87643432617188,-37.14647674560547,-47.66863250732422,0.12721370160579681,0.1435048133134842,-0.05756258964538574,-0.07910837233066559,0.007181359454989433
84.30229949951172,-31.612668991088867,-52.56587600708008,0.19082055985927582,0.1435048133134842,-0.04317194223403931,-0.08630004525184631,0.0
83.12213134765625,-26.174272537231445,-56.76351547241211,0.31803426146507263,0.12915433943271637,-0.03597661852836609,-0.09349171817302704,0.007181359454989433
81.7505874633789,-20.704071044921875,-60.80215072631836,0.44524797797203064,0.13632957637310028,-0.02878129482269287,-0.10068338364362717,0.007181359454989433
80.15576171875,-15.520102500915527,-64.30018615722656,0.5088548064231873,0.12915433943271637,-0.021585971117019653,-0.10068338364362717,0.007181359454989433
78.33766174316406,-10.526954650878906,-67.38481140136719,0.6042650938034058,0.12915433943271637,-0.014390647411346436,-0.10787505656480789,0.007181359454989433
76.32818603515625,-5.629217624664307,-70.40583801269531,0.47705140709877014,0.12915433943271637,-0.007195323705673218,-0.11506672948598862,0.007181359454989433
