17-110kVⅡ段母线电压Ua_17,18-110kVⅡ段母线电压Ub_18,19-110kVⅡ段母线电压Uc_19,20-110kVⅡ段母线电压3Uo_20,21-110kV镇电威马线电流Ia_21,22-110kV镇电威马线电流Ib_22,23-110kV镇电威马线电流Ic_23,24-110kV镇电威马线电流3Io_24
-77.91191864013672,70.54718017578125,7.405348777770996,-0.038966547697782516,-2.537734031677246,2.539116859436035,0.0,-0.017282934859395027
-80.46142578125,68.05186462402344,12.074616432189941,-0.6624312996864319,-2.615419626235962,2.4354796409606934,0.18140193819999695,-0.017282934859395027
-82.04414367675781,64.51943969726562,16.969942092895508,-1.0520967245101929,-2.684473752975464,2.3232057094573975,0.3887184262275696,0.008641467429697514
-82.53533172607422,59.83293151855469,22.208251953125,-0.911817193031311,-2.7448959350585938,2.1850223541259766,0.5873967409133911,0.0
-82.81600952148438,55.208805084228516,27.40758514404297,-0.42083868384361267,-2.7794229984283447,2.0382027626037598,0.7515223026275635,0.0
-83.08889770507812,50.77962112426758,32.28731918334961,-0.07793309539556503,-2.8312134742736816,1.9259288311004639,0.9156478643417358,0.025924403220415115
-83.3929672241211,46.17109298706055,37.369728088378906,0.17924611270427704,-2.8830039501190186,1.8222914934158325,1.07113516330719,0.017282934859395027
-83.62686157226562,41.07909393310547,42.74055480957031,0.2961457371711731,-2.9088990688323975,1.6754717826843262,1.2438989877700806,0.008641467429697514
-83.61126708984375,36.12745666503906,47.56572341918945,0.101313017308712,-2.9088990688323975,1.4854698181152344,1.4253008365631104,0.008641467429697514
-83.12787628173828,31.698274612426758,51.33076095581055,-0.1948327273130417,-2.8743720054626465,1.2781949043273926,1.598064661026001,0.008641467429697514
-82.28584289550781,27.206710815429688,54.74501419067383,-0.6234647631645203,-2.8225815296173096,1.0881929397583008,1.7276374101638794,0.0
-80.9993896484375,21.904170989990234,58.626976013183594,-0.85726398229599,-2.7707910537719727,0.915463924407959,1.865848422050476,0.008641467429697514
-79.13599395751953,16.079174041748047,62.68822479248047,-0.6780179142951965,-2.7448959350585938,0.7427349090576172,2.0299739837646484,0.008641467429697514
-77.04649353027344,10.589485168457031,66.31295013427734,-0.28055912256240845,-2.70173716545105,0.5700058341026306,2.168184995651245,0.008641467429697514
-75.05834197998047,5.575465202331543,69.5868911743164,0.15586619079113007,-2.658578395843506,0.3886403441429138,2.2804813385009766,0.017282934859395027
-73.11698150634766,0.6004347205162048,72.79847717285156,0.47539186477661133,-2.589524507522583,0.20727485418319702,2.3841397762298584,0.025924403220415115
-71.05086517333984,-4.327808856964111,75.8229751586914,0.7871242165565491,-2.503206968307495,0.01727290451526642,2.487797975540161,0.025924403220415115
-68.84441375732422,-8.98312759399414,78.27063751220703,0.7247777581214905,-2.3996260166168213,-0.181365504860878,2.5741798877716064,0.0
-66.27152252197266,-13.505882263183594,80.06351470947266,0.44421863555908203,-2.2874133586883545,-0.362731009721756,2.677838087081909,0.008641467429697514
-62.7474365234375,-18.387338638305664,81.2717514038086,0.17924611270427704,-2.1665687561035156,-0.5872787833213806,2.746943473815918,0.0
-58.26436233520508,-23.853633880615234,82.19937133789062,0.09351971000432968,-2.028460741043091,-0.7600077986717224,2.816049098968506,0.017282934859395027
-53.42264175415039,-29.40570640563965,82.99446868896484,0.21821266412734985,-1.907616376876831,-0.9413732886314392,2.8678781986236572,0.025924403220415115
-48.877197265625,-34.638065338134766,83.64926147460938,0.14807286858558655,-1.7867718935012817,-1.0881929397583008,2.902431011199951,0.025924403220415115
-44.323951721191406,-39.644287109375,84.07799530029297,0.14027956128120422,-1.6831908226013184,-1.2350126504898071,2.9542601108551025,0.025924403220415115
-39.25613021850586,-44.56473159790039,84.10137939453125,0.4364253282546997,-1.5364512205123901,-1.3904688358306885,2.97153639793396,0.04320733621716499
-33.91542434692383,-49.04070281982422,83.48556518554688,0.85726398229599,-1.3638161420822144,-1.5718343257904053,2.9542601108551025,0.034565869718790054
-29.026926040649414,-52.69789505004883,82.31629943847656,1.0131301879882812,-1.1739177703857422,-1.735926866531372,2.9283454418182373,0.017282934859395027
-24.55164909362793,-56.121150970458984,80.9989242553711,0.514358401298523,-0.9926510453224182,-1.9000195264816284,2.8937926292419434,0.017282934859395027
-19.64755630493164,-59.94989776611328,79.65816497802734,0.08572640269994736,-0.820016086101532,-2.0295662879943848,2.8678781986236572,0.0
-14.11193561553955,-64.01258087158203,78.09135437011719,-0.05455316603183746,-0.6560128331184387,-2.1850223541259766,2.8592400550842285,0.017282934859395027
-8.630890846252441,-67.84132385253906,76.40760803222656,-0.1636594980955124,-0.47474613785743713,-2.2972962856292725,2.816049098968506,0.025924403220415115
-3.547475576400757,-71.26458740234375,74.66150665283203,-0.2649725079536438,-0.3021111786365509,-2.4095702171325684,2.746943473815918,0.025924403220415115
1.380007028579712,-74.35253143310547,72.8140640258789,-0.28055912256240845,-0.11221272498369217,-2.5132076740264893,2.6605615615844727,0.017282934859395027
6.408845901489258,-77.29232788085938,70.80293273925781,-0.12469294667243958,0.06042223796248436,-2.608208656311035,2.5741798877716064,0.025924403220415115
11.429888725280762,-79.77983856201172,68.37865447998047,0.04675985500216484,0.24168895184993744,-2.694573163986206,2.487797975540161,0.017282934859395027
16.170251846313477,-81.3550033569336,65.18266296386719,0.0,0.4143238961696625,-2.772301197052002,2.3755013942718506,0.008641467429697514
20.856037139892578,-81.91645050048828,60.85637664794922,-0.28055912256240845,0.6042223572731018,-2.841392755508423,2.2545669078826904,0.008641467429697514
