1-110kVⅠ母电压Ua_1,2-110kVⅠ母电压Ub_2,3-110kVⅠ母电压Uc_3,4-110kVⅠ母电压3Uo_4,21-马拉线165电流Ia_21,22-马拉线165电流Ib_22,23-马拉线165电流Ic_23,24-马拉线165电流3Io_24
-82.46964263916016,27.998249053955078,54.498409271240234,0.12697771191596985,0.40750014781951904,-0.2833361029624939,-0.10618826001882553,0.0
-81.51476287841797,23.046178817749023,58.429649353027344,-0.03174442797899246,0.42521753907203674,-0.24791908264160156,-0.1415843367576599,0.017724372446537018
-80.08245086669922,17.967130661010742,62.04385757446289,-0.1587221473455429,0.40750014781951904,-0.24791908264160156,-0.159282386302948,0.0
-78.30001068115234,12.856339454650879,65.30931854248047,-0.28569987416267395,0.40750014781951904,-0.2302105724811554,-0.1769804209470749,0.017724372446537018
-76.39025115966797,7.713803768157959,68.41626739501953,-0.4126775860786438,0.40750014781951904,-0.1770850569009781,-0.21237652003765106,0.0
-74.06671905517578,2.444291591644287,71.42810821533203,-0.2539554238319397,0.40750014781951904,-0.19479356706142426,-0.23007455468177795,0.0
-71.29756927490234,-2.920452356338501,74.0912094116211,-0.03174442797899246,0.42521753907203674,-0.14166805148124695,-0.24777260422706604,0.0
-68.24195861816406,-8.25345230102539,76.62749481201172,0.38093316555023193,0.40750014781951904,-0.12395954132080078,-0.24777260422706604,0.017724372446537018
-65.1545181274414,-13.554708480834961,78.97355651855469,0.6031441688537598,0.38978272676467896,-0.08854252845048904,-0.2831686735153198,0.0
-61.780616760253906,-18.633756637573242,80.87577056884766,0.8888440132141113,0.40750014781951904,-0.07083402574062347,-0.3008667230606079,0.0
-57.99293518066406,-23.71280288696289,82.27072143554688,0.9523329138755798,0.40750014781951904,-0.03541701287031174,-0.318564772605896,0.0
-53.95061492919922,-28.791851043701172,83.19012451171875,0.8253551721572876,0.38978272676467896,-0.03541701287031174,-0.3539608418941498,0.0
-49.780982971191406,-33.71217727661133,83.8241958618164,0.6348885893821716,0.37206533551216125,0.0,-0.37165889143943787,0.0
-45.45220184326172,-38.44204330444336,84.01441955566406,0.2539554238319397,0.37206533551216125,0.03541701287031174,-0.3539608418941498,0.0
-40.80512619018555,-43.01318359375,83.79249572753906,-0.09523329138755798,0.33663055300712585,0.07083402574062347,-0.37165889143943787,0.0
-35.903419494628906,-47.6478157043457,83.34864807128906,-0.28569987416267395,0.31891316175460815,0.08854252845048904,-0.38935694098472595,0.017724372446537018
-30.969881057739258,-52.091983795166016,82.87309265136719,-0.2539554238319397,0.30119574069976807,0.10625103116035461,-0.40705499053001404,0.0
-26.068174362182617,-56.18696594238281,82.1122055053711,-0.09523329138755798,0.28347834944725037,0.14166805148124695,-0.4247530400753021,0.0
-21.039148330688477,-59.8692741394043,80.87577056884766,0.0,0.26576095819473267,0.15937654674053192,-0.4247530400753021,0.0
-15.850977897644043,-63.297630310058594,79.35399627685547,0.28569987416267395,0.24804356694221497,0.21250206232070923,-0.4247530400753021,0.0
-10.758294105529785,-66.59901428222656,77.57859802246094,0.4761664569377899,0.23032616078853607,0.21250206232070923,-0.4247530400753021,0.0
-5.665610313415527,-69.74166870117188,75.54956817626953,0.4126775860786438,0.21260876953601837,0.21250206232070923,-0.4247530400753021,0.0
-0.4774390757083893,-72.66212463378906,73.14009857177734,0.1587221473455429,0.17717397212982178,0.24791908264160156,-0.40705499053001404,0.017724372446537018
4.869878768920898,-75.36036682128906,70.38188934326172,-0.06348885595798492,0.17717397212982178,0.26562759280204773,-0.40705499053001404,0.017724372446537018
10.217196464538574,-78.02687072753906,67.46516418457031,-0.4126775860786438,0.14173917472362518,0.2833361029624939,-0.40705499053001404,0.017724372446537018
15.437196731567383,-80.37593078613281,64.35821533203125,-0.7618663311004639,0.10630438476800919,0.3010445833206177,-0.40705499053001404,0.0
20.498050689697266,-81.96312713623047,60.8391227722168,-0.920588493347168,0.08858698606491089,0.31875309348106384,-0.38935694098472595,0.0
25.590734481811523,-83.16940307617188,57.00299072265625,-0.9523329138755798,0.05315219238400459,0.33646160364151,-0.38935694098472595,0.0
30.556100845336914,-83.9947509765625,52.9449348449707,-0.730121910572052,0.0,0.3541701138019562,-0.37165889143943787,0.0
35.29866409301758,-84.28044891357422,48.63325119018555,-0.44442200660705566,0.0,0.3541701138019562,-0.3539608418941498,0.017724372446537018
39.882076263427734,-84.05823516845703,44.03623580932617,-0.06348885595798492,-0.035434793680906296,0.3895871341228485,-0.3539608418941498,0.0
44.43366241455078,-83.61382293701172,39.15388870239258,0.12697771191596985,-0.07086958736181259,0.4072956144809723,-0.3362628221511841,0.0
48.95341873168945,-83.13765716552734,34.271541595458984,0.22221100330352783,-0.07086958736181259,0.4072956144809723,-0.318564772605896,0.0
53.314029693603516,-82.59801483154297,29.4208984375,0.28569987416267395,-0.10630438476800919,0.4072956144809723,-0.3008667230606079,0.0
57.22903060913086,-81.70917510986328,24.506847381591797,0.09523329138755798,-0.12402178347110748,0.42500412464141846,-0.2831686735153198,0.0
60.857566833496094,-80.5029067993164,19.4976863861084,-0.22221100330352783,-0.15945658087730408,0.42500412464141846,-0.2654706537723541,-0.017724372446537018
64.2314682006836,-79.04267883300781,14.456820487976074,-0.44442200660705566,-0.17717397212982178,0.42500412464141846,-0.24777260422706604,0.0
67.382568359375,-77.2967529296875,9.542769432067871,-0.5713997483253479,-0.21260876953601837,0.42500412464141846,-0.21237652003765106,0.0
70.34268951416016,-75.20164489746094,4.470201015472412,-0.6031441688537598,-0.21260876953601837,0.42500412464141846,-0.19467847049236298,0.0
