220kV II母电压_Ua_5,220kV II母电压_Ub_6,220kV II母电压_Uc_7,220kV II母电压_3U0_8,220kV仁麦牵线265电流_Ia_29,220kV仁麦牵线265电流_Ib_30,220kV仁麦牵线265电流_Ic_31,220kV仁麦牵线265电流_3I0_32
62.0650634765625,17.010202407836914,-79.30708312988281,-0.272754430770874,-0.026169119402766228,-0.00349134998396039,-0.012233248911798,-0.015598788857460022
58.144100189208984,22.685466766357422,-81.03047180175781,-0.2571684718132019,-0.01919069141149521,-0.00349134998396039,-0.012233248911798,0.012132363393902779
53.981483459472656,27.963150024414062,-82.13780975341797,-0.30392637848854065,-0.026169119402766228,-0.00349134998396039,-0.012233248911798,-0.008666001260280609
49.68634796142578,32.897823333740234,-82.9176254272461,-0.26496145129203796,-0.026169119402766228,-0.00349134998396039,-0.019223669543862343,-0.015598788857460022
45.47696304321289,37.754539489746094,-83.51028442382812,-0.4364071190357208,-0.026169119402766228,0.00349134998396039,-0.019223669543862343,-0.0017332129646092653
41.32993698120117,42.15910720825195,-83.83780670166016,-0.3740632236003876,-0.026169119402766228,-0.00349134998396039,-0.012233248911798,-0.015598788857460022
37.13614273071289,46.56367492675781,-83.923583984375,-0.3117193579673767,-0.026169119402766228,-0.00349134998396039,-0.0052428292110562325,0.005199574865400791
32.607154846191406,50.976036071777344,-83.94697570800781,-0.272754430770874,-0.026169119402766228,-0.010474050417542458,-0.0052428292110562325,-0.008666001260280609
27.844310760498047,55.22468948364258,-83.24514770507812,-0.2961333990097046,-0.026169119402766228,-0.00349134998396039,-0.0052428292110562325,-0.015598788857460022
22.652734756469727,59.02119064331055,-81.93505859375,-0.22599653899669647,-0.01919069141149521,-0.010474050417542458,-0.0052428292110562325,-0.015598788857460022
17.422182083129883,62.482479095458984,-80.17267608642578,-0.22599653899669647,-0.026169119402766228,-0.00349134998396039,-0.0052428292110562325,-0.015598788857460022
12.25399112701416,65.46823120117188,-78.0125961303711,-0.30392637848854065,-0.026169119402766228,-0.010474050417542458,-0.012233248911798,-0.015598788857460022
7.1715474128723145,68.19672393798828,-75.62635803222656,-0.30392637848854065,-0.026169119402766228,-0.010474050417542458,-0.0052428292110562325,-0.015598788857460022
2.198235034942627,70.8316650390625,-73.25572967529297,-0.272754430770874,-0.026169119402766228,-0.00349134998396039,-0.0052428292110562325,-0.015598788857460022
-2.8296430110931396,73.38865661621094,-70.76811981201172,-0.2571684718132019,-0.03314754739403725,-0.010474050417542458,-0.0052428292110562325,-0.008666001260280609
-8.091376304626465,75.89107513427734,-67.91400146484375,-0.03896492347121239,-0.026169119402766228,-0.00349134998396039,-0.0052428292110562325,-0.008666001260280609
-13.55578327178955,78.00370788574219,-64.5530014038086,-3.999999886872274e-09,-0.026169119402766228,-0.00349134998396039,0.0017475909553468227,-0.0017332129646092653
-19.238454818725586,79.84349060058594,-60.77870178222656,-0.03896492347121239,-0.026169119402766228,-0.00349134998396039,-0.0052428292110562325,-0.0017332129646092653
-24.80419921875,81.41822052001953,-56.71587371826172,-0.03896492347121239,-0.026169119402766228,-0.010474050417542458,-0.0052428292110562325,-0.0017332129646092653
-30.159473419189453,82.57977294921875,-52.65304183959961,-0.1091017797589302,-0.012212264351546764,-0.017456749454140663,-0.0052428292110562325,-0.015598788857460022
-35.09381103515625,83.43730163574219,-48.559017181396484,-0.15585967898368835,-0.026169119402766228,-0.010474050417542458,-0.012233248911798,-0.008666001260280609
-39.692955017089844,84.02198028564453,-44.581966400146484,-0.03896492347121239,-0.026169119402766228,-0.00349134998396039,-0.0052428292110562325,-0.0017332129646092653
-43.92572784423828,84.17009735107422,-40.41775894165039,-0.06234387680888176,-0.01919069141149521,-0.010474050417542458,-0.0052428292110562325,-0.008666001260280609
-48.18967819213867,83.93622589111328,-35.91043472290039,-0.06234387680888176,-0.026169119402766228,-0.010474050417542458,0.008738011121749878,0.005199574865400791
