1-110kV Ⅰ段母线电压Ua_1,2-110kV Ⅰ段母线电压Ub_2,3-110kV Ⅰ段母线电压Uc_3,4-110kV Ⅰ段母线电压3Uo_4,21-110kV下海荒滇线线路电流Ia_21,22-110kV下海荒滇线线路电流Ib_22,23-110kV下海荒滇线线路电流Ic_23,24-110kV下海荒滇线线路电流3Io_24
9.8454008102417,67.63013458251953,-77.75397491455078,-0.41190043091773987,0.10612703114748001,0.2823280692100525,-0.35329025983810425,0.0
4.636866092681885,70.89285278320312,-75.69447326660156,-0.31684648990631104,0.10612703114748001,0.31761905550956726,-0.3886193037033081,0.0
-0.6987058520317078,73.80712890625,-73.38150024414062,-0.38021576404571533,0.035375677049160004,0.31761905550956726,-0.35329025983810425,-0.03540671989321709
-5.970759391784668,76.30960083007812,-70.43482971191406,-0.19010788202285767,0.0,0.3529100716114044,-0.3179612457752228,-0.03540671989321709
-11.115775108337402,78.30524444580078,-67.0445785522461,0.3485311269760132,0.0,0.31761905550956726,-0.3179612457752228,0.0
-16.356069564819336,80.39591979980469,-63.65433120727539,0.7604315280914307,-0.035375677049160004,0.3882010877132416,-0.3179612457752228,0.0
-21.50108528137207,82.1064682006836,-60.1373405456543,0.7921162247657776,-0.07075135409832001,0.3529100716114044,-0.3179612457752228,0.0
-26.582582473754883,83.12013244628906,-56.145084381103516,0.6020082831382751,-0.07075135409832001,0.3882010877132416,-0.24730318784713745,0.0
-31.568801879882812,83.69031524658203,-51.772613525390625,0.5069543719291687,-0.14150270819664001,0.3882010877132416,-0.2826322019100189,0.0
-36.6185417175293,84.1337890625,-47.273399353027344,0.5069543719291687,-0.10612703114748001,0.3529100716114044,-0.2826322019100189,0.0
-41.54124069213867,84.41888427734375,-42.77418899536133,0.15842324495315552,-0.14150270819664001,0.3882010877132416,-0.24730318784713745,0.0
-46.20986557006836,84.22882080078125,-38.14823913574219,-0.25347718596458435,-0.21225406229496002,0.3882010877132416,-0.2119741588830948,0.0
-50.433860778808594,83.56360626220703,-33.332183837890625,-0.38021576404571533,-0.21225406229496002,0.3882010877132416,-0.17664512991905212,0.0
-54.43553924560547,82.80335998535156,-28.389387130737305,-0.09505394101142883,-0.21225406229496002,0.3882010877132416,-0.14131610095500946,0.0
-58.46897888183594,82.01143646240234,-23.414907455444336,0.221792533993721,-0.24762974679470062,0.42349210381507874,-0.14131610095500946,0.0
-62.34362030029297,80.90274810791016,-18.440427780151367,0.15842324495315552,-0.28300541639328003,0.3882010877132416,-0.1059870794415474,0.0
-65.90066528320312,79.223876953125,-13.275840759277344,0.09505394101142883,-0.28300541639328003,0.3529100716114044,-0.07065805047750473,0.0
-68.94956970214844,77.1965560913086,-7.984515190124512,0.31684648990631104,-0.31838110089302063,0.3529100716114044,-0.035329025238752365,0.0
-71.90318298339844,75.01084899902344,-2.8199281692504883,0.443585067987442,-0.31838110089302063,0.31761905550956726,-0.035329025238752365,0.0
-74.76152801513672,72.60340881347656,2.249605417251587,0.031684648245573044,-0.35375678539276123,0.3529100716114044,0.0,0.0
-77.30227661132812,69.59410095214844,7.382508277893066,-0.6020082831382751,-0.35375678539276123,0.31761905550956726,0.0,0.0
-79.27135467529297,66.10964965820312,12.673833847045898,-0.8238008618354797,-0.38913246989250183,0.31761905550956726,0.07065805047750473,0.0
-81.04988098144531,62.720218658447266,17.838420867919922,-0.7287468910217285,-0.38913246989250183,0.2823280692100525,0.07065805047750473,0.0
-82.51081085205078,59.17240905761719,22.876270294189453,-0.7921162247657776,-0.38913246989250183,0.2823280692100525,0.1059870794415474,0.0
-83.59062957763672,55.11777114868164,27.882434844970703,-1.0139087438583374,-0.38913246989250183,0.24703705310821533,0.14131610095500946,0.0
-84.0987777709961,50.619651794433594,32.9836540222168,-0.8238008618354797,-0.42450812458992004,0.24703705310821533,0.17664512991905212,0.0
-84.22581481933594,46.08985900878906,38.02150344848633,-0.19010788202285767,-0.38913246989250183,0.24703705310821533,0.17664512991905212,0.0
-84.22581481933594,41.49671173095703,42.80587387084961,0.221792533993721,-0.42450812458992004,0.1764550358057022,0.2119741588830948,-0.03540671989321709
-83.97174072265625,36.77685546875,47.305084228515625,0.12673859298229218,-0.38913246989250183,0.1764550358057022,0.2119741588830948,-0.03540671989321709
-83.46359252929688,31.803586959838867,51.550819396972656,-0.06336929649114609,-0.42450812458992004,0.14116403460502625,0.2826322019100189,-0.03540671989321709
-82.44729614257812,26.79863929748535,55.63813018798828,0.06336929649114609,-0.38913246989250183,0.14116403460502625,0.2826322019100189,0.0
-81.39923858642578,21.825368881225586,59.535335540771484,0.06336929649114609,-0.38913246989250183,0.10587302595376968,0.2826322019100189,0.0
-80.25589752197266,16.88377571105957,63.17906188964844,-0.2851618230342865,-0.42450812458992004,0.10587302595376968,0.2826322019100189,0.0
-78.69969177246094,11.68876838684082,66.5693130493164,-0.7287468910217285,-0.35375678539276123,0.03529100865125656,0.3179612457752228,0.03540671989321709
-76.60356903076172,6.303699016571045,69.83282470703125,-0.6653776168823242,-0.35375678539276123,0.03529100865125656,0.35329025983810425,0.0
-74.22161865234375,1.2037214040756226,72.87454223632812,-0.15842324495315552,-0.35375678539276123,0.03529100865125656,0.35329025983810425,0.0
-71.5855941772461,-3.832902431488037,75.4726791381836,0.15842324495315552,-0.35375678539276123,-0.03529100865125656,0.35329025983810425,0.0
-68.47317504882812,-9.091264724731445,77.62723541259766,0.19010788202285767,-0.38913246989250183,-0.03529100865125656,0.3886193037033081,0.0
