1-220kVⅠ段母线电压Ua_1,2-220kVⅠ段母线电压Ub_2,3-220kVⅠ段母线电压Uc_3,4-220kVⅠ段母线电压3Uo_4,5-220kV大盐线路电流Ia_5,6-220kV大盐线路电流Ib_6,7-220kV大盐线路电流Ic_7,8-220kV大盐线路电流3Io_8
-66.0838851928711,-13.056634902954102,78.4039535522461,0.18702539801597595,0.20741690695285797,-0.10379723459482193,-0.10375993698835373,0.034618277102708817
-62.779693603515625,-18.385238647460938,79.93151092529297,-0.218196302652359,0.20741690695285797,-0.10379723459482193,-0.10375993698835373,0.034618277102708817
-58.75855255126953,-23.558032989501953,81.24083709716797,-0.1558545082807541,0.20741690695285797,-0.10379723459482193,-0.1383465826511383,0.0
-54.58155059814453,-28.543861389160156,82.67486572265625,0.40522170066833496,0.20741690695285797,-0.10379723459482193,-0.1383465826511383,0.034618277102708817
-50.09283447265625,-33.43620300292969,83.70362854003906,1.0598106384277344,0.20741690695285797,-0.06919815391302109,-0.1383465826511383,0.034618277102708817
-45.60411834716797,-38.23506164550781,84.5765151977539,1.683228611946106,0.20741690695285797,-0.06919815391302109,-0.17293322086334229,0.034618277102708817
-40.89719772338867,-42.846954345703125,84.82591247558594,2.026108503341675,0.20741690695285797,-0.034599076956510544,-0.17293322086334229,0.0
-36.034423828125,-47.2407112121582,84.6076889038086,2.057279348373413,0.20741690695285797,-0.034599076956510544,-0.17293322086334229,0.034618277102708817
-31.046958923339844,-51.66563415527344,83.8594970703125,1.4338613748550415,0.20741690695285797,-0.06919815391302109,-0.17293322086334229,0.0
-26.028324127197266,-56.02823257446289,82.70603942871094,0.5922471284866333,0.20741690695285797,-0.034599076956510544,-0.17293322086334229,0.0
-20.88500213623047,-60.20386505126953,81.39671325683594,0.0,0.1728474199771881,-0.034599076956510544,-0.17293322086334229,0.0
-15.523479461669922,-64.00555419921875,79.68211364746094,-0.34287992119789124,0.1728474199771881,0.0,-0.20751987397670746,0.0
-10.348986625671387,-67.40215301513672,77.96751403808594,-0.18702539801597595,0.1728474199771881,0.0,-0.20751987397670746,0.0
-5.112149715423584,-70.51829528808594,76.0035171508789,0.18702539801597595,0.13827793300151825,0.034599076956510544,-0.20751987397670746,0.0
0.0623432919383049,-73.29166412353516,73.85247039794922,0.5922471284866333,0.13827793300151825,0.034599076956510544,-0.20751987397670746,0.034618277102708817
5.143321514129639,-75.87805938720703,71.42086029052734,0.7169306874275208,0.13827793300151825,0.034599076956510544,-0.20751987397670746,0.034618277102708817
10.13078498840332,-77.99703216552734,68.4281005859375,0.5299053192138672,0.13827793300151825,0.06919815391302109,-0.20751987397670746,0.034618277102708817
15.118247985839844,-79.77323913574219,65.03008270263672,0.18702539801597595,0.10370845347642899,0.06919815391302109,-0.20751987397670746,0.034618277102708817
20.043367385864258,-81.42478942871094,61.35148620605469,-0.3740507960319519,0.10370845347642899,0.06919815391302109,-0.20751987397670746,0.034618277102708817
25.062002182006836,-82.64008331298828,57.32997131347656,-0.7792724967002869,0.06913896650075912,0.10379723459482193,-0.20751987397670746,0.034618277102708817
30.04946517944336,-83.4814453125,52.96553421020508,-1.1221524477005005,0.06913896650075912,0.10379723459482193,-0.17293322086334229,0.0
35.13044357299805,-84.0735092163086,48.56992721557617,-0.9351270198822021,0.06913896650075912,0.10379723459482193,-0.20751987397670746,0.0
39.993221282958984,-84.50977325439453,44.299015045166016,-0.6234180331230164,0.06913896650075912,0.13839630782604218,-0.20751987397670746,0.0
44.762481689453125,-84.44744873046875,39.65400695800781,-0.18702539801597595,0.06913896650075912,0.17299538850784302,-0.20751987397670746,0.0
49.40705871582031,-84.13583374023438,35.009002685546875,0.2805381119251251,0.03456948325037956,0.17299538850784302,-0.20751987397670746,0.0
53.833431243896484,-83.51260375976562,30.02107810974121,0.4675635099411011,0.03456948325037956,0.13839630782604218,-0.20751987397670746,0.034618277102708817
57.9792594909668,-82.76473236083984,25.033151626586914,0.3740507960319519,0.0,0.17299538850784302,-0.20751987397670746,0.0
61.75102996826172,-81.4559555053711,19.671131134033203,-0.1558545082807541,0.0,0.17299538850784302,-0.20751987397670746,0.0
65.33576965332031,-79.74207305908203,14.153239250183105,-0.5299053192138672,0.0,0.17299538850784302,-0.17293322086334229,0.034618277102708817
68.51527404785156,-77.74774169921875,8.884742736816406,-0.6857598423957825,-0.03456948325037956,0.17299538850784302,-0.1383465826511383,0.0
71.53892517089844,-75.62876892089844,3.834467887878418,-0.5922471284866333,-0.03456948325037956,0.17299538850784302,-0.17293322086334229,0.0
74.21968841552734,-72.98004913330078,-1.2781559228897095,-0.24936720728874207,-0.06913896650075912,0.17299538850784302,-0.1383465826511383,0.0
76.37052917480469,-70.23783874511719,-6.515477657318115,-0.062341801822185516,-0.06913896650075912,0.17299538850784302,-0.1383465826511383,0.0
78.02262878417969,-67.18402099609375,-11.690450668334961,0.18702539801597595,-0.06913896650075912,0.17299538850784302,-0.10375993698835373,0.0
79.61238098144531,-63.974395751953125,-16.80307388305664,0.062341801822185516,-0.10370845347642899,0.17299538850784302,-0.10375993698835373,0.0
81.01510620117188,-60.32851028442383,-21.822174072265625,-0.12468360364437103,-0.10370845347642899,0.17299538850784302,-0.10375993698835373,0.034618277102708817
82.38665771484375,-56.43333053588867,-26.7789249420166,-0.062341801822185516,-0.10370845347642899,0.17299538850784302,-0.06917329132556915,0.0
83.57118225097656,-52.28886413574219,-31.610979080200195,0.3117090165615082,-0.13827793300151825,0.17299538850784302,-0.06917329132556915,0.0
