1-220kVⅠ段母线电压Ua_1,2-220kVⅠ段母线电压Ub_2,3-220kVⅠ段母线电压Uc_3,4-220kVⅠ段母线电压3Uo_4,21-220kV云普临时线路电流Ia_21,22-220kV云普临时线路电流Ib_22,23-220kV云普临时线路电流Ic_23,24-220kV云普临时线路电流3Io_24
-50.782447814941406,-33.377647399902344,84.54448699951172,0.7923671007156372,0.11516927182674408,0.17986151576042175,-0.2948126196861267,0.0
-46.39698028564453,-38.25908660888672,84.8931884765625,0.4754202663898468,0.10077311098575592,0.1942504346370697,-0.2948126196861267,0.0
-41.789058685302734,-42.50657653808594,84.57618713378906,0.4754202663898468,0.08637695759534836,0.20863935351371765,-0.2876220643520355,0.0
-37.14936065673828,-47.229530334472656,84.41768646240234,0.190168097615242,0.06478271633386612,0.2230282723903656,-0.28043150901794434,-0.007208549417555332
-32.414329528808594,-51.63550567626953,84.03727722167969,-0.0633893683552742,0.04318847879767418,0.23022273182868958,-0.27324095368385315,0.0
-27.52039909362793,-55.53431701660156,82.95947265625,-0.1267787367105484,0.02879231795668602,0.24461165070533752,-0.26605039834976196,0.007208549417555332
-22.404020309448242,-59.55992126464844,81.88166809082031,-0.095084048807621,0.01439615897834301,0.2518061101436615,-0.26605039834976196,-0.007208549417555332
-17.096969604492188,-63.617225646972656,80.77215576171875,0.190168097615242,-0.01439615897834301,0.26619502902030945,-0.2516692876815796,-0.007208549417555332
-11.440350532531738,-67.32585144042969,79.02864837646484,0.4754202663898468,-0.02159423939883709,0.26619502902030945,-0.2372881919145584,0.0
-6.133299350738525,-70.68580627441406,77.063232421875,0.4120309054851532,-0.05038655549287796,0.2805839478969574,-0.23009765148162842,0.0
-1.1122562885284424,-73.6653823852539,74.87591552734375,0.190168097615242,-0.0719807967543602,0.28777840733528137,-0.22290709614753723,-0.007208549417555332
4.290131568908691,-76.45478057861328,72.14969635009766,-0.0316946841776371,-0.08637695759534836,0.28777840733528137,-0.20852598547935486,0.0
9.406510353088379,-78.89550018310547,69.2332763671875,-0.3486415147781372,-0.10077311098575592,0.29497286677360535,-0.19414488971233368,-0.007208549417555332
14.20510196685791,-80.25849914550781,65.71455383300781,-0.5071149468421936,-0.11516927182674408,0.29497286677360535,-0.1725732386112213,-0.007208549417555332
19.353260040283203,-82.06526947021484,62.100730895996094,-0.9191458225250244,-0.13676351308822632,0.28777840733528137,-0.15819212794303894,0.0
24.72386932373047,-83.71354675292969,58.360103607177734,-0.9508405327796936,-0.15115967392921448,0.29497286677360535,-0.14381103217601776,0.0
29.681354522705078,-84.47428894042969,54.365875244140625,-0.7923671007156372,-0.16555583477020264,0.29497286677360535,-0.1222393736243248,-0.007208549417555332
34.76595687866211,-84.82296752929688,49.83274459838867,-0.3486415147781372,-0.18715006113052368,0.29497286677360535,-0.11504882574081421,0.0
39.5009880065918,-85.04484558105469,45.363014221191406,-0.3169468343257904,-0.20154622197151184,0.29497286677360535,-0.10066772252321243,-0.007208549417555332
43.854679107666016,-84.63278198242188,40.70308303833008,0.0316946841776371,-0.2159423828125,0.28777840733528137,-0.07190551608800888,-0.007208549417555332
48.6850471496582,-84.72787475585938,35.94804763793945,-0.0316946841776371,-0.22314046323299408,0.2733894884586334,-0.057524412870407104,-0.007208549417555332
53.0069580078125,-84.18901062011719,31.06621551513672,-0.1584734171628952,-0.23753662407398224,0.2733894884586334,-0.04314330965280533,-0.007208549417555332
56.693294525146484,-82.92110443115234,25.994178771972656,-0.2852521538734436,-0.24473470449447632,0.26619502902030945,-0.014381103217601776,-0.007208549417555332
60.9516487121582,-81.748291015625,20.573442459106445,-0.2535574734210968,-0.2519327700138092,0.2590005695819855,-0.007190551608800888,0.0
64.987548828125,-80.29019927978516,15.216105461120605,-0.095084048807621,-0.26632893085479736,0.24461165070533752,0.014381103217601776,-0.007208549417555332
68.6103286743164,-78.19815063476562,9.668566703796387,0.2852521538734436,-0.26632893085479736,0.23741719126701355,0.021571654826402664,-0.007208549417555332
71.78820037841797,-76.23289489746094,4.311229705810547,-0.0633893683552742,-0.2807250916957855,0.23022273182868958,0.050333861261606216,-0.007208549417555332
74.71184539794922,-73.8555679321289,-0.887606143951416,0.0633893683552742,-0.2879231870174408,0.20863935351371765,0.0647149607539177,-0.007208549417555332
77.254150390625,-70.81259155273438,-6.181542873382568,0.5071149468421936,-0.2951212525367737,0.20144489407539368,0.08628661930561066,-0.007208549417555332
79.1926498413086,-67.67452239990234,-11.158476829528809,0.7923671007156372,-0.2879231870174408,0.18705597519874573,0.10785827040672302,0.0
80.6862564086914,-64.28287506103516,-16.008609771728516,0.760672390460968,-0.2879231870174408,0.17266705632209778,0.1222393736243248,-0.007208549417555332
82.43408203125,-60.82782745361328,-21.239147186279297,0.7289777398109436,-0.2951212525367737,0.15827812254428864,0.13662047684192657,-0.007208549417555332
83.70523071289062,-56.897315979003906,-26.311182022094727,0.982535183429718,-0.2951212525367737,0.14388920366764069,0.15819212794303894,-0.007208549417555332
84.49970245361328,-52.64982986450195,-31.25641632080078,1.0459245443344116,-0.2951212525367737,0.12230582535266876,0.1725732386112213,-0.007208549417555332
84.81748962402344,-48.212154388427734,-36.138248443603516,0.9191458225250244,-0.2951212525367737,0.10791690647602081,0.1797637790441513,-0.007208549417555332
84.81748962402344,-43.7427864074707,-40.766483306884766,0.66558837890625,-0.2951212525367737,0.08633352816104889,0.20133544504642487,-0.007208549417555332
84.49970245361328,-38.89303970336914,-45.267913818359375,0.5705043077468872,-0.2879231870174408,0.057555682957172394,0.20852598547935486,-0.007208549417555332
