第二组母线_5,第二组母线_6,第二组母线_7,第二组母线_8,220KV朝潞II回线_33,220KV朝潞II回线_34,220KV朝潞II回线_35,220KV朝潞II回线_36
-67.18061065673828,-9.40349006652832,76.10663604736328,-0.22836799919605255,-0.7678899765014648,-0.026151999831199646,0.7704929709434509,0.017436999827623367
-63.993343353271484,-14.560763359069824,78.19798278808594,0.00788199994713068,-0.7329859733581543,-0.0784360021352768,0.7879049777984619,9.000000318337698e-06
-60.477108001708984,-19.723459243774414,79.96424865722656,0.27563199400901794,-0.6806300282478333,-0.13072000443935394,0.8227289915084839,9.000000318337698e-06
-56.540218353271484,-24.859039306640625,81.36209869384766,0.4882569909095764,-0.663178026676178,-0.20043200254440308,0.8227289915084839,9.000000318337698e-06
-52.59254455566406,-29.83735466003418,82.52154541015625,0.5906320214271545,-0.6108220219612122,-0.21785999834537506,0.8575530052185059,9.000000318337698e-06
-48.36982345581055,-34.83736038208008,83.3179931640625,0.81113201379776,-0.5933700203895569,-0.270143985748291,0.8923770189285278,0.017436999827623367
-43.87206268310547,-39.71805953979492,83.68641662597656,0.8190069794654846,-0.5584660172462463,-0.33985599875450134,0.8923770189285278,0.017436999827623367
-39.14240264892578,-44.51741409301758,83.64849090576172,0.5512570142745972,-0.5235620141029358,-0.3747119903564453,0.927200973033905,9.000000318337698e-06
-34.28330612182617,-49.094425201416016,83.27465057373047,0.44100698828697205,-0.47120600938796997,-0.42699599266052246,0.9097890257835388,9.000000318337698e-06
-29.3001766204834,-53.362327575683594,82.52154541015625,0.3071320056915283,-0.41885000467300415,-0.4792799949645996,0.8923770189285278,9.000000318337698e-06
-24.46265411376953,-57.37534713745117,81.5246353149414,0.04725699871778488,-0.3839460015296936,-0.514136016368866,0.8923770189285278,0.017436999827623367
-19.60895538330078,-60.94368362426758,80.1430435180664,-0.1338679939508438,-0.3141379952430725,-0.5664200186729431,0.8923770189285278,0.017436999827623367
-14.68514633178711,-64.34932708740234,78.57182312011719,-0.22049300372600555,-0.2443300038576126,-0.6187040209770203,0.8923770189285278,9.000000318337698e-06
-9.933913230895996,-67.38078308105469,76.80555725097656,-0.2756179869174957,-0.22687800228595734,-0.6535599827766418,0.8749650120735168,0.03486499935388565
-4.875278949737549,-70.23870086669922,74.61668395996094,-0.23624299466609955,-0.17452199757099152,-0.705843985080719,0.8401409983634949,0.017436999827623367
0.21031999588012695,-73.00985717773438,72.3031997680664,-0.22049300372600555,-0.12216600030660629,-0.7407000064849854,0.8227289915084839,0.017436999827623367
5.463101863861084,-75.5640869140625,69.626708984375,-0.26774299144744873,-0.08726199716329575,-0.7581279873847961,0.8053169846534729,9.000000318337698e-06
10.780599594116211,-77.84717559814453,66.5276107788086,-0.3228679895401001,-0.03490599989891052,-0.7755560278892517,0.7879049777984619,0.017436999827623367
16.130456924438477,-79.85368347167969,63.19554138183594,-0.37799298763275146,0.034901998937129974,-0.7755560278892517,0.7530810236930847,9.000000318337698e-06
21.38863182067871,-81.46431732177734,59.49504852294922,-0.5906180143356323,0.10470999777317047,-0.8278399705886841,0.7182570099830627,9.000000318337698e-06
26.479623794555664,-82.81464385986328,55.474891662597656,-0.8426179885864258,0.13961400091648102,-0.8452680110931396,0.6834329962730408,9.000000318337698e-06
31.565221786499023,-83.75282287597656,51.275943756103516,-0.9843680262565613,0.2094220072031021,-0.8975520133972168,0.6486089825630188,0.017436999827623367
36.515995025634766,-84.25173950195312,46.83318328857422,-1.0316179990768433,0.24432599544525146,-0.8975520133972168,0.6137850284576416,9.000000318337698e-06
41.28879928588867,-84.34392547607422,42.217044830322266,-1.0946179628372192,0.279229998588562,-0.8975520133972168,0.5441370010375977,9.000000318337698e-06
45.9483528137207,-84.197509765625,37.40044403076172,-1.047368049621582,0.33158600330352783,-0.8975520133972168,0.5267249941825867,9.000000318337698e-06
50.44611358642578,-83.62808990478516,32.540496826171875,-0.6929929852485657,0.38394200801849365,-0.8975520133972168,0.4744890034198761,9.000000318337698e-06
54.566368103027344,-82.81464385986328,27.788911819458008,-0.22049300372600555,0.45375001430511475,-0.8801239728927612,0.40484100580215454,9.000000318337698e-06
58.40079116821289,-81.68666076660156,22.96689224243164,0.01575700007379055,0.47120198607444763,-0.8975520133972168,0.37001699209213257,9.000000318337698e-06
61.94938278198242,-80.2549819946289,18.204469680786133,0.22838200628757477,0.5584620237350464,-0.8626959919929504,0.300368994474411,9.000000318337698e-06
65.14203643798828,-78.59012603759766,13.550408363342285,0.41738200187683105,0.5759140253067017,-0.8975520133972168,0.2655450105667114,9.000000318337698e-06
68.04886627197266,-76.68665313720703,8.70671558380127,0.5118820071220398,0.5933660268783569,-0.8626959919929504,0.17848500609397888,9.000000318337698e-06
70.89097595214844,-74.45779418945312,3.640886068344116,0.44100698828697205,0.6282699704170227,-0.8278399705886841,0.1436610072851181,9.000000318337698e-06
73.6036605834961,-72.09336853027344,-1.5658119916915894,0.2992570102214813,0.6631739735603333,-0.7929840087890625,0.09142500162124634,9.000000318337698e-06
76.08982849121094,-69.1974868774414,-6.9025421142578125,0.3780069947242737,0.6980779767036438,-0.7755560278892517,0.021777000278234482,9.000000318337698e-06
78.32792663574219,-66.01960754394531,-12.266362190246582,0.3701319992542267,0.7155299782752991,-0.7581279873847961,-0.013047000393271446,9.000000318337698e-06
80.34490966796875,-62.45669937133789,-17.673526763916016,0.4961319863796234,0.7329819798469543,-0.705843985080719,-0.08269499987363815,9.000000318337698e-06
