第一组母线_1,第一组母线_2,第一组母线_3,第一组母线_4,220KV朝潞I回线_37,220KV朝潞I回线_38,220KV朝潞I回线_39,220KV朝潞I回线_40
-42.18537521362305,84.75333404541016,-42.46167755126953,0.8338990211486816,-0.7334830164909363,1.1982059478759766,-0.49794501066207886,-0.021751999855041504
-47.0219841003418,84.54375457763672,-37.472862243652344,0.6450909972190857,-0.8033390045166016,1.1807140111923218,-0.4105849862098694,-0.021751999855041504
-51.5994873046875,83.91499328613281,-32.413780212402344,0.43268200755119324,-0.8382670283317566,1.1632219552993774,-0.35816898941993713,-0.021751999855041504
-55.885498046875,82.98529052734375,-27.27362632751465,0.2281399965286255,-0.9081230163574219,1.1282379627227783,-0.28828099370002747,-0.021751999855041504
-59.863826751708984,81.7009048461914,-22.079421997070312,0.1573369950056076,-0.9430509805679321,1.1282379627227783,-0.2183929979801178,0.013055999763309956
-63.37792205810547,80.07258605957031,-16.977102279663086,-0.015737000852823257,-0.960515022277832,1.0932539701461792,-0.1310330033302307,-0.021751999855041504
-66.49797058105469,78.22930145263672,-12.058551788330078,-0.11014100164175034,-0.9779790043830872,1.05826997756958,-0.07861699908971786,-0.021751999855041504
-69.3103256225586,76.22480010986328,-7.215672016143799,-0.11800800263881683,-1.0303709506988525,1.023285984992981,-0.026201000437140465,-0.021751999855041504
-71.9553451538086,73.92472839355469,-2.367387056350708,-0.19667799770832062,-1.0652990341186523,0.9708099961280823,0.06115899980068207,-0.021751999855041504
-74.2818832397461,71.32908630371094,2.5403530597686768,-0.2596139907836914,-1.0827629566192627,0.9358260035514832,0.14851899445056915,-0.039156001061201096
-76.56523895263672,68.56684875488281,7.410257816314697,-0.582161009311676,-1.1176910400390625,0.8833500146865845,0.21840700507164001,-0.021751999855041504
-78.5678939819336,65.54666137695312,12.328807830810547,-0.7552350163459778,-1.1526190042495728,0.8308740258216858,0.27082300186157227,-0.021751999855041504
-80.37622833251953,62.177162170410156,17.398698806762695,-1.0305800437927246,-1.187546968460083,0.7609059810638428,0.35818299651145935,-0.021751999855041504
-81.844482421875,58.35625076293945,22.54425811767578,-1.2665899991989136,-1.1700830459594727,0.6909379959106445,0.428070992231369,-0.039156001061201096
-83.07522583007812,54.4493522644043,27.624958038330078,-1.4396640062332153,-1.1700830459594727,0.6384620070457458,0.4979589879512787,-0.021751999855041504
-83.92810821533203,50.150150299072266,32.73268127441406,-1.4711320400238037,-1.187546968460083,0.551002025604248,0.5678470134735107,-0.039156001061201096
-84.34915161132812,45.53926086425781,37.79716873168945,-1.4632649421691895,-1.187546968460083,0.498526006937027,0.6552069783210754,-0.021751999855041504
-84.34375762939453,40.75102615356445,42.67788314819336,-1.2272549867630005,-1.1700830459594727,0.42855799198150635,0.7076230049133301,-0.021751999855041504
-83.98748779296875,35.8983039855957,47.43428421020508,-0.8260380029678345,-1.1700830459594727,0.34109801054000854,0.7775110006332397,-0.021751999855041504
-83.3829116821289,30.927352905273438,51.990699768066406,-0.582161009311676,-1.1526190042495728,0.2361460030078888,0.8473989963531494,-0.021751999855041504
-82.49224090576172,25.854297637939453,56.22821807861328,-0.3461509943008423,-1.1351549625396729,0.20116199553012848,0.899815022945404,-0.039156001061201096
-81.14273834228516,20.754371643066406,60.10360336303711,-0.2045450061559677,-1.1176910400390625,0.11370199918746948,0.9347590208053589,-0.021751999855041504
-79.4693603515625,15.681315422058105,63.58442306518555,-0.2124119997024536,-1.0827629566192627,0.043733999133110046,0.9871749877929688,-0.021751999855041504
-77.56926727294922,10.624381065368652,66.63824462890625,-0.19667799770832062,-1.0478349924087524,-0.04372600093483925,1.0395909547805786,-0.039156001061201096
-75.41546630859375,5.588943004608154,69.50289916992188,-0.3697519898414612,-0.9954429864883423,-0.07870999723672867,1.0745350122451782,-0.021751999855041504
-72.93238067626953,0.49439099431037903,72.14054107666016,-0.3225499987602234,-0.960515022277832,-0.18366199731826782,1.1094789505004883,-0.021751999855041504
-70.13082122802734,-4.584039211273193,74.51873779296875,-0.2360129952430725,-0.925586998462677,-0.271122008562088,1.144423007965088,-0.021751999855041504
-67.15652465820312,-9.678590774536133,76.7509994506836,-0.09440699964761734,-0.8731949925422668,-0.3235979974269867,1.179366946220398,-0.021751999855041504
-63.98789596557617,-14.82150936126709,78.78868865966797,0.1809380054473877,-0.8033390045166016,-0.3760739862918854,1.1968389749526978,-0.039156001061201096
-60.33345031738281,-19.942930221557617,80.55612182617188,0.5585539937019348,-0.7509469985961914,-0.4810259938240051,1.1968389749526978,-0.021751999855041504
-56.484676361083984,-25.042856216430664,82.08573913574219,0.8102980256080627,-0.663627028465271,-0.5509939789772034,1.2143110036849976,-0.021751999855041504
-52.39299392700195,-30.218019485473633,83.19916534423828,0.9833719730377197,-0.6112350225448608,-0.6209620237350464,1.2143110036849976,-0.021751999855041504
-48.07459259033203,-35.27495193481445,83.97748565673828,1.0384409427642822,-0.5413789749145508,-0.6909300088882446,1.1968389749526978,-0.004348000045865774
-43.35674285888672,-40.27814865112305,84.32341003417969,0.9912390112876892,-0.45405900478363037,-0.7434059977531433,1.2143110036849976,-0.021751999855041504
-38.49854278564453,-45.1308708190918,84.2423324584961,0.7788299918174744,-0.3842029869556427,-0.795881986618042,1.1968389749526978,-0.021751999855041504
-33.56476974487305,-49.80624771118164,83.80452728271484,0.42481499910354614,-0.33181101083755493,-0.8658499717712402,1.1968389749526978,-0.021751999855041504
