220kVIII母_1,220kVIII母_2,220kVIII母_3,220kVIII母_4,220kV龙嵩I回_13,220kV龙嵩I回_14,220kV龙嵩I回_15,220kV龙嵩I回_16
44.436927795410156,40.054439544677734,-84.83892822265625,-0.4235920011997223,0.03278400003910065,0.009496999904513359,-0.045462001115083694,0.001740999985486269
40.59610366821289,44.30738830566406,-85.03336334228516,-0.23533600568771362,0.03192099928855896,0.011225000023841858,-0.04631999880075455,-0.002604000037536025
35.24272155761719,48.9980583190918,-84.45545959472656,-0.24318000674247742,0.03192099928855896,0.014681000262498856,-0.04803600162267685,0.004348000045865774
30.575395584106445,54.094032287597656,-84.828125,-0.11767599731683731,0.024153999984264374,0.016409000381827354,-0.0471780002117157,-0.004342000000178814
25.06535530090332,58.31455612182617,-83.42926788330078,-1.5999999959603883e-05,0.02501700073480606,0.018137000501155853,-0.04803600162267685,0.003478999948129058
19.890239715576172,62.20543670654297,-82.34906768798828,-0.24318000674247742,0.02501700073480606,0.02159300073981285,-0.04803600162267685,0.003478999948129058
15.185096740722656,65.59915161132812,-80.82598876953125,0.015672000125050545,0.019838999956846237,0.02936900034546852,-0.04803600162267685,0.0008720000041648746
9.518399238586426,69.3873519897461,-79.12467193603516,-0.21964800357818604,0.011208999902009964,0.030232999473810196,-0.04803600162267685,-0.0008660000166855752
4.640392780303955,72.57571411132812,-77.13710021972656,0.2588360011577606,0.011208999902009964,0.03109700046479702,-0.050609998404979706,0.0008720000041648746
-1.2207770347595215,75.33174896240234,-74.17735290527344,-0.03139200061559677,0.00948300026357174,0.03541700169444084,-0.045462001115083694,-0.0017350000562146306
-5.677426815032959,77.06643676757812,-71.34722900390625,0.3059000074863434,0.004304999951273203,0.041464999318122864,-0.04803600162267685,0.001740999985486269
-11.6088228225708,79.83328247070312,-68.22005462646484,0.08626800030469894,0.004304999951273203,0.04492099955677986,-0.04374599829316139,-0.0008660000166855752
-16.416603088378906,81.60579681396484,-65.17929077148438,0.24314799904823303,-0.002598999999463558,0.04060100018978119,-0.04460399970412254,0.001740999985486269
-21.672748565673828,83.08108520507812,-61.25276184082031,0.2509920001029968,-0.006914000026881695,0.04319300130009651,-0.045462001115083694,0.001740999985486269
-26.68580436706543,84.68607330322266,-58.03376770019531,0.07057999819517136,-0.007776999846100807,0.045784998685121536,-0.04374599829316139,-0.004342000000178814
-31.650243759155273,84.90223693847656,-53.108055114746094,0.4392479956150055,-0.005187999922782183,0.04319300130009651,-0.03773999959230423,0.005216999910771847
-37.003623962402344,86.06409454345703,-49.07891082763672,0.10980000346899033,-0.010366000235080719,0.04405700042843819,-0.03344999998807907,0.0008720000041648746
-41.227989196777344,85.83712768554688,-44.423248291015625,0.4627799987792969,-0.014681000262498856,0.05269699916243553,-0.03259199857711792,-0.0008660000166855752
-46.17081832885742,85.79930114746094,-39.64336013793945,0.015672000125050545,-0.015544000081717968,0.047513000667095184,-0.03430800139904022,-0.002604000037536025
-50.21151351928711,85.24269104003906,-34.84727478027344,0.4549359977245331,-0.018132999539375305,0.05442500114440918,-0.024870000779628754,0.003478999948129058
-55.61891555786133,85.4210205078125,-29.748729705810547,0.2666800022125244,-0.025036999955773354,0.05010500177741051,-0.021438000723719597,0.001740999985486269
-59.10860824584961,84.24835205078125,-25.03365707397461,0.38433998823165894,-0.02331100031733513,0.045784998685121536,-0.024011999368667603,0.001740999985486269
-63.41940689086914,82.96219635009766,-19.557043075561523,-1.5999999959603883e-05,-0.02331100031733513,0.053560998290777206,-0.024011999368667603,0.004348000045865774
-66.6281967163086,81.4112548828125,-14.847371101379395,-0.007860000245273113,-0.031077999621629715,0.05442500114440918,-0.019721999764442444,0.001740999985486269
-70.17190551757812,79.08753204345703,-8.879265785217285,0.09411200135946274,-0.0319410003721714,0.05269699916243553,-0.018864000216126442,0.001740999985486269
-73.2780532836914,77.43390655517578,-4.169593811035156,-0.04707999899983406,-0.031077999621629715,0.05442500114440918,-0.014573999680578709,0.001740999985486269
-75.47126770019531,73.96453857421875,1.5122580528259277,0.09411200135946274,-0.02935199998319149,0.05096900090575218,-0.012000000104308128,0.004348000045865774
-77.89676666259766,71.24633026123047,6.351553916931152,-0.3765279948711395,-0.037119001150131226,0.05183300003409386,-0.011141999624669552,0.005216999910771847
-79.99274444580078,67.85801696777344,12.049609184265137,0.015672000125050545,-0.037981998175382614,0.04319300130009651,-0.006852000020444393,0.006955000106245279
-82.3966293334961,65.09117126464844,16.996925354003906,-0.4314360022544861,-0.04315999895334244,0.04664900153875351,-0.005135999992489815,0.0026100000832229853
-83.14210510253906,61.08140563964844,21.917236328125,-0.1333640068769455,-0.04315999895334244,0.04232899844646454,0.0008699999889358878,-0.0008660000166855752
-84.60604858398438,57.21213912963867,27.11299705505371,-0.49418801069259644,-0.0457490012049675,0.04232899844646454,0.005160000175237656,0.0008720000041648746
-84.7356948852539,52.553890228271484,32.00630569458008,-0.17258399724960327,-0.044022999703884125,0.041464999318122864,0.006018000189214945,0.0008720000041648746
-85.5676040649414,48.21988296508789,37.1264533996582,-0.2824000120162964,-0.04833799973130226,0.04492099955677986,0.007734000217169523,0.001740999985486269
-85.50818634033203,43.86966323852539,41.398643493652344,-0.2824000120162964,-0.044022999703884125,0.03541700169444084,0.006876000203192234,3.000000106112566e-06
-85.22727966308594,38.63318634033203,46.44317626953125,-0.2510240077972412,-0.050064001232385635,0.03714499995112419,0.01459799986332655,0.004348000045865774
-85.32451629638672,34.00196075439453,50.93680953979492,-0.4000599980354309,-0.0526529997587204,0.03455299884080887,0.01202400028705597,0.003478999948129058
