17-110kVⅡ段母线电压Ua_17,18-110kVⅡ段母线电压Ub_18,19-110kVⅡ段母线电压Uc_19,20-110kVⅡ段母线电压3Uo_20,37-110kV樟兴II回线路电流Ia_37,38-110kV樟兴II回线路电流Ib_38,39-110kV樟兴II回线路电流Ic_39,40-110kV樟兴II回线路电流3Io_40
0.793412983417511,-74.26569366455078,73.71515655517578,0.47488605976104736,0.14120739698410034,-0.07057324796915054,-0.0353066511452198,-0.0352664589881897
5.966465473175049,-76.79820251464844,70.92987060546875,0.18995441496372223,0.14120739698410034,-0.07057324796915054,-0.0706133022904396,0.0
10.853889465332031,-79.0457992553711,67.95467376708984,-0.18995441496372223,0.14120739698410034,-0.03528662398457527,-0.10591994971036911,-0.0352664589881897
15.836523056030273,-80.78689575195312,64.66297149658203,-0.5065451264381409,0.14120739698410034,-0.03528662398457527,-0.10591994971036911,-0.0352664589881897
20.819156646728516,-82.306396484375,61.08641052246094,-0.6648404598236084,0.14120739698410034,-0.07057324796915054,-0.10591994971036911,0.0
25.928735733032227,-83.60430145263672,57.130035400390625,-0.9497721195220947,0.10590554773807526,-0.03528662398457527,-0.10591994971036911,-0.0352664589881897
30.974842071533203,-84.36405944824219,53.01540756225586,-0.6331813931465149,0.14120739698410034,-0.03528662398457527,-0.10591994971036911,0.0
35.76705551147461,-84.74393463134766,48.710872650146484,-0.41156792640686035,0.14120739698410034,-0.03528662398457527,-0.10591994971036911,-0.0352664589881897
40.62274169921875,-84.87055969238281,44.05817794799805,-0.25327256321907043,0.14120739698410034,0.0,-0.10591994971036911,0.0
45.573638916015625,-84.71227264404297,39.15227508544922,0.031659070402383804,0.10590554773807526,0.0,-0.1412266045808792,0.0
50.08022689819336,-84.30074310302734,34.34132385253906,0.31659069657325745,0.14120739698410034,0.0,-0.1412266045808792,0.0
54.237709045410156,-83.66761779785156,29.403770446777344,0.0,0.07060369849205017,0.03528662398457527,-0.1412266045808792,0.0
58.268245697021484,-82.65461730957031,24.339611053466797,-0.06331814080476761,0.07060369849205017,0.03528662398457527,-0.1412266045808792,0.0
62.26704788208008,-81.38836669921875,18.9905948638916,-0.18995441496372223,0.10590554773807526,0.03528662398457527,-0.10591994971036911,0.0
65.980224609375,-79.80554962158203,13.514972686767578,-0.41156792640686035,0.10590554773807526,0.07057324796915054,-0.17653325200080872,-0.0352664589881897
69.18560791015625,-77.84285736083984,8.260908126831055,-0.6648404598236084,0.07060369849205017,0.07057324796915054,-0.17653325200080872,-0.0352664589881897
72.1688461303711,-75.46863555908203,3.0384950637817383,-0.41156792640686035,0.07060369849205017,0.07057324796915054,-0.1412266045808792,0.0
74.83470916748047,-72.7461929321289,-2.3105223178863525,-0.28493162989616394,0.07060369849205017,0.07057324796915054,-0.17653325200080872,-0.0352664589881897
77.3736343383789,-69.83380889892578,-7.46963357925415,0.06331814080476761,0.07060369849205017,0.07057324796915054,-0.1412266045808792,0.0
79.34129333496094,-66.66818237304688,-12.438838958740234,0.47488605976104736,0.035301849246025085,0.10585986822843552,-0.1412266045808792,-0.0352664589881897
81.15027618408203,-63.24930191040039,-17.50299835205078,0.7281585931777954,0.07060369849205017,0.10585986822843552,-0.17653325200080872,-0.0352664589881897
82.70536804199219,-59.60882568359375,-22.662109375,0.7598176598548889,0.035301849246025085,0.10585986822843552,-0.17653325200080872,0.0
83.81614685058594,-55.58847427368164,-27.631315231323242,0.9497721195220947,0.035301849246025085,0.10585986822843552,-0.1412266045808792,0.0
84.26045989990234,-51.441497802734375,-32.442264556884766,0.5698632597923279,0.0,0.10585986822843552,-0.10591994971036911,0.0
84.48261260986328,-47.199554443359375,-37.0949592590332,0.25327256321907043,0.0,0.10585986822843552,-0.1412266045808792,0.0
84.51435089111328,-42.48276138305664,-41.96921157836914,0.0,0.0,0.1411464959383011,-0.1412266045808792,0.0
84.38740539550781,-37.702659606933594,-46.84346389770508,-0.34824976325035095,0.035301849246025085,0.10585986822843552,-0.10591994971036911,0.0
83.9748306274414,-32.85924530029297,-51.27460479736328,-0.41156792640686035,0.0,0.1411464959383011,-0.1412266045808792,0.0
83.0862045288086,-27.82589340209961,-55.23097610473633,-0.12663628160953522,-0.035301849246025085,0.1411464959383011,-0.10591994971036911,0.0
81.94368743896484,-22.634258270263672,-59.21900177001953,-0.06331814080476761,-0.035301849246025085,0.1411464959383011,-0.10591994971036911,0.0
80.67423248291016,-17.221031188964844,-63.175376892089844,0.31659069657325745,-0.07060369849205017,0.1411464959383011,-0.0706133022904396,0.0
78.99219512939453,-11.776145935058594,-66.72028350830078,0.6648404598236084,-0.07060369849205017,0.10585986822843552,-0.10591994971036911,-0.0352664589881897
76.9610595703125,-6.711136817932129,-69.82208251953125,0.5698632597923279,-0.07060369849205017,0.1411464959383011,-0.0706133022904396,0.0
74.51734161376953,-1.3295648097991943,-72.70232391357422,0.5698632597923279,-0.07060369849205017,0.17643311619758606,-0.0706133022904396,0.0
71.72453308105469,4.083663463592529,-75.42430877685547,0.37990882992744446,-0.07060369849205017,0.1411464959383011,-0.0706133022904396,-0.0352664589881897
68.67782592773438,9.180329322814941,-77.82978820800781,-0.25327256321907043,-0.10590554773807526,0.1411464959383011,-0.10591994971036911,0.0
65.44070434570312,14.24533748626709,-79.82379913330078,-0.5698632597923279,-0.07060369849205017,0.17643311619758606,-0.0353066511452198,0.0
61.917945861816406,19.373659133911133,-81.53295135498047,-0.7598176598548889,-0.14120739698410034,0.17643311619758606,-0.0353066511452198,0.0
