220kV Ⅰ母电压_A相_1,220kV Ⅰ母电压_B相_2,220kV Ⅰ母电压_C相_3,220kV Ⅰ母电压_3U0_4,苏保Ⅱ回_A相_13,苏保Ⅱ回_B相_14,苏保Ⅱ回_C相_15,苏保Ⅱ回_3I0_16
83.69622039794922,-28.35986328125,-55.21271896362305,0.20242156088352203,0.7439152002334595,-0.05565989390015602,-0.6876463294029236,0.009290896356105804
76.97333526611328,-6.2030720710754395,-70.3886947631836,0.7474026679992676,0.6416268944740295,0.1391497403383255,-0.8084490299224854,-0.01858179271221161
64.99134063720703,15.476560592651367,-81.02848052978516,-0.7785444855690002,0.5207406282424927,0.31540605425834656,-0.8456191420555115,0.009290896356105804
48.26255416870117,36.33672332763672,-85.2844009399414,-0.7785444855690002,0.30686503648757935,0.510215699672699,-0.827034056186676,-0.009290896356105804
27.790700912475586,55.59944152832031,-83.59241485595703,0.062283556908369064,0.08369046449661255,0.6308121085166931,-0.771278977394104,0.009290896356105804
5.802798748016357,70.77518463134766,-77.104736328125,-0.5761228799819946,-0.09298940002918243,0.7143019437789917,-0.6690613031387329,0.027872689068317413
-15.53686237335205,80.94075012207031,-65.20893096923828,0.6384064555168152,-0.2696692645549774,0.7699618935585022,-0.5017959475517273,0.0
-36.43739318847656,85.20407104492188,-48.465538024902344,0.7941153645515442,-0.4928438365459442,0.7606852054595947,-0.2973605692386627,0.009290896356105804
-55.72777557373047,83.60662078857422,-28.047521591186523,-0.10899622738361359,-0.6602247357368469,0.7143019437789917,-0.046462588012218475,0.01858179271221161
-70.9927978515625,77.20645904541016,-6.124366283416748,0.24913422763347626,-0.7439152002334595,0.6029821634292603,0.13938777148723602,-0.01858179271221161
-81.28099822998047,65.37083435058594,15.279775619506836,-0.996536910533905,-0.7997088432312012,0.4916623830795288,0.3159455955028534,0.0
-85.28545379638672,48.753238677978516,35.978057861328125,-0.8875406980514526,-0.8183067440986633,0.25974616408348083,0.520380973815918,0.0
-83.6857681274414,28.50508689880371,55.0362548828125,-0.3114177882671356,-0.7532141804695129,0.018553297966718674,0.6783537864685059,0.009290896356105804
-77.0569839477539,6.286056041717529,70.3367919921875,-0.7474026679992676,-0.6323279142379761,-0.16697968542575836,0.7526939511299133,0.009290896356105804
-64.91815185546875,-15.642529487609863,80.9246826171875,0.5294102430343628,-0.4928438365459442,-0.3432359993457794,0.8177415728569031,0.009290896356105804
-48.17891311645508,-36.36784362792969,85.12869262695312,0.9498242139816284,-0.29756608605384827,-0.5194923281669617,0.827034056186676,0.0
-27.738422393798828,-55.30899429321289,83.60279083251953,0.9031115770339966,-0.09298940002918243,-0.658642053604126,0.7434014081954956,-0.04645448178052902
-5.771431922912598,-70.52622985839844,77.28119659423828,1.681656002998352,0.10228834301233292,-0.751408576965332,0.6133061647415161,-0.027872689068317413
15.453218460083008,-80.96150207519531,65.30235290527344,-0.24913422763347626,0.29756608605384827,-0.8256217837333679,0.46462589502334595,-0.04645448178052902
27.738422393798828,-60.391780853271484,54.4757194519043,38.27324676513672,0.9484918713569641,-4.081725597381592,-0.6969388127326965,-3.7999765872955322
25.354570388793945,-12.385397911071777,1.8580704927444458,26.486082077026367,3.208134412765503,-6.27101469039917,1.7562859058380127,-1.2171074151992798
26.55695152282715,-28.86814308166504,19.919761657714844,30.503372192382812,5.672353744506836,-8.60873031616211,1.8863811492919922,-0.919798731803894
38.71669006347656,-28.93037986755371,-7.9824371337890625,3.129748821258545,8.861889839172363,-12.115303993225098,1.4031702280044556,-1.7095249891281128
35.04681396484375,-6.410532474517822,-22.587493896484375,10.448066711425781,11.83755111694336,-13.85003662109375,-0.01858503557741642,-1.8860520124435425
41.87424850463867,-9.792140007019043,-24.497465133666992,12.768129348754883,14.841108322143555,-14.378806114196777,-2.462517261505127,-1.9139246940612793
30.676416397094727,0.05186514928936958,-27.507747650146484,5.605520248413086,17.667985916137695,-14.71276569366455,-4.869279384613037,-1.867470145225525
25.48003578186035,8.194693565368652,-29.635705947875977,6.6799116134643555,19.75094985961914,-13.692334175109863,-8.056612968444824,-2.0161244869232178
19.342662811279297,9.844005584716797,-30.808677673339844,-2.9117562770843506,21.359664916992188,-12.170963287353516,-11.058095932006836,-1.8953428268432617
11.44876480102539,27.581886291503906,-37.6700439453125,2.3200623989105225,22.07568359375,-9.833248138427734,-14.226844787597656,-1.9975427389144897
6.900625228881836,25.320566177368164,-29.531902313232422,4.515557765960693,21.806015014648438,-6.7255706787109375,-17.116817474365234,-2.0811607837677
-2.1538314819335938,29.469778060913086,-25.24484634399414,3.5190210342407227,20.643648147583008,-3.3303170204162598,-19.4399471282959,-2.1461970806121826
-13.937171936035156,35.83881759643555,-21.51832389831543,0.5294102430343628,18.70016860961914,0.23191621899604797,-21.075429916381836,-2.1926515102386475
-18.10891342163086,29.708356857299805,-8.50145149230957,5.200676918029785,15.901187896728516,3.729212999343872,-21.902463912963867,-2.332015037536621
-26.180553436279297,32.021541595458984,-4.359718322753906,2.506913185119629,12.339694023132324,6.69774055480957,-21.52147102355957,-2.462087631225586
-27.079727172851562,23.92020606994629,5.864859580993652,4.515557765960693,8.731704711914062,9.193159103393555,-20.452831268310547,-2.4806692600250244
-29.86088752746582,17.81049156188965,13.733113288879395,2.787189245223999,4.798253059387207,11.09487247467041,-18.612913131713867,-2.6479055881500244
-29.2440128326416,11.368841171264648,20.46991539001465,4.359848976135254,0.9391929507255554,12.08747386932373,-15.853034973144531,-2.7129416465759277
