17-220kV II母Ua_15,18-220kV II母Ub_16,19-220kV II母Uc_17,20-220kV II母3Uo_18,9-220kV中铅线 256断路器Ia_7,10-220kV中铅线 256断路器Ib_8,11-220kV中铅线 256断路器Ic_9,12-220kV中铅线 256断路器3Io_10
-17.22765350341797,82.71388244628906,-65.22173309326172,0.4438025951385498,-0.03531448915600777,-0.035282377153635025,0.03534090518951416,0.0
-22.44045066833496,84.2667465209961,-61.54369354248047,0.5072029829025269,0.0,-0.035282377153635025,0.0,0.0
-27.462533950805664,85.37593841552734,-57.51688003540039,0.6340036988258362,0.0,-0.07056475430727005,0.03534090518951416,0.0
-32.26211929321289,86.00975799560547,-53.29981994628906,0.7608044743537903,0.0,-0.07056475430727005,0.03534090518951416,0.0
-37.09349060058594,86.04145050048828,-48.543739318847656,0.7291042804718018,0.0,-0.07056475430727005,0.03534090518951416,0.0
-41.76593780517578,85.78792572021484,-43.597412109375,0.6974040865898132,0.0,-0.035282377153635025,0.03534090518951416,0.0
-46.40659713745117,85.47100830078125,-38.619380950927734,0.7925046682357788,0.0,-0.035282377153635025,0.03534090518951416,0.03525979444384575
-50.951900482177734,85.02733612060547,-33.673057556152344,0.6657038927078247,0.0,-0.07056475430727005,0.03534090518951416,0.0
-55.33827590942383,84.36182403564453,-28.758440017700195,0.5706033110618591,0.0,-0.07056475430727005,0.07068181037902832,0.03525979444384575
-59.216087341308594,83.22093963623047,-23.685285568237305,0.4438025951385498,0.03531448915600777,-0.07056475430727005,0.03534090518951416,0.0
-62.9031867980957,81.82653045654297,-18.70725440979004,0.3487020432949066,0.0,-0.07056475430727005,0.07068181037902832,0.03525979444384575
-66.46314239501953,80.27366638183594,-13.570685386657715,0.3487020432949066,0.03531448915600777,-0.10584712773561478,0.07068181037902832,0.03525979444384575
-69.83238983154297,78.3721923828125,-8.307289123535156,0.38040223717689514,0.0,-0.07056475430727005,0.03534090518951416,0.0
-73.01092529296875,76.0587387084961,-2.8853561878204346,0.2536014914512634,0.03531448915600777,-0.07056475430727005,0.07068181037902832,0.0
-75.93517303466797,73.52345275878906,2.568284034729004,0.1268007457256317,0.03531448915600777,-0.07056475430727005,0.03534090518951416,0.03525979444384575
-78.8912124633789,70.82970428466797,8.053631782531738,0.0,0.03531448915600777,-0.07056475430727005,0.07068181037902832,0.03525979444384575
-81.43404388427734,67.91411590576172,13.412149429321289,-0.2219012975692749,0.03531448915600777,-0.10584712773561478,0.07068181037902832,0.03525979444384575
-83.56365966796875,64.61824035644531,18.80237579345703,-0.3170018494129181,0.03531448915600777,-0.10584712773561478,0.07068181037902832,0.03525979444384575
-84.96221160888672,60.84699249267578,23.843822479248047,-0.4438025951385498,0.0,-0.07056475430727005,0.07068181037902832,0.03525979444384575
-85.915771484375,56.79052734375,28.853561401367188,-0.5389031767845154,0.03531448915600777,-0.10584712773561478,0.03534090518951416,0.0
-86.29719543457031,52.385459899902344,33.57793426513672,-0.6023035049438477,0.03531448915600777,-0.10584712773561478,0.07068181037902832,0.03525979444384575
-86.29719543457031,47.56840515136719,38.334014892578125,-0.6340036988258362,0.07062897831201553,-0.10584712773561478,0.03534090518951416,0.0
-85.94755554199219,42.43444061279297,43.185218811035156,-0.5389031767845154,0.03531448915600777,-0.10584712773561478,0.03534090518951416,0.0705195888876915
-85.53434753417969,37.36385726928711,47.90959548950195,-0.4121024012565613,0.07062897831201553,-0.07056475430727005,0.03534090518951416,0.0705195888876915
-84.89864349365234,32.35665512084961,52.412017822265625,-0.2219012975692749,0.03531448915600777,-0.07056475430727005,0.07068181037902832,0.03525979444384575
-84.04043579101562,27.476221084594727,56.50224685668945,-0.03170018643140793,0.07062897831201553,-0.10584712773561478,0.0,0.03525979444384575
-82.80081176757812,22.59578514099121,60.24369812011719,0.06340037286281586,0.07062897831201553,-0.07056475430727005,0.03534090518951416,0.0
-81.40225219726562,17.46181869506836,64.01685333251953,0.1268007457256317,0.03531448915600777,-0.10584712773561478,0.03534090518951416,0.03525979444384575
-79.74942016601562,12.264472007751465,67.47294616699219,0.09510055929422379,0.07062897831201553,-0.07056475430727005,0.03534090518951416,0.03525979444384575
-77.5880126953125,6.845286846160889,70.64366149902344,-0.03170018643140793,0.105943463742733,-0.07056475430727005,0.03534090518951416,0.03525979444384575
-75.20411682128906,1.4894837141036987,73.68755340576172,0.0,0.03531448915600777,-0.07056475430727005,0.0,0.03525979444384575
-72.59771728515625,-4.0881571769714355,76.66802978515625,0.0,0.07062897831201553,-0.10584712773561478,0.0,0.03525979444384575
-69.7688217163086,-9.602416038513184,79.39485168457031,0.09510055929422379,0.07062897831201553,-0.10584712773561478,0.03534090518951416,0.0
-66.52671813964844,-15.021601676940918,81.6143569946289,0.19020111858844757,0.07062897831201553,-0.07056475430727005,0.03534090518951416,0.03525979444384575
-62.9031867980957,-20.314022064208984,83.42166900634766,0.4438025951385498,0.07062897831201553,-0.07056475430727005,0.03534090518951416,0.03525979444384575
-58.9618034362793,-25.479679107666016,84.75337219238281,0.6657038927078247,0.07062897831201553,-0.10584712773561478,0.0,0.03525979444384575
-54.76613998413086,-30.45518684387207,85.67288208007812,0.8242048025131226,0.07062897831201553,-0.07056475430727005,0.0,0.03525979444384575
-50.12548065185547,-35.24055099487305,85.9265365600586,0.9510055780410767,0.07062897831201553,-0.07056475430727005,0.0,0.0
-45.198753356933594,-40.02591323852539,85.76800537109375,0.9193053841590881,0.07062897831201553,-0.035282377153635025,0.0,0.03525979444384575
