220kV I母电压_Ua_1,220kV I母电压_Ub_2,220kV I母电压_Uc_3,220kV I母电压_3U0_4,220kV兰福线电流_Ia_5,220kV兰福线电流_Ib_6,220kV兰福线电流_Ic_7,220kV兰福线电流_3I0_8
-6.297518730163574,-70.91429901123047,77.69070434570312,0.5063145756721497,0.14713536202907562,-1.3332862854003906,1.0474706888198853,0.01731356792151928
-1.0119622945785522,-73.9599380493164,75.41645050048828,0.3738938271999359,0.2856156826019287,-1.3073132038116455,0.9522461295127869,-1.2000000104706032e-08
4.328084945678711,-77.06009674072266,72.86959838867188,0.11684181541204453,0.4067859947681427,-1.3332862854003906,0.9868732690811157,0.01731356792151928
9.582504272460938,-79.62279510498047,70.22928619384766,0.11684181541204453,0.4327510595321655,-1.3419439792633057,0.9089621901512146,0.02597035840153694
14.759079933166504,-81.81160736083984,66.96588134765625,-0.3115782141685486,0.5019912123680115,-1.3592593669891357,0.8570215106010437,-0.05194075033068657
20.122480392456055,-83.61094665527344,63.60902404785156,0.03894726186990738,0.6404715776443481,-1.402547836303711,0.8223943710327148,-0.043283961713314056
24.902055740356445,-84.9117660522461,59.652442932128906,-0.6932615041732788,0.701056718826294,-1.3852324485778809,0.6838858723640442,0.008656778372824192
30.140907287597656,-86.16585540771484,55.446632385253906,-1.168418288230896,0.7183667421340942,-1.3679170608520508,0.6838858723640442,0.01731356792151928
35.10730743408203,-86.524169921875,51.0305290222168,-0.6698931455612183,0.8308820128440857,-1.393890142440796,0.5540341138839722,-0.034627173095941544
39.80125427246094,-86.32164001464844,46.4664421081543,-0.1557891070842743,0.9001221656799316,-1.3765747547149658,0.458809494972229,-0.02597038261592388
44.68981170654297,-86.32164001464844,41.481773376464844,-0.2726309299468994,0.9693623781204224,-1.3679170608520508,0.3895552456378937,0.02597035840153694
49.2436408996582,-85.72965240478516,36.48931884765625,0.031157808378338814,1.0299475193023682,-1.3073132038116455,0.32895776629447937,0.008656778372824192
53.40047073364258,-84.80271911621094,31.208688735961914,-0.2570520341396332,1.1251527070999146,-1.3159708976745605,0.19910600781440735,-0.043283961713314056
57.588436126708984,-83.63431549072266,25.78786277770996,-0.3816833198070526,1.1597728729248047,-1.3246285915374756,0.12119495868682861,0.008656778372824192
61.49616622924805,-82.2010726928711,20.663002014160156,-0.007789466995745897,1.2376680374145508,-1.2899976968765259,0.03462713211774826,-1.2000000104706032e-08
65.27935028076172,-80.61204528808594,15.24996566772461,-0.07789456099271774,1.2463229894638062,-1.1687898635864258,-0.00865678396075964,0.01731356792151928
68.66552734375,-79.02301788330078,9.75125503540039,-0.7555771470069885,1.2636330127716064,-1.1687898635864258,-0.15582209825515747,0.01731356792151928
71.97386932373047,-76.93547058105469,4.470623016357422,-0.6543142199516296,1.2636330127716064,-1.0995283126831055,-0.18179243803024292,0.02597035840153694
75.19657897949219,-74.65319061279297,-0.887893795967102,-0.6465247869491577,1.3328732252120972,-1.0475820302963257,-0.24238993227481842,-1.2000000104706032e-08
78.13905334472656,-72.05933380126953,-6.160736560821533,-0.11684183776378632,1.402113437652588,-0.9956358671188354,-0.2943306267261505,0.008656778372824192
80.38872528076172,-69.4654769897461,-11.231077194213867,-0.38947275280952454,1.3848034143447876,-0.9177165031433105,-0.4414959251880646,-1.2000000104706032e-08
82.65396118164062,-65.87458038330078,-16.56622886657715,0.49073565006256104,1.393458366394043,-0.8397971987724304,-0.48477983474731445,-0.06059754267334938
84.1796875,-62.56410598754883,-21.893590927124023,-0.2570520341396332,1.3848034143447876,-0.7705355882644653,-0.5626909136772156,0.008656778372824192
85.51081085205078,-58.50585174560547,-26.395368576049805,1.0126291513442993,1.4107683897018433,-0.7359047532081604,-0.718513011932373,0.01731356792151928
85.93115997314453,-54.24507522583008,-31.559171676635742,0.24926254153251648,1.402113437652588,-0.5627506971359253,-0.7011994123458862,0.01731356792151928
86.39822387695312,-49.64156723022461,-36.29460525512695,1.0048396587371826,1.3848034143447876,-0.5714083909988403,-0.7964240312576294,0.008656778372824192
86.11798858642578,-44.97574234008789,-41.279273986816406,-0.2726309299468994,1.393458366394043,-0.4934890866279602,-0.8397079706192017,0.01731356792151928
86.3048095703125,-39.84255599975586,-46.193843841552734,0.5063145756721497,1.3242182731628418,-0.35496583580970764,-0.9089621901512146,-0.0692543312907219
85.48745727539062,-34.81842041015625,-50.85918045043945,-0.5141040682792664,1.2636330127716064,-0.2770465016365051,-1.0128436088562012,0.02597035840153694
84.21861267089844,-29.52165985107422,-54.862491607666016,-0.2648414671421051,1.306908130645752,-0.25973108410835266,-1.0734411478042603,0.01731356792151928
82.9731216430664,-24.310579299926758,-59.286380767822266,-1.1528393030166626,1.2636330127716064,-0.09523473680019379,-1.0474706888198853,0.008656778372824192
81.8132553100586,-18.865819931030273,-62.96257400512695,0.12463127076625824,1.1943929195404053,-0.043288521468639374,-1.1513521671295166,0.02597035840153694
79.98394012451172,-13.366535186767578,-66.47520446777344,0.2103152722120285,1.2030478715896606,0.034630805253982544,-1.1600089073181152,-1.2000000104706032e-08
78.12348937988281,-8.139877319335938,-70.19033813476562,-0.3738938570022583,1.0559126138687134,0.1471809446811676,-1.2812038660049438,0.01731356792151928
76.1929702758789,-2.6795384883880615,-72.96305847167969,0.8334716558456421,1.0386024713516235,0.28570419549942017,-1.2725471258163452,-1.2000000104706032e-08
73.93551635742188,2.7418532371520996,-76.09405517578125,0.9892607927322388,0.9780173897743225,0.31167730689048767,-1.2725471258163452,-1.2000000104706032e-08
