220kVI母电压_Ua_1,220kVI母电压_Ub_2,220kVI母电压_Uc_3,220kVI母电压_3U0_4,220kV龙嵩II回线_Ia_9,220kV龙嵩II回线_Ib_10,220kV龙嵩II回线_Ic_11,220kV龙嵩II回线_3I0_12
1.0815620422363281,-74.86099243164062,74.04399871826172,0.06224900111556053,-0.06051899865269661,0.21612100303173065,-0.02593900077044964,0.00864300038665533
6.388204097747803,-77.52987670898438,71.35177612304688,-0.03890400007367134,-0.07780899852514267,0.19018599390983582,-0.008648999966681004,0.034577999264001846
11.663722038269043,-79.92642974853516,68.37165069580078,-0.19452400505542755,-0.12967899441719055,0.19018599390983582,-0.03458400070667267,0.034577999264001846
16.83808708190918,-82.01951599121094,65.2825927734375,-0.17118099331855774,-0.12103399634361267,0.18154099583625793,-0.008648999966681004,0.025932999327778816
21.895736694335938,-83.40453338623047,61.57883834838867,-0.2567720115184784,-0.10374400019645691,0.12967100739479065,-0.008648999966681004,-1.9999999949504854e-06
26.85223388671875,-84.55612182617188,57.735023498535156,-0.248990997672081,-0.12967899441719055,0.1988310068845749,-0.02593900077044964,0.043223001062870026
31.559738159179688,-85.31087493896484,53.68112564086914,-0.30345800518989563,-0.12103399634361267,0.19018599390983582,-0.03458400070667267,0.017287999391555786
36.59404754638672,-85.55986785888672,49.090335845947266,-0.1167140007019043,-0.16425900161266327,0.19018599390983582,0.01728600077331066,0.017287999391555786
41.15371322631836,-85.26419067382812,44.26611328125,0.04668699949979782,-0.18154899775981903,0.20747600495815277,0.01728600077331066,-0.008647000417113304
45.76006317138672,-85.00741577148438,39.42633056640625,0.07002999633550644,-0.21612900495529175,0.21612100303173065,-3.999999989900971e-06,0.017287999391555786
50.226356506347656,-84.47830963134766,34.51652145385742,0.1711830049753189,-0.12967899441719055,0.21612100303173065,0.04322100058197975,-0.008647000417113304
54.80158615112305,-84.07369995117188,29.466651916503906,0.10893499851226807,-0.16425900161266327,0.21612100303173065,-3.999999989900971e-06,-0.008647000417113304
58.83214569091797,-82.98435974121094,24.27672576904297,0.04668699949979782,-0.21612900495529175,0.1469610035419464,0.04322100058197975,-0.008647000417113304
62.442527770996094,-81.50596618652344,19.141265869140625,-0.015561000443994999,-0.21612900495529175,0.16425099968910217,0.04322100058197975,0.025932999327778816
66.41083526611328,-80.16764068603516,13.951337814331055,9.999999974752427e-07,-0.16425900161266327,0.12967100739479065,0.05186599865555763,0.00864300038665533
69.6243896484375,-78.06676483154297,8.574666976928711,-0.015561000443994999,-0.22477400302886963,0.1123809963464737,0.12967100739479065,0.025932999327778816
72.58895111083984,-75.66243743896484,3.1201860904693604,0.18674500286579132,-0.18154899775981903,0.05186599865555763,0.12102600187063217,0.043223001062870026
75.64688873291016,-73.14139556884766,-2.2020180225372314,0.3034600019454956,-0.20748400688171387,0.05186599865555763,0.1556060016155243,0.034577999264001846
78.20683288574219,-70.2857666015625,-7.500878810882568,0.49020400643348694,-0.1988389939069748,0.1123809963464737,0.07780099660158157,-0.034582000225782394
80.70453643798828,-67.601318359375,-12.799739837646484,0.4512990117073059,-0.1901939958333969,0.05186599865555763,0.10373599827289581,-0.043226998299360275
82.26073455810547,-63.85087966918945,-17.935199737548828,0.6147000193595886,-0.22477400302886963,0.06915599852800369,0.10373599827289581,0.034577999264001846
83.7313461303711,-60.24827575683594,-22.907258987426758,0.7858819961547852,-0.18154899775981903,0.06051100045442581,0.18154099583625793,0.017287999391555786
85.00743103027344,-56.54452133178711,-27.894880294799805,0.7080720067024231,-0.21612900495529175,0.06051100045442581,0.10373599827289581,-1.9999999949504854e-06
85.34201049804688,-52.171600341796875,-32.71131896972656,0.5835760235786438,-0.1901939958333969,0.07780099660158157,0.1469610035419464,-1.9999999949504854e-06
85.48207092285156,-47.596370697021484,-37.44216537475586,0.49020400643348694,-0.17290399968624115,0.07780099660158157,0.18154099583625793,-1.9999999949504854e-06
84.851806640625,-42.492034912109375,-41.83843231201172,0.5602329969406128,-0.1469690054655075,0.04322100058197975,0.17289599776268005,0.00864300038665533
84.5561294555664,-37.5121955871582,-46.65487289428711,0.529109001159668,-0.12967899441719055,0.04322100058197975,0.18154099583625793,0.043223001062870026
83.99589538574219,-32.49345016479492,-51.128944396972656,0.505765974521637,-0.12967899441719055,-0.05187400057911873,0.19018599390983582,0.017287999391555786
83.30339050292969,-27.326866149902344,-55.486305236816406,0.4590800106525421,-0.10374400019645691,0.01728600077331066,0.25934600830078125,-1.9999999949504854e-06
82.13623809814453,-22.26143455505371,-59.470176696777344,0.5913569927215576,-0.12103399634361267,-0.02593900077044964,0.19018599390983582,0.00864300038665533
80.67340850830078,-16.993698120117188,-63.282867431640625,0.552452027797699,-0.12103399634361267,-0.05187400057911873,0.17289599776268005,-1.9999999949504854e-06
79.08609008789062,-11.803771018981934,-66.84656524658203,0.48242300748825073,-0.12103399634361267,0.008640999905765057,0.19018599390983582,-0.008647000417113304
77.24198913574219,-6.606062889099121,-70.31689453125,0.35792699456214905,-0.09509900212287903,-0.06051899865269661,0.17289599776268005,-0.008647000417113304
74.9310302734375,-1.2371729612350464,-73.27367401123047,0.37348899245262146,-0.06916400045156479,-0.07780899852514267,0.17289599776268005,0.00864300038665533
72.26215362548828,4.038344860076904,-76.02814483642578,0.2723360061645508,-0.06051899865269661,-0.06051899865269661,0.19018599390983582,-1.9999999949504854e-06
69.18865203857422,9.352767944335938,-78.51806640625,0.06224900111556053,-0.08645399659872055,-0.06916400045156479,0.19018599390983582,0.00864300038665533
