220kVI母电压_A相_1,220kVI母电压_B相_2,220kVI母电压_C相_3,220kVI母电压_3U0_4,宝抚Ⅱ回226断路器_A相_37,宝抚Ⅱ回226断路器_B相_38,宝抚Ⅱ回226断路器_C相_39,宝抚Ⅱ回226断路器_3I0_40
84.80976867675781,-34.41362380981445,-50.224365234375,0.3574165999889374,0.26060912013053894,-0.09710625559091568,-0.163593128323555,-0.003814765252172947
80.18244934082031,-13.659337997436523,-66.21666717529297,0.5905143618583679,0.24539105594158173,-0.03236875310540199,-0.21305151283740997,-0.007629530504345894
69.45167541503906,8.988323211669922,-78.64009857177734,-0.09323911368846893,0.20544368028640747,0.041888974606990814,-0.23778070509433746,-0.00572214787825942
53.43402862548828,30.345993041992188,-84.34197235107422,-0.683753490447998,0.1597895324230194,0.10091434419155121,-0.26060765981674194,-0.007629530504345894
33.804561614990234,50.424076080322266,-84.47723388671875,0.01553985197097063,0.09701506793498993,0.16755589842796326,-0.26250988245010376,-0.003814765252172947
13.306161880493164,66.30968475341797,-80.0967788696289,-0.2486376315355301,0.028533844277262688,0.20944486558437347,-0.2434874325990677,-0.003814765252172947
-9.579179763793945,78.741455078125,-69.42137145996094,0.1398586630821228,-0.04565415158867836,0.24181362986564636,-0.21114926040172577,-0.003814765252172947
-30.998855590820312,84.40077209472656,-53.51231002807617,0.3884963095188141,-0.11793988943099976,0.2570459842681885,-0.15788638591766357,0.0019073826260864735
-50.450347900390625,84.32794952392578,-34.252872467041016,-0.3574165999889374,-0.16930080950260162,0.2570459842681885,-0.09511227905750275,0.0019073826260864735
-66.66690826416016,80.20829772949219,-13.692824363708496,0.04661955684423447,-0.2244662493467331,0.2456217110157013,-0.03233817592263222,0.0
-78.91569519042969,69.6282958984375,9.000223159790039,-0.3107970356941223,-0.25300008058547974,0.207540825009346,0.03614266589283943,0.003814765252172947
-84.45381927490234,53.576229095458984,30.434280395507812,-0.7148331999778748,-0.26821812987327576,0.1599397212266922,0.10652575641870499,0.00572214787825942
-84.89351654052734,34.4448356628418,50.08910369873047,-0.2486376315355301,-0.26821812987327576,0.09710625559091568,0.15788638591766357,0.007629530504345894
-80.31854248046875,13.7633695602417,66.0501937866211,-0.5905143618583679,-0.24729332327842712,0.028560664504766464,0.20544251799583435,0.0
-69.46214294433594,-8.967516899108887,78.30714416503906,0.07769925892353058,-0.21115045249462128,-0.041888974606990814,0.23968294262886047,0.0019073826260864735
-53.54918670654297,-30.335590362548828,84.13387298583984,0.8702316880226135,-0.16359403729438782,-0.10853052139282227,0.25490090250968933,0.003814765252172947
-34.024410247802734,-50.236820220947266,84.14427947998047,0.18647822737693787,-0.09701506793498993,-0.16755589842796326,0.25490090250968933,0.007629530504345894
-13.452728271484375,-66.34089660644531,79.85746765136719,0.32633689045906067,-0.03233835846185684,-0.21134892106056213,0.23587845265865326,0.0
9.191824913024902,-78.90790557861328,69.5150146484375,0.03107970394194126,0.03804512694478035,-0.24942980706691742,0.19973579049110413,-0.0019073826260864735
30.705720901489258,-84.66085052490234,53.55392837524414,-0.40403616428375244,0.10652635246515274,-0.26466214656829834,0.15027740597724915,0.0
50.33518981933594,-84.65044403076172,34.419349670410156,0.37295645475387573,0.16549630463123322,-0.2608540654182434,0.09130778908729553,0.0
66.47846221923828,-80.30192565917969,13.786468505859375,0.15539851784706116,0.21685722470283508,-0.2456217110157013,0.02472919225692749,-0.0019073826260864735
79.0099105834961,-69.89877319335938,-8.948198318481445,0.341876745223999,0.24348880350589752,-0.207540825009346,-0.04375164955854416,-0.003814765252172947
84.49569702148438,-53.80509948730469,-30.340635299682617,0.7459129095077515,0.26060912013053894,-0.1656518578529358,-0.10652575641870499,-0.007629530504345894
84.90399169921875,-34.652896881103516,-50.047481536865234,0.3574165999889374,0.25680461525917053,-0.10091434419155121,-0.1616908758878708,-0.007629530504345894
80.20338439941406,-13.877803802490234,-66.08140563964844,0.5905143618583679,0.24348880350589752,-0.03046470880508423,-0.20734477043151855,-0.007629530504345894
69.54589080810547,8.87388801574707,-78.5152359008789,0.01553985197097063,0.20734593272209167,0.038080886006355286,-0.24158519506454468,-0.00953691266477108
53.538719177246094,30.169139862060547,-84.36278533935547,-0.7303730249404907,0.1578872799873352,0.10472243279218674,-0.25870540738105774,-0.003814765252172947
33.90925216674805,50.21601104736328,-84.498046875,-0.06215940788388252,0.09321055561304092,0.16374780237674713,-0.25870540738105774,-0.007629530504345894
13.672577857971191,66.24726867675781,-80.16961669921875,-0.20201808214187622,0.02282707579433918,0.20944486558437347,-0.2434874325990677,-0.003814765252172947
-9.275577545166016,78.6478271484375,-69.55663299560547,0.1398586630821228,-0.04755640774965286,0.24181362986564636,-0.20924702286720276,-0.0019073826260864735
-30.758066177368164,84.3591537475586,-53.63716506958008,0.43511584401130676,-0.11413537710905075,0.2570459842681885,-0.15788638591766357,0.003814765252172947
-50.387535095214844,84.32794952392578,-34.38813400268555,-0.4817354083061218,-0.17120306193828583,0.255141943693161,-0.09130778908729553,0.003814765252172947
-66.5831527709961,80.21870422363281,-13.838493347167969,-0.09323911368846893,-0.2206617295742035,0.2399095743894577,-0.03233817592263222,0.003814765252172947
-78.91569519042969,69.721923828125,8.812934875488281,-0.2797173261642456,-0.25109782814979553,0.20182868838310242,0.034240420907735825,0.007629530504345894
-84.5375747680664,53.77389144897461,30.22618293762207,-0.7303730249404907,-0.26821812987327576,0.1599397212266922,0.10652575641870499,0.003814765252172947
