1-220kVⅠ段母线电压Ua_1,2-220kVⅠ段母线电压Ub_2,3-220kVⅠ段母线电压Uc_3,4-220kVⅠ段母线电压3Uo_4,5-220kV昆车Ⅰ回线路电流Ia_5,6-220kV昆车Ⅰ回线路电流Ib_6,7-220kV昆车Ⅰ回线路电流Ic_7,8-220kV昆车Ⅰ回线路电流3Io_8
-16.65823745727539,-63.77777862548828,80.27006530761719,0.06340479105710983,0.06468500941991806,0.1581748127937317,-0.22303855419158936,0.0
-11.44459056854248,-67.29633331298828,78.55814361572266,0.06340479105710983,0.05031055957078934,0.17255434393882751,-0.22303855419158936,0.0072099026292562485
-6.262734413146973,-70.24430847167969,76.4657974243164,0.25361916422843933,0.03593611344695091,0.17974410951137543,-0.20864896476268768,0.0072099026292562485
-1.0172969102859497,-73.16059112548828,74.11983489990234,0.1902143657207489,0.014374446123838425,0.18693387508392334,-0.20864896476268768,0.0
4.228140354156494,-75.82328033447266,71.52024841308594,0.09510718286037445,0.007187223061919212,0.19412364065647125,-0.20145417749881744,0.0
9.378206253051758,-77.94709777832031,68.54023742675781,0.06340479105710983,-0.007187223061919212,0.20131340622901917,-0.1942593902349472,0.0
14.369319915771484,-79.81731414794922,65.27490997314453,-0.09510718286037445,-0.014374446123838425,0.20850317180156708,-0.18706458806991577,0.0072099026292562485
19.4558048248291,-81.46565246582031,61.69255447387695,-0.3487263321876526,-0.03593611344695091,0.20850317180156708,-0.1726750135421753,0.0072099026292562485
24.63766098022461,-82.95549011230469,57.91999053955078,-0.6023454666137695,-0.05031055957078934,0.215692937374115,-0.16548021137714386,0.0
29.755935668945312,-84.00154876708984,53.83039855957031,-0.6974526643753052,-0.06468500941991806,0.2228827029466629,-0.15828542411327362,0.0072099026292562485
34.588096618652344,-84.5721206665039,49.51889419555664,-0.6974526643753052,-0.07187222689390182,0.2228827029466629,-0.15109063684940338,0.0
39.67457962036133,-66.44046783447266,25.456897735595703,-2.3776795864105225,-0.08624667674303055,-0.3379189372062683,0.424492746591568,0.0
45.77836227416992,-62.03434753417969,20.004112243652344,7.006228923797607,-0.08624667674303055,-0.7908740639686584,0.8849593997001648,0.0072099026292562485
48.60771942138672,-45.455928802490234,-7.323216915130615,-7.196443557739258,-0.10780834406614304,-1.3301063776016235,1.4245688915252686,-0.0072099026292562485
55.188358306884766,-54.99723815917969,2.2191567420959473,2.66300106048584,-0.10780834406614304,-1.6320765018463135,1.7411396503448486,0.014419805258512497
57.76339340209961,-46.66048049926758,-11.476210594177246,0.3487263321876526,-0.08624667674303055,-2.1856884956359863,2.316723108291626,0.03604951128363609
62.78629684448242,-56.518775939941406,-7.196408271789551,-1.7753340005874634,-0.10780834406614304,-2.552366256713867,2.6692678928375244,0.0072099026292562485
63.898963928222656,-45.646121978759766,-20.099218368530273,-2.853215456008911,-0.10780834406614304,-3.0197010040283203,3.1369292736053467,0.0072099026292562485
70.06632995605469,-46.533687591552734,-18.482404708862305,8.654753684997559,-0.12218278646469116,-3.2497735023498535,3.381552219390869,0.0072099026292562485
73.7540283203125,-47.07256317138672,-23.14263343811035,6.1185622215271,-0.12937001883983612,-3.58050274848938,3.719707489013672,0.021629707887768745
73.7540283203125,-60.195823669433594,-17.150911331176758,-6.816014766693115,-0.1149955689907074,-3.83933424949646,3.985914707183838,0.03604951128363609
76.45622253417969,-54.36326599121094,-20.54305076599121,2.7898106575012207,-0.12937001883983612,-4.119734764099121,4.266511917114258,0.014419805258512497
78.80872344970703,-58.13541030883789,-19.591983795166016,2.441084384918213,-0.12937001883983612,-4.24915075302124,4.396018028259277,0.021629707887768745
83.19581604003906,-54.01457977294922,-26.312856674194336,4.406632900238037,-0.14374445378780365,-4.428894996643066,4.583082675933838,0.0072099026292562485
80.23929595947266,-59.213165283203125,-26.756689071655273,-10.04965877532959,-0.13655723631381989,-4.50798225402832,4.676614761352539,0.021629707887768745
83.7680435180664,-48.65749740600586,-34.809059143066406,0.44383350014686584,-0.14374445378780365,-4.594259262084961,4.755757808685303,0.021629707887768745
83.19581604003906,-51.16169738769531,-33.19224166870117,-1.4583101272583008,-0.14374445378780365,-4.536741256713867,4.705394268035889,0.021629707887768745
85.96159362792969,-40.44753646850586,-46.348670959472656,-1.9021435976028442,-0.15811890363693237,-4.543931007385254,4.712588787078857,0.014419805258512497
83.45014190673828,-40.38414001464844,-44.57334518432617,-2.4727866649627686,-0.16530612111091614,-4.42170524597168,4.597472190856934,0.014419805258512497
84.49922943115234,-34.266292572021484,-49.26527786254883,1.7436316013336182,-0.16530612111091614,-4.378566741943359,4.554303169250488,0.0072099026292562485
83.5455093383789,-35.78782653808594,-44.953773498535156,5.008978366851807,-0.16530612111091614,-4.20601224899292,4.381628513336182,0.014419805258512497
82.94149017333984,-30.52584457397461,-52.181884765625,-0.031702395528554916,-0.1724933534860611,-4.069406509399414,4.237732410430908,0.014419805258512497
81.35196685791016,-32.744754791259766,-45.841434478759766,4.691954135894775,-0.16530612111091614,-3.789005756378174,3.9643304347991943,0.014419805258512497
80.0803451538086,-29.289594650268555,-48.44102096557617,4.501739978790283,-0.1724933534860611,-3.5661232471466064,3.7484867572784424,0.0
78.77693176269531,-33.822509765625,-43.019935607910156,3.1385369300842285,-0.17968057096004486,-3.23539400100708,3.4103314876556396,0.0072099026292562485
75.27997589111328,-31.540203094482422,-45.71462631225586,-3.6774775981903076,-0.1724933534860611,-2.95499324798584,3.129734516143799,0.014419805258512497
