17-220kVⅡ段母电压Ua_17,18-220kVⅡ段母电压Ub_18,19-220kVⅡ段母电压Uc_19,20-220kVⅡ段母电压3Uo_20,9-220kV抚常Ⅱ回线路电流Ia_9,10-220kV抚常Ⅱ回线路电流Ib_10,11-220kV抚常Ⅱ回线路电流Ic_11,12-220kV抚常Ⅱ回线路电流3Io_12
28.36843490600586,56.25905227661133,-84.59565734863281,0.18644985556602478,0.10789922624826431,0.017263876274228096,-0.11653116345405579,0.0
22.913862228393555,60.712989807128906,-83.54073333740234,0.2719060480594635,0.10789922624826431,0.02589581348001957,-0.10789922624826431,0.0
17.397130966186523,64.60921478271484,-81.98161315917969,0.23306232690811157,0.0949513167142868,0.030211782082915306,-0.12084712833166122,0.0
12.097960472106934,68.06392669677734,-80.135498046875,0.2252935767173767,0.09063535183668137,0.043159689754247665,-0.1294790655374527,-0.004315969068557024
6.596768379211426,71.4876480102539,-78.07218933105469,0.23306232690811157,0.07768744230270386,0.056107595562934875,-0.1294790655374527,-0.004315969068557024
1.468538522720337,74.36914825439453,-75.95458221435547,0.023306231945753098,0.07768744230270386,0.06042356416583061,-0.1294790655374527,0.0
-3.8927927017211914,77.1422119140625,-73.46464538574219,-0.13206864893436432,0.06905550509691238,0.06473953276872635,-0.1294790655374527,0.0
-9.425065040588379,79.74485778808594,-70.52481842041016,-0.09322492778301239,0.06473953276872635,0.07337146997451782,-0.1424269825220108,0.008631938137114048
-14.444514274597168,81.65037536621094,-67.30574798583984,0.062149953097105026,0.06473953276872635,0.08200341463088989,-0.13811101019382477,0.008631938137114048
-21.709505081176758,49.82988739013672,-30.13516616821289,-1.2585365772247314,0.07337146997451782,1.6141724586486816,-1.6745959520339966,0.030211782082915306
-21.748355865478516,31.464170455932617,-4.5997819900512695,8.18825626373291,-0.05179162696003914,3.202449083328247,-3.211081027984619,-0.05179162696003914
-29.8913631439209,34.469608306884766,-8.547992706298828,-6.618969917297363,-0.11653116345405579,4.721670150756836,-4.708722114562988,-0.08200341463088989
-31.725093841552734,22.92035484313965,12.566015243530273,11.054923057556152,-0.11653116345405579,4.959048271179199,-4.941784381866455,-0.08200341463088989
-30.33425521850586,18.249528884887695,28.630346298217773,30.95067596435547,-0.19853457808494568,6.521429061889648,-6.448057651519775,-0.11221519112586975
-45.88988494873047,2.4244916439056396,39.28818893432617,-10.246973991394043,-0.2028505504131317,7.268091678619385,-7.229248046875,-0.16400682926177979
-53.12379837036133,15.1743745803833,30.670385360717773,-14.814994812011719,-0.24601022899150848,8.770049095153809,-8.700993537902832,-0.15969085693359375
-49.98469924926758,18.590351104736328,37.395530700683594,9.524480819702148,-0.3323296010494232,10.043259620666504,-9.88356876373291,-0.16832278668880463
-62.10597229003906,30.51141357421875,24.705406188964844,-11.98717212677002,-0.36254140734672546,11.018669128417969,-10.858978271484375,-0.18127070367336273
-61.84178924560547,33.55558395385742,28.68464469909668,2.1907858848571777,-0.3927531838417053,11.018669128417969,-10.837398529052734,-0.19421860575675964
-64.18833923339844,43.77252960205078,23.766834259033203,7.279313087463379,-0.4057011008262634,12.278931617736816,-12.093344688415527,-0.1899026334285736
-70.8395004272461,42.55641174316406,30.879817962646484,4.902077674865723,-0.4143330156803131,12.840007781982422,-12.64578914642334,-0.19421860575675964
-75.50152587890625,45.21328353881836,28.816509246826172,-2.3150858879089355,-0.46612465381622314,13.918999671936035,-13.698885917663574,-0.2114824801683426
-75.49375915527344,40.42626953125,31.888202667236328,-6.657813549041748,-0.4833885133266449,14.160694122314453,-13.918999671936035,-0.20716650784015656
-78.81156921386719,40.650901794433594,32.617340087890625,-10.44896125793457,-0.5092843174934387,14.980728149414062,-14.721770286560059,-0.19853457808494568
-80.0703125,41.51845169067383,37.12404251098633,-2.330623149871826,-0.5179162621498108,14.799457550048828,-14.531867980957031,-0.19853457808494568
-80.49766540527344,41.402259826660156,38.659889221191406,0.5049683451652527,-0.5092843174934387,15.334637641906738,-15.075679779052734,-0.19853457808494568
-83.13948059082031,39.79884338378906,43.26742935180664,1.5149050951004028,-0.5222322344779968,15.459800720214844,-15.192211151123047,-0.19421860575675964
-83.81547546386719,38.41231155395508,45.62549591064453,1.3439927101135254,-0.5351801514625549,15.787814140319824,-15.502960205078125,-0.19421860575675964
