1-110kV母线Ⅰ段电压Ua_1,2-110kV母线Ⅰ段电压Ub_2,3-110kV母线Ⅰ段电压Uc_3,4-110kV母线Ⅰ段电压3Uo_4,37-110kV普罗线路电流Ia_37,38-110kV普罗线路电流Ib_38,39-110kV普罗线路电流Ic_39,40-110kV普罗线路电流3Io_40
77.7790756225586,-10.313876152038574,-67.27295684814453,0.09491847455501556,0.24665102362632751,0.035267770290374756,-0.2819194793701172,0.0
75.36830139160156,-4.935474395751953,-70.34233093261719,0.0,0.24665102362632751,0.035267770290374756,-0.24667954444885254,-0.035301573574543
72.67204284667969,0.5378401875495911,-73.19019317626953,-0.09491847455501556,0.24665102362632751,0.035267770290374756,-0.2819194793701172,0.0
69.88062286376953,6.106067657470703,-75.97477722167969,-0.2531159222126007,0.2114151567220688,0.07053554058074951,-0.31715941429138184,-0.035301573574543
66.77200317382812,11.452831268310547,-78.41128540039062,-0.4745923578739166,0.2114151567220688,0.07053554058074951,-0.31715941429138184,0.0
63.2827262878418,16.862871170043945,-80.37315368652344,-0.5378713607788086,0.2114151567220688,0.10580331087112427,-0.31715941429138184,-0.035301573574543
59.793453216552734,22.01980972290039,-82.17680358886719,-0.6960687637329102,0.17617930471897125,0.14107108116149902,-0.3523993492126465,-0.035301573574543
55.986976623535156,27.050195693969727,-83.44252014160156,-0.7593477964401245,0.17617930471897125,0.14107108116149902,-0.31715941429138184,-0.035301573574543
51.95845031738281,31.98567008972168,-84.2652359008789,-0.569510817527771,0.17617930471897125,0.17633885145187378,-0.3523993492126465,0.035301573574543
47.771324157714844,36.76295852661133,-84.67659759521484,-0.3163948953151703,0.1057075783610344,0.17633885145187378,-0.3523993492126465,0.0
43.42559051513672,41.35041809082031,-84.866455078125,-0.18983694911003113,0.1057075783610344,0.17633885145187378,-0.3523993492126465,-0.035301573574543
38.95297622680664,45.84296417236328,-84.866455078125,-0.15819744765758514,0.14094343781471252,0.21160662174224854,-0.3523993492126465,0.0
34.32176208496094,50.019134521484375,-84.5500259399414,-0.3480343818664551,0.07047171890735626,0.21160662174224854,-0.3523993492126465,0.0
29.56365966796875,54.19530487060547,-83.91716766357422,-0.3480343818664551,0.03523585945367813,0.2468743920326233,-0.31715941429138184,-0.035301573574543
24.678678512573242,57.96018600463867,-82.80966186523438,-0.37967389822006226,0.03523585945367813,0.2468743920326233,-0.3523993492126465,-0.035301573574543
19.730253219604492,61.56687927246094,-81.51229858398438,-0.4745923578739166,0.03523585945367813,0.2468743920326233,-0.2819194793701172,0.0
14.432903289794922,65.14193725585938,-79.80358123779297,-0.41131338477134705,0.03523585945367813,0.3174099326133728,-0.31715941429138184,0.0
9.072110176086426,68.33734130859375,-77.49363708496094,-0.18983694911003113,-0.03523585945367813,0.28214216232299805,-0.2819194793701172,-0.035301573574543
3.647876501083374,71.40618896484375,-75.0254898071289,-0.09491847455501556,-0.03523585945367813,0.28214216232299805,-0.2819194793701172,-0.035301573574543
-1.9666812419891357,74.25357818603516,-72.17761993408203,0.09491847455501556,-0.03523585945367813,0.3174099326133728,-0.2819194793701172,0.0
-7.4543561935424805,76.87950897216797,-69.23482513427734,0.22147643566131592,-0.07047171890735626,0.28214216232299805,-0.2114396095275879,0.0
-12.87859058380127,79.18905639648438,-66.07052612304688,0.3163948953151703,-0.1057075783610344,0.3174099326133728,-0.24667954444885254,-0.035301573574543
-18.175941467285156,81.05567932128906,-62.6530876159668,0.2531159222126007,-0.1057075783610344,0.35267770290374756,-0.24667954444885254,0.0
-23.282968521118164,82.60591888427734,-59.39385986328125,-0.18983694911003113,-0.1057075783610344,0.3174099326133728,-0.2114396095275879,-0.035301573574543
-28.07278823852539,83.87142944335938,-55.533416748046875,0.3163948953151703,-0.14094343781471252,0.3174099326133728,-0.17619967460632324,0.0
-32.83089065551758,84.53582000732422,-51.388187408447266,0.37967389822006226,-0.14094343781471252,0.3174099326133728,-0.17619967460632324,-0.035301573574543
-37.5889892578125,84.820556640625,-47.11638641357422,0.09491847455501556,-0.17617930471897125,0.3174099326133728,-0.1409597396850586,-0.035301573574543
-42.22020721435547,84.8521957397461,-42.46487045288086,0.12655796110630035,-0.2114151567220688,0.3174099326133728,-0.1409597396850586,0.0
-46.56593704223633,84.53582000732422,-37.8133544921875,0.22147643566131592,-0.2114151567220688,0.28214216232299805,-0.1409597396850586,0.0
-50.816505432128906,84.09288787841797,-33.00362014770508,0.37967389822006226,-0.2114151567220688,0.35267770290374756,-0.1409597396850586,-0.035301573574543
-54.84503173828125,83.33358764648438,-28.22553253173828,0.2847554087638855,-0.24665102362632751,0.35267770290374756,-0.10571980476379395,-0.035301573574543
-58.651512145996094,82.25790405273438,-23.384157180786133,0.12655796110630035,-0.24665102362632751,0.28214216232299805,-0.0704798698425293,-0.035301573574543
-62.36282730102539,80.89749145507812,-18.352924346923828,0.15819744765758514,-0.24665102362632751,0.3174099326133728,-0.0704798698425293,0.0
-65.91554260253906,79.06250762939453,-12.973618507385254,0.18983694911003113,-0.28188687562942505,0.28214216232299805,-0.03523993492126465,0.035301573574543
-69.11933135986328,76.78459167480469,-7.49938440322876,0.18983694911003113,-0.24665102362632751,0.28214216232299805,0.0,-0.035301573574543
-72.10107421875,74.06375122070312,-1.9935072660446167,-0.2847554087638855,-0.28188687562942505,0.2468743920326233,0.0,0.0
-74.76560974121094,71.18473052978516,3.5123701095581055,-0.2531159222126007,-0.28188687562942505,0.2468743920326233,0.0,0.0
