Ua,Ub,Uc,3U0,Ia,Ib,Ic,3I0
-39.326904296875,87.94674682617188,-48.33760833740234,-0.0392360016703605,-0.0380939990282058,0.0233580004423856,0.0120230000466108,-0.0034630000591278
-44.125762939453125,88.2324447631836,-43.689453125,0.1019560024142265,-0.0458879992365837,0.0233580004423856,0.0171770006418228,-0.0017330000409856
-48.59148025512695,87.74835205078125,-38.69229507446289,0.054891999810934,-0.0380939990282058,0.0190329998731613,0.0154590001329779,-3.000000106112566e-06
-52.98580551147461,87.4150390625,-33.98068618774414,0.1333319991827011,-0.0432900004088878,0.0173029992729425,0.0171770006418228,0.0017269999952986
-57.51498031616211,86.6055679321289,-28.60279083251953,0.2666800022125244,-0.0424240007996559,0.0155729996040463,0.0154590001329779,-0.0008679999737069
-61.71100616455078,85.5103988647461,-23.51837921142578,0.0862680003046989,-0.0432900004088878,0.0103829996660351,0.0197540000081062,-3.000000106112566e-06
-65.36766052246094,83.65337371826172,-17.831134796142578,0.1882400065660476,-0.040692001581192,0.0121130002662539,0.024049000814557,0.0008619999862276
-69.11949157714844,81.78047943115234,-12.429443359375,-0.1176759973168373,-0.0415580011904239,0.0086529999971389,0.0249080006033182,-0.0017330000409856
-72.24470520019531,79.51871490478516,-6.948431015014648,0.0627359971404075,-0.0432900004088878,0.0112479999661445,0.0309209991246461,0.0008619999862276
-75.40164184570312,77.20140838623047,-1.586398959159851,-0.047079998999834,-0.0380939990282058,0.0008679999737069,0.0309209991246461,-0.0008679999737069
-78.24922943115234,74.74918365478516,3.791496992111206,0.0862680003046989,-0.0372279994189739,-0.0034570000134408,0.0360749997198581,-3.000000106112566e-06
-80.66055297851562,71.91603088378906,9.074209213256836,-0.0392360016703605,-0.040692001581192,0.002597999991849,0.0309209991246461,0.0034570000134408
-82.6356201171875,68.73369598388672,14.27760124206543,0.0156720001250505,-0.0311660002917051,0.0017330000409856,0.0309209991246461,0.0025919999461621
-84.28547668457031,64.9561538696289,19.639633178710938,-0.1176759973168373,-0.0311660002917051,-0.0086470004171133,0.0343570001423358,0.0017269999952986
-85.49907684326172,61.08338928222656,24.59713363647461,-0.2274920046329498,-0.0320320017635822,-0.0051870001479983,0.0386519990861415,-3.000000106112566e-06
-86.4826431274414,56.932861328125,29.71327209472656,-0.1333640068769455,-0.0320320017635822,-0.0077820001170039,0.0395109988749027,-3.000000106112566e-06
-87.03787994384766,52.56012344360352,34.480403900146484,-0.3216199874877929,-0.0303000006824731,-0.0069169998168945,0.0369339995086193,-3.000000106112566e-06
-87.14893341064453,47.82233428955078,39.54101943969727,-0.2118040025234222,-0.0251039993017911,-0.0112420003861188,0.0420879982411861,0.0017269999952986
-86.89510345458984,42.80678176879883,44.086055755615234,-0.4785000085830688,-0.0251039993017911,-0.0112420003861188,0.0395109988749027,-3.000000106112566e-06
-86.58576202392578,37.83090972900391,48.83732604980469,-0.2431800067424774,-0.0259700007736682,-0.0138370003551244,0.0386519990861415,0.0017269999952986
-86.06224822998047,32.894718170166016,53.30303955078125,-0.3216199874877929,-0.0242379996925592,-0.0121069997549057,0.0377929992973804,-3.000000106112566e-06
-85.16593170166016,27.87122917175293,57.53873062133789,-0.0313920006155967,-0.0164439994841814,-0.01643200032413,0.0360749997198581,0.0008619999862276
-84.01579284667969,22.39538955688477,61.84580612182617,-0.1961160004138946,-0.0190420001745224,-0.0181620009243488,0.0386519990861415,-3.000000106112566e-06
