110kV I母电压_A相_1,110kV I母电压_B相_2,110kV I母电压_C相_3,110kV I母电压_3U0_4,盐江Ⅰ回线159_A相_37,盐江Ⅰ回线159_B相_38,盐江Ⅰ回线159_C相_39,盐江Ⅰ回线159_3I0_40
-81.71461486816406,20.664609909057617,60.53567123413086,-0.5578451156616211,-0.9344059824943542,0.13906967639923096,0.4258834719657898,-0.0370415598154068
-72.61438751220703,-2.0178260803222656,74.27784729003906,-0.27892255783081055,-0.8418905138969421,-0.0927131175994873,0.5555002093315125,-0.0463019497692585
-59.859493255615234,-23.09634780883789,81.43243408203125,-1.2086644172668457,-0.712368905544281,-0.3152245879173279,0.6758585572242737,-0.0185207799077034
-40.26381301879883,-43.8437385559082,84.77262115478516,1.7975009679794312,-0.5365895628929138,-0.5284647345542908,0.740666925907135,-0.0185207799077034
-20.57442283630371,-60.91765213012695,79.99945831298828,-1.9989449977874756,-0.3700617849826813,-0.7509762644767761,0.7499252557754517,-0.0370415598154068
2.4156205654144287,-74.49400329589844,72.6180648803711,1.5960569381713867,-0.12952162325382233,-0.8900459408760071,0.6851168870925903,-0.0370415598154068
22.729740142822266,-83.5897445678711,58.8243408203125,-2.897695541381836,0.10176698863506317,-1.001301646232605,0.5647585391998291,-0.0277811698615551
44.52238464355469,-84.47965240478516,40.32962417602539,1.3016386032104492,0.3330555856227875,-1.075472116470337,0.3888501226902008,-0.0185207799077034
60.52587127685547,-81.98583221435547,20.2060489654541,-1.6580396890640259,0.5273380279541016,-1.1125574111938477,0.22220008075237274,0.0092603899538517
75.38401794433594,-72.8797378540039,-2.072150945663452,1.23965585231781,0.6846143007278442,-1.0198442935943604,-0.018516672775149345,-0.0277811698615551
82.5475845336914,-60.36922073364258,-23.26788330078125,-0.9142462015151978,0.7678781747817993,-0.9085885286331177,-0.2499750852584839,-0.0185207799077034
85.23392486572266,-40.832523345947266,-43.53578567504883,1.905970811843872,0.8233874440193176,-0.7231622934341431,-0.4814334809780121,-0.0092603899538517
81.19400787353516,-20.58182716369629,-60.83463668823242,-0.2324354648590088,0.8603936433792114,-0.5191934704780579,-0.6758585572242737,0.0
72.7601547241211,1.7487826347351074,-74.44279479980469,0.27892255783081055,0.7586266398429871,-0.3059532940387726,-0.814733624458313,-0.0185207799077034
59.40135955810547,22.930784225463867,-82.51490020751953,-0.13946127891540527,0.6568596363067627,-0.08344180136919022,-0.9258336424827576,-0.0185207799077034
40.33669662475586,43.60573959350586,-84.514892578125,-0.6973063945770264,0.4810802936553955,0.14834098517894745,-0.9813836812973022,-0.0185207799077034
20.43906593322754,60.82452392578125,-80.95821380615234,0.681810736656189,0.2867978811264038,0.36158114671707153,-1.0184170007705688,-0.0092603899538517
-2.3635597229003906,74.26634979248047,-72.63867950439453,-0.9917246699333191,0.06476081162691116,0.4913795292377472,-0.9350919723510742,-0.0185207799077034
-23.17746353149414,82.72052764892578,-59.53567886352539,1.0382118225097656,-0.1757793426513672,0.6119065880775452,-0.8239919543266296,-0.0277811698615551
-44.657745361328125,85.23504638671875,-40.381168365478516,0.5113580226898193,-0.39781641960144043,0.6860770583152771,-0.6573418974876404,-0.0185207799077034
-60.73411560058594,81.11660766601562,-20.47408676147461,-0.12396558374166489,-0.6013503670692444,0.7231622934341431,-0.4629168212413788,-0.0277811698615551
-75.352783203125,72.93148040771484,2.0824601650238037,-0.49586233496665955,-0.7586266398429871,0.6304491758346558,-0.24071674048900604,-0.0185207799077034
-83.27643585205078,60.24504470825195,22.752422332763672,-0.40288814902305603,-0.8418905138969421,0.5099221467971802,0.009258336387574673,0.0
-84.9007339477539,40.80147933959961,43.4842414855957,-0.8987504839897156,-0.8973997831344604,0.35230985283851624,0.2129417359828949,-0.0277811698615551
-81.7874984741211,20.78878402709961,60.432579040527344,-0.6508193016052246,-0.9159029126167297,0.13906967639923096,0.4073668122291565,-0.0277811698615551
-72.6768569946289,-1.7384347915649414,74.07166290283203,-0.20144407451152802,-0.8603936433792114,-0.07417049258947372,0.5647585391998291,-0.0092603899538517
-60.078147888183594,-22.868696212768555,81.43243408203125,-1.162177324295044,-0.7216204404830933,-0.3059532940387726,0.666600227355957,-0.0277811698615551
-40.409584045410156,-43.7506103515625,84.8757095336914,1.843988060951233,-0.5643442273139954,-0.5470073819160461,0.7221502661705017,-0.0463019497692585
-20.75143051147461,-60.78313064575195,80.0510025024414,-1.9679536819458008,-0.3515586853027344,-0.7324336171150208,0.7499252557754517,-0.0185207799077034
2.2073774337768555,-74.40087127685547,72.74177551269531,1.5960569381713867,-0.13877315819263458,-0.8807746171951294,0.694375216960907,-0.0277811698615551
22.500673294067383,-83.60009002685547,59.00990676879883,-2.897695541381836,0.08326389640569687,-1.010572910308838,0.5647585391998291,-0.0185207799077034
44.397438049316406,-84.52104949951172,40.54611587524414,1.3171343803405762,0.3238040506839752,-1.075472116470337,0.41662514209747314,-0.0185207799077034
60.40092468261719,-82.03756713867188,20.329757690429688,-1.6735353469848633,0.5180864930152893,-1.1218286752700806,0.20368340611457825,-0.0277811698615551
75.20701599121094,-72.89009094238281,-1.9278218746185303,1.23965585231781,0.666111171245575,-1.0198442935943604,-0.027775010094046593,-0.0370415598154068
82.51634979248047,-60.54513168334961,-23.092626571655273,-0.8987504839897156,0.7678781747817993,-0.8900459408760071,-0.25923341512680054,-0.0092603899538517
85.33804321289062,-41.03947830200195,-43.422386169433594,1.921466588973999,0.8418905138969421,-0.7231622934341431,-0.4629168212413788,-0.0277811698615551
