500kV阿科#1线_9,500kV阿科#1线_10,500kV阿科#1线_11,500kV阿科#1线_12,阿科1线_33,阿科1线_34,阿科1线_35,阿科1线_36
83.84132385253906,-53.2583122253418,-30.115751266479492,-0.9387590289115906,-0.036793000996112823,0.03870899975299835,-0.006000999826937914,-7.000000096013537e-06
84.5256118774414,-48.79607009887695,-35.188385009765625,-0.9387590289115906,-0.036793000996112823,0.031828999519348145,0.0008629999938420951,-0.006910999771207571
84.89983367919922,-44.21626281738281,-40.117000579833984,-0.8605290055274963,-0.04730499908328056,0.031828999519348145,-0.0025690000038594007,-0.013814999721944332
85.07625579833984,-39.39063262939453,-45.05095291137695,-0.9309359788894653,-0.04730499908328056,0.031828999519348145,-0.0025690000038594007,-0.006910999771207571
84.74480438232422,-34.65050506591797,-49.568851470947266,-0.8448830246925354,-0.04730499908328056,0.03526899963617325,-0.006000999826937914,-0.006910999771207571
84.1834716796875,-29.776775360107422,-53.79337692260742,-0.7588300108909607,-0.04730499908328056,0.02838899940252304,0.0008629999938420951,-0.010363000445067883
83.09288787841797,-25.07405662536621,-57.50584030151367,-0.743183970451355,-0.043800998479127884,0.031828999519348145,0.0008629999938420951,-0.010363000445067883
81.74034881591797,-20.184295654296875,-61.079620361328125,-0.672776997089386,-0.04730499908328056,0.024948999285697937,0.004294999875128269,-0.006910999771207571
80.01358795166016,-15.219719886779785,-64.34403228759766,-0.6962460279464722,-0.04730499908328056,0.024948999285697937,0.007726999931037426,-0.006910999771207571
78.01419067382812,-9.907784461975098,-67.61376953125,-0.6649540066719055,-0.043800998479127884,0.01806900091469288,0.018022999167442322,-7.000000096013537e-06
75.68867492675781,-4.472936153411865,-70.72349548339844,-0.7197149991989136,-0.043800998479127884,0.01806900091469288,0.018022999167442322,-7.000000096013537e-06
73.11724853515625,1.09551203250885,-73.7372055053711,-0.6884229779243469,-0.04730499908328056,0.01806900091469288,0.01459100004285574,-0.006910999771207571
70.44425201416016,6.530360221862793,-76.46287536621094,-0.7353609800338745,-0.04730499908328056,0.01806900091469288,0.018022999167442322,-0.010363000445067883
67.36495208740234,11.858327865600586,-78.7458267211914,-0.6180160045623779,-0.04730499908328056,0.011188999749720097,0.018022999167442322,-0.006910999771207571
64.07716369628906,17.031320571899414,-80.71941375732422,-0.4928480088710785,-0.04730499908328056,0.004308999981731176,0.024886999279260635,-0.010363000445067883
60.340309143066406,22.14018440246582,-82.15959167480469,-0.2503350079059601,-0.0402970016002655,0.004308999981731176,0.024886999279260635,-0.006910999771207571
56.40565490722656,27.190263748168945,-83.40241241455078,-0.17210499942302704,-0.043800998479127884,0.0008689999813213944,0.028318999335169792,-0.010363000445067883
52.15558624267578,32.12812042236328,-84.21318054199219,0.007823999971151352,-0.036793000996112823,-0.0025710000190883875,0.028318999335169792,-0.010363000445067883
47.675636291503906,37.215606689453125,-84.83192443847656,-0.054760001599788666,-0.0402970016002655,-0.0025710000190883875,0.03175099939107895,-0.010363000445067883
42.97115707397461,42.23896789550781,-85.0132827758789,0.015646999701857567,-0.036793000996112823,-0.0025710000190883875,0.03175099939107895,-0.006910999771207571
38.165103912353516,47.224918365478516,-85.17330169677734,-0.21904300153255463,-0.0402970016002655,-0.009451000019907951,0.035183001309633255,-0.006910999771207571
33.25212860107422,51.67112731933594,-84.7252426147461,-0.3129189908504486,-0.0402970016002655,-0.012891000136733055,0.03175099939107895,-0.006910999771207571
28.47280502319336,55.839447021484375,-83.97315216064453,-0.48502498865127563,-0.033289000391960144,-0.012891000136733055,0.035183001309633255,-0.006910999771207571
23.666751861572266,59.50008773803711,-82.68231964111328,-0.672776997089386,-0.026280999183654785,-0.012891000136733055,0.03861499950289726,-0.006910999771207571
18.705663681030273,62.98971939086914,-81.2528076171875,-0.6180160045623779,-0.026280999183654785,-0.023211000487208366,0.035183001309633255,-0.010363000445067883
13.5895414352417,66.16940307617188,-79.3432388305664,-0.6884229779243469,-0.026280999183654785,-0.023211000487208366,0.03175099939107895,-0.010363000445067883
8.211464881896973,69.42923736572266,-77.16162872314453,-0.6180160045623779,-0.026280999183654785,-0.023211000487208366,0.035183001309633255,-0.006910999771207571
2.705085039138794,72.44325256347656,-74.71865844726562,-0.657131016254425,-0.022777000442147255,-0.023211000487208366,0.035183001309633255,-0.010363000445067883
-2.886831045150757,75.4038314819336,-72.00898742675781,-0.7040690183639526,-0.022777000442147255,-0.030091000720858574,0.04204700142145157,-0.010363000445067883
-8.345096588134766,77.94757843017578,-69.05928802490234,-0.9231129884719849,-0.022777000442147255,-0.030091000720858574,0.04204700142145157,-0.006910999771207571
-13.64832878112793,80.18671417236328,-65.86955261230469,-1.048280954360962,-0.019272999837994576,-0.030091000720858574,0.03175099939107895,-0.006910999771207571
-18.73237419128418,81.91282653808594,-62.317108154296875,-1.322085976600647,-0.015768999233841896,-0.030091000720858574,0.03175099939107895,-0.006910999771207571
-23.7415771484375,83.1365966796875,-58.524635314941406,-1.3455549478530884,-0.012264999561011791,-0.03697099909186363,0.028318999335169792,-0.010363000445067883
-28.702665328979492,84.13058471679688,-54.52413558959961,-1.4394309520721436,-0.008760999888181686,-0.03697099909186363,0.028318999335169792,-0.006910999771207571
-33.80274963378906,84.80392456054688,-50.166259765625,-1.3533780574798584,-0.005257000215351582,-0.03697099909186363,0.028318999335169792,-0.006910999771207571
-38.84402847290039,85.27420043945312,-45.637691497802734,-1.1734490394592285,0.0017509999452158809,-0.04385099932551384,0.03175099939107895,-0.006910999771207571
