17-宝峰玉溪I回线电压Ua_17,18-宝峰玉溪I回线电压Ub_18,19-宝峰玉溪I回线电压Uc_19,20-宝峰玉溪I回线电压3Uo_20,25-宝峰玉溪I回线路电流Ia_25,26-宝峰玉溪I回线路电流Ib_26,27-宝峰玉溪I回线路电流Ic_27,28-宝峰玉溪I回线路电流3Io_28
-0.2797003984451294,76.42036437988281,-76.10958862304688,0.4972451627254486,-0.04834327846765518,0.16229529678821564,-0.11049892008304596,-0.0069061825051903725
-13.736397743225098,82.32514953613281,-68.2779769897461,0.9012568593025208,-0.06560873240232468,0.15884220600128174,-0.09323346614837646,-0.0034530912525951862
-27.09986114501953,86.14772033691406,-58.79924011230469,0.7147899270057678,-0.08632728457450867,0.15538911521434784,-0.06560873240232468,-0.0069061825051903725
-39.90392303466797,87.95023345947266,-48.04631423950195,0.3418560326099396,-0.10704582929611206,0.14502982795238495,-0.04489018768072128,-0.0069061825051903725
-51.55810546875,87.54622650146484,-35.98811721801758,0.37293386459350586,-0.12431128323078156,0.13812364637851715,-0.017265455797314644,-0.010359274223446846
-62.21780014038086,85.09107971191406,-22.997589111328125,0.37293386459350586,-0.13467055559158325,0.12776437401771545,0.0034530912525951862,-0.0069061825051903725
-71.57222747802734,80.55371856689453,-9.447657585144043,-0.21754474937915802,-0.13812364637851715,0.11740510165691376,0.02417163923382759,-0.0069061825051903725
-78.96874237060547,73.93413543701172,4.071194648742676,-1.0566459894180298,-0.14502982795238495,0.10013964772224426,0.04489018768072128,-0.0069061825051903725
-84.06550598144531,65.41881561279297,17.43465805053711,-1.3674241304397583,-0.14157673716545105,0.07596801221370697,0.06215564161539078,-0.0069061825051903725
-87.11113739013672,55.380680084228516,30.580577850341797,-1.2741906642913818,-0.13812364637851715,0.04834327846765518,0.08632728457450867,-0.0069061825051903725
-87.98131561279297,44.006195068359375,43.0117073059082,-1.087723731994629,-0.13121746480464935,0.02762473002076149,0.10359273850917816,-0.0069061825051903725
-86.6760482788086,31.543989181518555,54.38618850708008,-0.8701789975166321,-0.12431128323078156,0.0,0.11740510165691376,-0.0069061825051903725
-83.38179779052734,18.2426815032959,64.6729507446289,-0.6526342630386353,-0.11740510165691376,-0.020718548446893692,0.13467055559158325,-0.0069061825051903725
-78.2228775024414,4.568439960479736,73.37474060058594,-0.4972451627254486,-0.10013964772224426,-0.04489018768072128,0.14157673716545105,-0.0034530912525951862
-70.98174285888672,-8.888257026672363,79.99431610107422,-0.18646693229675293,-0.08632728457450867,-0.06560873240232468,0.14848291873931885,-0.0034530912525951862
-61.87594223022461,-22.31387710571289,84.56275177001953,0.2486225813627243,-0.06215564161539078,-0.08978037536144257,0.14157673716545105,0.0
-51.27840805053711,-35.33548355102539,87.0800552368164,0.2797003984451294,-0.03453091159462929,-0.10704582929611206,0.14157673716545105,0.0
-39.49991226196289,-47.455833435058594,87.39083862304688,0.12431129068136215,-0.013812365010380745,-0.12776437401771545,0.13467055559158325,0.0034530912525951862
-26.602615356445312,-58.61277389526367,85.71263122558594,0.3107782304286957,0.013812365010380745,-0.14157673716545105,0.13121746480464935,0.0034530912525951862
-13.021607398986816,-68.55767822265625,81.95221710205078,0.2486225813627243,0.02762473002076149,-0.15538911521434784,0.12085819244384766,0.0069061825051903725
0.5283229947090149,-76.57575225830078,76.04743194580078,-0.4661673307418823,0.04834327846765518,-0.15884220600128174,0.10704582929611206,0.0069061825051903725
13.860708236694336,-82.5116195678711,68.2158203125,-1.1188015937805176,0.06906182318925858,-0.15884220600128174,0.08978037536144257,0.0034530912525951862
27.255250930786133,-86.36526489257812,58.737083435058594,-0.8701789975166321,0.08978037536144257,-0.15538911521434784,0.06215564161539078,0.0
40.090389251708984,-88.10562896728516,47.922000885009766,-0.3107782304286957,0.11049892008304596,-0.15193602442741394,0.037984006106853485,0.0034530912525951862
51.74457550048828,-87.60838317871094,35.925960540771484,-0.2486225813627243,0.12085819244384766,-0.14157673716545105,0.017265455797314644,0.0069061825051903725
62.31103515625,-85.09107971191406,22.93543243408203,-0.18646693229675293,0.13467055559158325,-0.13121746480464935,-0.0069061825051903725,0.0069061825051903725
71.7586898803711,-80.55371856689453,9.354424476623535,0.43508949875831604,0.14502982795238495,-0.12085819244384766,-0.03107782080769539,0.0034530912525951862
79.09305572509766,-73.90306091308594,-4.257661819458008,0.9323346614837646,0.14848291873931885,-0.10013964772224426,-0.04834327846765518,0.0069061825051903725
84.09658813476562,-65.35665893554688,-17.68328094482422,1.1188015937805176,0.14502982795238495,-0.07596801221370697,-0.06906182318925858,0.0034530912525951862
87.04898071289062,-55.287445068359375,-30.79812240600586,1.1188015937805176,0.14157673716545105,-0.04834327846765518,-0.08978037536144257,0.0034530912525951862
87.91915893554688,-43.850807189941406,-43.136016845703125,1.1188015937805176,0.13467055559158325,-0.02417163923382759,-0.10704582929611206,0.0034530912525951862
