1-220kVⅠ母Ua_1,2-220kVⅠ母Ub_2,3-220kVⅠ母Uc_3,4-220kVⅠ母3Uo_4,37-220kV抚常Ⅱ回线252  Ia_37,38-220kV抚常Ⅱ回线252  Ib_38,39-220kV抚常Ⅱ回线252  Ic_39,40-220kV抚常Ⅱ回线252  3Io_40
-70.34815979003906,78.2806396484375,-7.9156575202941895,0.03121260739862919,0.01901683211326599,-0.044975396245718,0.022484401240944862,-0.003462146269157529
-73.24452209472656,75.91559600830078,-2.7868733406066895,-0.17947249114513397,0.02074563503265381,-0.044975396245718,0.020754830911755562,0.003462146269157529
-76.06282043457031,73.41785430908203,2.552682399749756,-0.18727564811706543,0.022474437952041626,-0.043245576322078705,0.01902526244521141,-0.0017310731345787644
-78.69375610351562,70.70156860351562,7.853206634521484,-0.2497008591890335,0.02593204379081726,-0.04151575267314911,0.01729569211602211,0.0
-80.73916625976562,67.43889617919922,13.060053825378418,-0.37455129623413086,0.022474437952041626,-0.03805610537528992,0.013836554251611233,0.0017310731345787644
-82.58160400390625,63.801570892333984,18.516704559326172,-0.4291733503341675,0.027660846710205078,-0.03978592902421951,0.012106984853744507,0.0017310731345787644
-83.88536071777344,59.930076599121094,23.653295516967773,-0.5072048902511597,0.029389649629592896,-0.03978592902421951,0.006918277125805616,-0.0017310731345787644
-84.6816635131836,55.76197814941406,28.649372100830078,-0.4603859484195709,0.03284725546836853,-0.03632628172636032,0.010377415455877781,0.0
-85.18130493164062,51.359718322753906,33.54396438598633,-0.4603859484195709,0.031118452548980713,-0.03632628172636032,0.003459138562902808,0.0
-85.47016143798828,47.121368408203125,38.102882385253906,-0.3823544383049011,0.03284725546836853,-0.03286663815379143,0.001729569281451404,0.0017310731345787644
-85.58726501464844,42.578609466552734,42.786705017089844,-0.37455129623413086,0.03284725546836853,-0.03113681450486183,-0.001729569281451404,0.0
-85.44673919677734,37.684608459472656,47.46271896362305,-0.47599226236343384,0.031118452548980713,-0.03113681450486183,-0.001729569281451404,0.0
-84.75973510742188,32.80621337890625,51.701576232910156,-0.4057638943195343,0.036304861307144165,-0.02767716720700264,-0.006918277125805616,0.0
-83.66676330566406,27.41266441345215,56.08094787597656,-0.2731103003025055,0.036304861307144165,-0.029406990855932236,-0.008647846058011055,0.0
-82.30835723876953,22.011306762695312,60.16368103027344,-0.2340945601463318,0.03803366422653198,-0.025947345420718193,-0.012106984853744507,0.0017310731345787644
-80.89530944824219,16.758255004882812,63.96538162231445,-0.2887166142463684,0.03803366422653198,-0.022487698122859,-0.013836554251611233,0.0017310731345787644
-79.24024200439453,11.232010841369629,67.80611419677734,-0.35894498229026794,0.03803366422653198,-0.022487698122859,-0.01729569211602211,0.0017310731345787644
-77.29631805419922,6.033596038818359,71.09259796142578,-0.29651975631713867,0.03803366422653198,-0.01902805268764496,-0.020754830911755562,0.0
-74.75907135009766,0.8742079734802246,73.85604858398438,-0.06242521479725838,0.0397624671459198,-0.017298230901360512,-0.022484401240944862,0.0
-72.17498016357422,-4.488121032714844,76.72879028320312,0.10924412310123444,0.0397624671459198,-0.01383858360350132,-0.024213969707489014,0.003462146269157529
-69.23957824707031,-9.678730964660645,78.96922302246094,0.07022836804389954,0.036304861307144165,-0.008649115450680256,-0.027673108503222466,0.0017310731345787644
-65.71084594726562,-15.072281837463379,80.9364242553711,0.20288194715976715,0.036304861307144165,-0.008649115450680256,-0.029402678832411766,0.0
-62.11966323852539,-20.41119384765625,82.82556915283203,0.4681891202926636,0.036304861307144165,-0.00691929180175066,-0.029402678832411766,0.0017310731345787644
-58.14594268798828,-25.601804733276367,84.0745849609375,0.5072048902511597,0.03457605838775635,-0.00345964590087533,-0.03286181762814522,0.0017310731345787644
-53.852134704589844,-30.745582580566406,84.95670318603516,0.5852363705635071,0.03457605838775635,0.001729822950437665,-0.03632095456123352,0.0017310731345787644
-49.46464538574219,-35.53030776977539,85.3470230102539,0.5384174585342407,0.03284725546836853,0.00345964590087533,-0.03459138423204422,0.0017310731345787644
-45.14741897583008,-40.010623931884766,85.51876068115234,0.5618269443511963,0.029389649629592896,0.008649115450680256,-0.03632095456123352,0.003462146269157529
-40.62721252441406,-44.53777313232422,85.48754119873047,0.5150080323219299,0.031118452548980713,0.00691929180175066,-0.03632095456123352,0.003462146269157529
-35.740081787109375,-49.04150390625,85.04257202148438,0.39796075224876404,0.02593204379081726,0.01383858360350132,-0.03805052489042282,0.003462146269157529
-30.759265899658203,-53.42034912109375,84.33219909667969,0.18727564811706543,0.027660846710205078,0.01383858360350132,-0.03978009521961212,0.0017310731345787644
-25.356876373291016,-58.00994110107422,83.39543151855469,-0.007803151849657297,0.027660846710205078,0.01383858360350132,-0.041509661823511124,0.0017310731345787644
-20.08720588684082,-61.96729278564453,82.052734375,-0.08583466708660126,0.024203240871429443,0.01902805268764496,-0.044968802481889725,0.0017310731345787644
-14.747272491455078,-65.7529296875,80.4680404663086,-0.14825987815856934,0.027660846710205078,0.01902805268764496,-0.041509661823511124,0.0017310731345787644
-9.20435905456543,-69.53855895996094,78.57890319824219,-0.35894498229026794,0.022474437952041626,0.024217521771788597,-0.044968802481889725,0.0017310731345787644
-4.176702499389648,-72.3485107421875,76.4321517944336,-0.21848824620246887,0.017288029193878174,0.029406990855932236,-0.044968802481889725,0.0
1.202265739440918,-75.29896545410156,74.02778625488281,-0.13265357911586761,0.015559226274490356,0.025947345420718193,-0.044968802481889725,0.0
