220kVⅡ母电压_A相_1,220kVⅡ母电压_B相_2,220kVⅡ母电压_C相_3,220kVⅡ母电压_3U0_4,宝江I回228断路器_A相_17,宝江I回228断路器_B相_18,宝江I回228断路器_C相_19,宝江I回228断路器_3I0_20
-55.93958282470703,-28.952312469482422,85.52947235107422,1.41246497631073,-0.10535833984613419,-0.03233258053660393,0.13881860673427582,0.0018976266728714108
-35.68649673461914,-48.69063186645508,84.33477783203125,0.10865114629268646,-0.07470864057540894,-0.0665670782327652,0.13691698014736176,0.0037952533457428217
-15.171476364135742,-65.38188934326172,80.9896469116211,0.760558009147644,-0.038312122225761414,-0.09509582817554474,0.13121210038661957,0.0018976266728714108
7.543828010559082,-78.8180923461914,70.98541259765625,-0.3259534537792206,0.0019156062044203281,-0.11791882663965225,0.12170398235321045,0.0037952533457428217
29.29520034790039,-86.06656646728516,56.41018295288086,-0.496690958738327,0.042143337428569794,-0.1331341564655304,0.0931796133518219,0.005692880135029554
48.678646087646484,-85.31780242919922,36.73414611816406,0.3104318380355835,0.06896182149648666,-0.13693799078464508,0.06845849007368088,0.0037952533457428217
65.4112777709961,-81.35558319091797,15.51020336151123,-0.496690958738327,0.1034427359700203,-0.1331341564655304,0.03422924503684044,0.0018976266728714108
78.67584228515625,-71.3824234008789,-7.116201400756836,0.6363853216171265,0.122598797082901,-0.11791882663965225,0.0019016247242689133,0.007590506691485643
85.90534210205078,-56.69827651977539,-28.72452163696289,1.1796410083770752,0.1455860733985901,-0.09699773788452148,-0.04183574393391609,0.0018976266728714108
84.98332214355469,-36.48157501220703,-48.494056701660156,0.07760795950889587,0.14750167727470398,-0.0665670782327652,-0.0779666155576706,-0.0018976266728714108
80.9389877319336,-15.464112281799316,-65.23011779785156,0.48116937279701233,0.1417548656463623,-0.028528748080134392,-0.10649098455905914,-0.0018976266728714108
71.21583557128906,7.2692766189575195,-78.33016204833984,0.35699662566185,0.13217683136463165,0.009509582072496414,-0.1293104737997055,0.0037952533457428217
56.191043853759766,28.9315128326416,-85.77880096435547,-0.9002523422241211,0.10918955504894257,0.04754791408777237,-0.14642509818077087,0.0018976266728714108
35.69697570800781,48.71143341064453,-84.77110290527344,-0.15521591901779175,0.07470864057540894,0.07797857373952866,-0.150228351354599,0.0
15.035268783569336,65.27789306640625,-81.41558074951172,-0.6984716653823853,0.038312122225761414,0.11031115800142288,-0.14832672476768494,0.0
-7.334277629852295,78.58930206298828,-71.17240142822266,0.7450364232063293,0.0,0.1293303221464157,-0.13121210038661957,0.0018976266728714108
-29.26376724243164,85.56739044189453,-56.41018295288086,0.38803982734680176,-0.038312122225761414,0.14454565942287445,-0.11029423028230667,-0.0037952533457428217
-48.84628677368164,84.99541473388672,-36.526371002197266,-0.20178070664405823,-0.06704621762037277,0.15025140345096588,-0.0779666155576706,-0.0037952533457428217
-65.6103515625,81.32437896728516,-15.489425659179688,0.7139932513237,-0.09961152076721191,0.14454565942287445,-0.043737366795539856,0.0
-78.82252502441406,71.10163879394531,7.220088005065918,-0.6984716653823853,-0.11685197800397873,0.1293303221464157,-0.00570487417280674,0.0
-85.94725036621094,56.41748809814453,28.693355560302734,-1.2106841802597046,-0.13600803911685944,0.11221307516098022,0.032327618449926376,0.0018976266728714108
-84.76329040527344,36.42958068847656,48.29667282104492,-0.06208636984229088,-0.13983924686908722,0.08178240805864334,0.06275361776351929,0.0
-81.16949462890625,15.432912826538086,65.16778564453125,-0.5587773323059082,-0.13792364299297333,0.03803832828998566,0.09888448566198349,0.0
-71.25774383544922,-7.300475120544434,78.09122467041016,-0.5122125744819641,-0.122598797082901,0.0019019164610654116,0.11980235576629639,0.0
-55.98149108886719,-28.91071319580078,85.57102966308594,1.3348569869995117,-0.1034427359700203,-0.030430663377046585,0.1350153535604477,0.0018976266728714108
-35.71792984008789,-48.617835998535156,84.35556030273438,0.2483454793691635,-0.07470864057540894,-0.06276324391365051,0.13881860673427582,0.0037952533457428217
-15.29720687866211,-65.34029388427734,81.02081298828125,0.6829500794410706,-0.03639651834964752,-0.0931939110159874,0.13121210038661957,0.0
7.533350467681885,-78.79729461669922,71.02696228027344,-0.35699662566185,0.0076624248176813126,-0.11601690948009491,0.12360560894012451,0.005692880135029554
29.23233413696289,-85.9833755493164,56.441349029541016,-0.48116937279701233,0.044058941304683685,-0.13503606617450714,0.09888448566198349,0.0037952533457428217
48.60530471801758,-85.32820129394531,36.80686569213867,0.2793886661529541,0.07470864057540894,-0.1331341564655304,0.06845849007368088,0.005692880135029554
65.32745361328125,-81.41797637939453,15.58292293548584,-0.5432557463645935,0.10535833984613419,-0.13123223185539246,0.032327618449926376,0.0018976266728714108
78.67584228515625,-71.37202453613281,-7.116201400756836,0.7295148372650146,0.12834560871124268,-0.119820736348629,-0.007606498897075653,0.0018976266728714108
86.08346557617188,-56.76067352294922,-28.610246658325195,1.1796410083770752,0.1436704695224762,-0.09699773788452148,-0.04183574393391609,0.0018976266728714108
84.87854766845703,-36.533573150634766,-48.50444412231445,-0.046564776450395584,0.14941728115081787,-0.0665670782327652,-0.0779666155576706,0.0037952533457428217
81.02281188964844,-15.536908149719238,-65.16778564453125,0.46564778685569763,0.1436704695224762,-0.030430663377046585,-0.1140974834561348,-0.0018976266728714108
71.19487762451172,7.092484474182129,-78.28860473632812,0.07760795950889587,0.13026122748851776,0.009509582072496414,-0.13311372697353363,0.0
56.222476959228516,28.785919189453125,-85.86190795898438,-1.1485978364944458,0.10727394372224808,0.04184216260910034,-0.14832672476768494,0.0018976266728714108
