220kV Ⅱ母电压_A相_5,220kV Ⅱ母电压_B相_6,220kV Ⅱ母电压_C相_7,220kV Ⅱ母电压_3U0_8,墨木Ⅰ回线264_A相_33,墨木Ⅰ回线264_B相_34,墨木Ⅰ回线264_C相_35,墨木Ⅰ回线264_3I0_36
76.04898834228516,-3.978656768798828,-72.0011978149414,1.1525323390960693,-0.03742986172437668,-0.7991780042648315,0.7522668838500977,0.00928101222962141
64.93254089355469,14.771931648254395,-82.25443267822266,-3.488746404647827,0.15907691419124603,-0.919983983039856,0.6593944430351257,0.03712404891848564
47.935794830322266,36.462364196777344,-85.50596618652344,-0.7475885152816772,0.39301353693008423,-1.0129116773605347,0.5386602282524109,0.03712404891848564
25.775619506835938,58.14240646362305,-84.0931625366211,1.1992565393447876,0.5333755016326904,-1.0129116773605347,0.3807770609855652,-0.027843035757541656
3.158318519592285,71.31456756591797,-77.72514343261719,-4.220760345458984,0.6737375259399414,-0.8921056985855103,0.148595929145813,0.00928101222962141
-16.498058319091797,80.63272857666016,-65.8409423828125,-1.323854684829712,0.7860270738601685,-0.7991780042648315,-0.0835852101445198,0.0
-36.93362808227539,85.61903381347656,-46.861549377441406,4.843750476837158,0.860886812210083,-0.6504937410354614,-0.3157663643360138,-0.03712404891848564
-58.16916275024414,83.75955200195312,-26.59400749206543,-0.24919617176055908,0.8983166813850403,-0.48322391510009766,-0.43650054931640625,-0.03712404891848564
-73.15039825439453,75.25167083740234,-5.672003269195557,-4.672428131103516,0.7860270738601685,-0.2601974904537201,-0.5665220022201538,-0.03712404891848564
-82.06433868408203,65.13362121582031,16.37193489074707,0.591840922832489,0.6924524307250977,-0.018585534766316414,-0.7151179313659668,-0.05568607151508331
-85.66939544677734,48.05552673339844,37.626365661621094,1.3394293785095215,0.5146605968475342,0.24161195755004883,-0.8079903721809387,-0.027843035757541656
-84.62008666992188,25.056188583374023,56.83430099487305,-3.3641483783721924,0.40237101912498474,0.39958900213241577,-0.8451393246650696,-0.03712404891848564
-76.74506378173828,3.459249973297119,71.63760375976562,-1.5419013500213623,0.1403619796037674,0.529687762260437,-0.7522668838500977,-0.03712404891848564
-65.62861633300781,-15.447160720825195,81.76618194580078,2.5075364112854004,-0.06550225615501404,0.6690792441368103,-0.6408199667930603,0.0
-48.53837203979492,-37.08565139770508,84.93460845947266,0.0,-0.2994388937950134,0.7341286540031433,-0.5200857520103455,0.0
-26.243133544921875,-58.703365325927734,83.50102996826172,-1.6820741891860962,-0.439800888299942,0.762006938457489,-0.36220258474349976,-0.027843035757541656
-3.7193357944488525,-71.95863342285156,77.20572662353516,3.6289191246032715,-0.5801628828048706,0.6133226752281189,-0.12073419243097305,-0.027843035757541656
15.978598594665527,-81.46377563476562,65.21764373779297,0.3737942576408386,-0.6737375259399414,0.5482732653617859,0.10215970128774643,0.00928101222962141
36.31027603149414,-86.439697265625,46.17592239379883,-5.669212818145752,-0.7673121690750122,0.3810034692287445,0.3250536024570465,0.0
57.55620193481445,-84.31012725830078,26.105756759643555,-0.031149521470069885,-0.7673121690750122,0.21373364329338074,0.4643622934818268,-0.01856202445924282
72.47509765625,-75.76068878173828,5.194141864776611,4.220760345458984,-0.6550225615501404,-0.018585534766316414,0.5665220022201538,0.046405062079429626
81.15008544921875,-65.6738052368164,-16.89134979248047,-1.4017285108566284,-0.5895203351974487,-0.25090470910072327,0.7244051694869995,0.01856202445924282
84.6304702758789,-48.252899169921875,-38.21849822998047,-2.242765426635742,-0.4304434061050415,-0.5111021995544434,0.8265648484230042,0.027843035757541656
83.7058334350586,-25.149681091308594,-57.364105224609375,2.912480354309082,-0.2432941049337387,-0.6319081783294678,0.8637138605117798,0.027843035757541656
75.83081817626953,-3.573519468307495,-72.2089614868164,1.0435090065002441,-0.06550225615501404,-0.7805924415588379,0.7522668838500977,0.00928101222962141
64.64163970947266,15.125128746032715,-82.4102554321289,-3.4264473915100098,0.1871493011713028,-0.9292767643928528,0.6686816811561584,0.027843035757541656
47.592952728271484,36.82594680786133,-85.5371322631836,-0.638565182685852,0.4210859537124634,-0.994326114654541,0.5200857520103455,0.03712404891848564
25.391220092773438,58.5059928894043,-83.99966430664062,1.1369575262069702,0.5427330136299133,-1.003618836402893,0.3900643289089203,0.0
2.81547474861145,71.48077392578125,-77.59009552001953,-4.189610481262207,0.6550225615501404,-0.9013984203338623,0.1578831821680069,0.0
-16.85129165649414,80.809326171875,-65.56046295166016,-1.323854684829712,0.8234569430351257,-0.7898852229118347,-0.0835852101445198,0.01856202445924282
-37.29724884033203,85.70213317871094,-46.44601821899414,4.843750476837158,0.860886812210083,-0.6412009596824646,-0.27861738204956055,-0.01856202445924282
-58.480838775634766,83.65567016601562,-26.25119400024414,-0.5295418500900269,0.8702442646026611,-0.4925166666507721,-0.43650054931640625,-0.027843035757541656
-73.36857604980469,75.14778900146484,-5.298024654388428,-4.703577518463135,0.8047420382499695,-0.2323191910982132,-0.5758092403411865,-0.01856202445924282
-82.14745330810547,64.95702362060547,16.77707862854004,0.5139670968055725,0.6737375259399414,-0.009292767383158207,-0.6965433955192566,-0.03712404891848564
-85.67977905273438,47.619224548339844,37.97956466674805,1.2615556716918945,0.5427330136299133,0.2323191910982132,-0.8358520865440369,-0.046405062079429626
-84.59930419921875,24.609498977661133,57.10439682006836,-3.457596778869629,0.3742986023426056,0.3810034692287445,-0.8451393246650696,-0.046405062079429626
-76.65156555175781,3.0852768421173096,71.90769958496094,-1.3861536979675293,0.15907691419124603,0.5203949809074402,-0.7336924076080322,-0.027843035757541656
